trade_date,close,open,high,low,vol,pct_change,vwap
20241231,86.31,86.59,87.22,85.73,1450593,-0.25,86.28
20241230,86.53,86.68,86.85,85.25,1731203,-0.98,86.26
20241227,87.39,87.94,88.82,87.0,1567158,-1.14,87.49
20241226,88.4,88.73,89.17,88.15,1382297,-0.1,88.55
20241224,88.49,88.32,89.13,88.03,1142224,-0.05,88.57
20241223,88.53,87.46,88.62,87.3,2004718,1.4,88.23
20241220,87.31,88.09,89.01,86.87,6063141,-0.26,87.59
20241219,87.54,91.6,92.11,87.41,4522293,-4.43,88.74
20241218,91.6,94.6,95.31,91.52,3053501,-3.06,93.3
20241217,94.49,94.8,96.46,94.09,2371026,-1.14,94.94
20241216,95.58,95.32,97.15,95.04,3520626,-0.18,95.62
20241213,95.75,97.58,98.31,95.52,4924399,-1.94,96.53
20241212,97.64,98.46,100.18,97.12,2834858,-0.76,98.18
20241211,98.39,97.95,99.13,96.57,2531829,0.82,98.04
20241210,97.59,98.85,98.94,96.77,2743933,-1.39,97.45
20241209,98.97,98.43,99.9,98.1,2338098,0.47,99.01
20241206,98.51,98.18,99.09,97.61,2699680,0.34,98.26
20241205,98.18,98.03,99.4,97.87,2285431,0.56,98.52
20241204,97.63,99.99,100.22,94.97,4547137,-1.18,97.08
20241203,98.8,102.05,102.72,97.91,3265664,-4.23,99.14
20241202,103.16,101.82,105.12,101.44,2471894,1.81,103.51
20241129,101.33,100.0,102.32,99.97,1460313,1.33,101.65
20241127,100.0,101.32,101.41,98.63,1799195,-1.63,99.73
20241126,101.66,101.92,103.17,101.25,2412514,0.3,102.01
20241125,101.36,101.0,103.39,100.81,3932986,1.75,101.67
20241122,99.62,100.4,100.66,99.17,2452879,-0.3,99.69
20241121,99.92,98.75,100.21,98.07,1742460,1.94,99.51
20241120,98.02,98.0,98.43,96.58,1859910,0.22,97.56
20241119,97.8,96.99,97.83,96.1,1686885,0.8,97.34
20241118,97.02,97.39,97.54,96.34,1366432,0.24,96.95
20241115,96.79,96.92,97.54,96.41,1922689,-0.69,96.74
20241114,97.46,97.73,98.76,96.99,1810740,-0.82,97.9
20241113,98.27,99.87,100.65,98.21,1630335,-1.53,98.81
20241112,99.8,100.92,102.24,98.75,2063555,-2.0,100.0
20241111,101.84,104.69,104.82,101.61,1633377,-2.81,102.39
20241108,104.78,105.47,106.24,104.19,1329766,-0.31,104.9
20241107,105.11,103.78,105.28,102.98,1953325,2.07,104.65
20241106,102.98,103.97,104.8,102.58,2411496,1.31,103.39
20241105,101.65,100.21,101.87,100.03,1519497,1.76,101.44
20241104,99.89,98.83,101.27,98.83,1944790,0.79,100.25
20241101,99.11,99.59,100.98,98.66,1988582,-1.26,99.51
20241031,100.37,99.42,101.21,98.91,2708234,0.58,100.44
20241030,99.79,100.97,101.3,98.94,2861699,-1.52,100.03
20241029,101.33,101.36,101.71,100.19,2014418,0.01,101.13
20241028,101.32,103.77,103.89,101.03,2752742,-1.64,101.69
20241025,103.01,104.22,105.65,102.92,2485498,-0.93,104.02
20241024,103.98,104.53,105.08,102.35,2744545,0.44,104.2
20241023,103.52,105.74,107.8,102.46,8757324,-8.1,104.25
20241022,112.64,111.9,112.75,110.33,3065003,0.2,112.01
20241021,112.41,111.61,112.58,109.32,2236514,0.26,111.98
20241018,112.12,112.65,114.67,111.7,1917661,-0.29,112.54
20241017,112.45,112.38,113.31,111.99,1715391,0.64,112.57
20241016,111.73,111.23,112.87,110.62,1237787,-0.05,111.63
20241015,111.79,112.04,115.32,111.37,2499970,0.66,112.72
20241014,111.06,110.0,111.42,108.84,1618593,1.14,110.65
20241011,109.81,107.98,109.89,107.94,1053417,1.56,109.33
20241010,108.12,107.75,108.73,106.51,1255729,-1.07,108.03
20241009,109.29,109.1,109.39,105.55,3324667,0.59,108.34
20241008,108.65,106.97,108.95,106.5,1551039,2.37,108.32
20241007,106.13,106.09,106.62,104.52,1848663,-1.04,105.8
20241004,107.24,109.88,109.88,106.36,1445815,-1.43,107.34
20241003,108.8,108.04,109.42,107.82,1125511,0.22,108.51
20241002,108.56,108.06,110.0,107.2,1476913,0.69,109.02
20241001,107.82,109.27,109.27,106.5,2072129,-1.56,107.66
20240930,109.53,108.75,109.61,107.81,1592595,0.73,109.04
20240927,108.74,110.68,110.72,108.15,1313631,-1.82,108.93
20240926,110.76,110.01,110.93,107.82,2634725,2.78,109.7
20240925,107.76,106.25,107.76,106.06,1684014,1.06,107.18
20240924,106.63,106.03,106.79,104.84,1626083,0.71,106.08
20240923,105.88,105.11,106.75,104.9,1471321,1.09,105.96
20240920,104.74,103.83,105.8,103.83,5499918,0.6,104.74
20240919,104.12,103.49,104.47,102.59,1506822,3.16,103.98
20240918,100.93,102.18,103.48,100.72,1833256,-1.12,102.05
20240917,102.07,102.32,102.53,101.09,1499040,0.62,101.78
20240916,101.44,101.83,102.1,100.99,1593487,-0.68,101.66
20240913,102.13,100.84,102.77,100.0,1794823,1.5,101.98
20240912,100.62,101.96,102.28,100.08,1966294,-1.86,100.69
20240911,102.53,102.32,102.74,100.06,2372825,0.26,101.63
20240910,102.26,101.27,102.75,99.94,1878849,0.91,101.86
20240909,101.34,99.35,101.38,97.98,2296241,3.43,100.73
20240906,97.98,100.3,100.71,97.33,2599480,-2.81,98.43
20240905,100.81,100.08,102.14,99.86,1727093,0.08,100.9
20240904,100.73,96.1,101.04,94.7,3867125,4.08,99.07
20240903,96.78,99.55,99.55,96.26,1652588,-2.78,97.06
20240830,99.55,98.82,99.59,97.93,1974424,2.06,99.08
20240829,97.54,99.06,100.34,97.16,2029228,-1.72,98.21
20240828,99.25,100.0,100.02,97.43,2034277,-1.45,98.76
20240827,100.71,102.96,102.98,100.53,2422402,-3.87,101.13
20240826,104.76,103.75,105.23,102.95,1398304,0.34,104.67
20240823,104.41,104.34,104.67,103.48,948962,1.14,104.17
20240822,103.23,104.82,105.21,102.91,988693,-1.16,103.81
20240821,104.44,104.2,104.9,103.43,1148462,0.86,104.08
20240820,103.55,103.83,105.02,102.83,1698290,-0.39,104.05
20240819,103.96,101.56,103.99,100.75,2951918,2.19,102.78
20240816,101.73,100.2,102.57,99.36,2475904,2.13,101.77
20240815,99.61,98.86,100.16,98.22,2183057,2.63,99.42
20240814,97.06,98.82,98.99,96.69,2175914,-1.16,97.28
20240813,98.2,97.19,98.23,96.71,1623676,2.47,97.76
20240812,95.83,96.01,97.09,95.1,1284468,-0.47,96.05
20240809,96.28,95.21,96.99,94.28,1463549,0.87,96.12
20240808,95.45,92.3,95.62,91.2,2332267,3.64,94.24
20240807,92.1,94.67,95.32,92.04,3261199,-1.69,93.32
20240806,93.68,93.39,95.88,93.11,3170435,1.23,94.16
20240805,92.54,90.59,93.9,90.0,3277919,-2.15,92.33
20240802,94.57,95.5,96.15,93.45,4201223,-4.48,94.45
20240801,99.01,102.03,104.19,98.11,3433199,-3.09,100.03
20240731,102.17,102.35,102.78,100.21,2670502,3.1,101.59
20240730,99.1,103.5,103.7,98.64,3053064,-4.14,100.11
20240729,103.38,104.08,104.3,101.36,2953042,-0.29,102.77
20240726,103.68,105.01,105.75,102.88,3037192,-0.27,104.0
20240725,103.96,108.81,109.07,103.64,4178230,-5.09,104.92
20240724,109.53,109.0,113.57,107.16,9377734,4.02,110.39
20240723,105.3,105.17,106.59,104.5,3679345,-0.83,105.81
20240722,106.18,104.14,106.25,103.4,2310554,3.46,105.16
20240719,102.63,103.96,104.27,102.47,1977279,-0.81,103.16
20240718,103.47,105.77,105.77,102.48,2237516,-1.37,103.52
20240717,104.91,106.91,106.91,104.52,2824232,-3.5,105.47
20240716,108.71,109.3,109.63,108.19,1933320,-0.21,108.87
20240715,108.94,107.35,108.95,106.17,2210674,1.72,107.82
20240712,107.1,106.43,108.97,105.81,2038567,0.93,107.88
20240711,106.11,107.0,107.0,105.0,1453047,-0.58,106.02
20240710,106.73,105.0,106.98,104.61,1590588,2.28,106.35
20240709,104.35,103.4,104.98,102.98,1561789,0.89,104.15
20240708,103.43,102.83,104.51,102.54,2001216,1.36,103.59
20240705,102.04,101.47,102.33,101.07,1548574,0.66,101.77
20240703,101.37,103.13,103.34,101.21,1059790,-1.71,101.7
20240702,103.13,102.26,103.99,102.01,1102459,0.67,102.87
20240701,102.44,103.0,103.36,101.79,1297976,-0.8,102.48
20240628,103.27,104.47,105.47,103.12,1509966,-0.8,103.98
20240627,104.1,102.7,104.33,101.79,1342701,1.31,103.51
20240626,102.75,103.62,104.0,101.81,1777724,-0.95,102.83
20240625,103.74,103.75,104.19,102.0,2274123,0.4,103.13
20240624,103.33,102.8,103.75,102.04,1784751,0.24,103.21
20240621,103.08,102.61,103.75,101.01,3420633,0.45,102.81
