trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,226.95,229.1,221.45,222.64,1723394,-1.79,223.29
2023-01-04,222.73,229.39,222.11,226.12,1548538,1.56,225.91
2023-01-05,219.25,220.0,203.59,204.13,4690465,-9.72,207.54
2023-01-06,206.11,211.53,203.91,209.56,4220383,2.66,209.3
2023-01-09,209.98,214.62,209.74,210.82,3034922,0.6,212.48
2023-01-10,213.47,217.55,213.28,215.21,2899581,2.08,215.2
2023-01-11,216.84,218.94,215.51,217.79,2312803,1.2,217.07
2023-01-12,217.27,218.59,215.44,218.33,2054734,0.25,217.69
2023-01-13,218.34,221.51,216.99,220.1,2675567,0.81,220.28
2023-01-17,219.14,221.9,218.52,218.91,1649505,-0.54,219.68
2023-01-18,217.59,218.8,213.6,214.82,1843737,-1.87,215.12
2023-01-19,214.88,215.9,209.35,211.87,2341300,-1.37,212.55
2023-01-20,213.07,216.18,212.53,216.07,1641265,1.98,214.63
2023-01-23,215.96,219.99,215.17,219.12,1450771,1.41,217.89
2023-01-24,217.35,223.27,217.35,222.54,1966763,1.56,221.95
2023-01-25,220.79,223.97,219.44,223.94,1069256,0.63,222.26
2023-01-26,224.99,224.99,222.74,223.52,1194701,-0.19,223.7
2023-01-27,223.44,225.16,220.96,223.81,1304528,0.13,223.56
2023-01-30,223.24,225.83,221.16,221.43,1668771,-1.06,223.35
2023-01-31,223.26,226.54,220.52,226.48,1502205,2.28,224.19
2023-02-01,225.97,228.66,225.78,228.5,1280910,0.89,227.46
2023-02-02,228.15,228.38,225.78,227.39,1027721,-0.49,227.48
2023-02-03,226.61,226.61,223.37,225.79,1061373,-0.7,225.56
2023-02-06,224.94,227.16,224.82,226.94,915416,0.51,226.36
2023-02-07,225.08,226.66,224.36,226.05,1297540,-0.39,225.62
2023-02-08,225.74,227.26,224.78,225.9,1529699,-0.07,226.22
2023-02-09,228.05,228.05,221.27,222.71,2021078,-1.41,224.35
2023-02-10,222.72,224.57,221.33,224.1,747598,0.62,223.74
2023-02-13,224.25,225.05,222.98,224.34,871524,0.11,223.96
2023-02-14,223.93,223.93,220.48,221.6,931275,-1.22,221.64
2023-02-15,220.99,221.01,218.2,220.74,1248992,-0.39,219.83
2023-02-16,218.05,224.01,218.05,223.08,1318793,1.06,222.19
2023-02-17,223.53,224.87,222.1,222.63,1027612,-0.2,223.14
2023-02-21,222.6,223.03,218.64,219.01,1051896,-1.63,219.48
2023-02-22,219.94,219.96,217.49,218.03,1092351,-0.45,218.38
2023-02-23,218.38,222.78,217.67,221.45,979803,1.57,220.56
2023-02-24,220.37,220.53,218.65,219.97,702891,-0.67,219.65
2023-02-27,221.45,222.66,219.73,220.56,608194,0.27,220.66
2023-02-28,219.89,221.46,219.54,219.58,1136917,-0.44,220.1
2023-03-01,218.38,219.35,213.46,215.66,861050,-1.79,215.17
2023-03-02,215.37,218.2,214.86,217.66,735024,0.93,217.21
2023-03-03,218.2,219.82,216.91,219.14,723080,0.68,218.95
2023-03-06,217.69,218.77,216.43,216.48,829246,-1.21,217.37
2023-03-07,216.5,217.23,215.06,215.19,806695,-0.6,215.79
2023-03-08,214.69,216.2,213.55,215.27,968865,0.04,215.23
2023-03-09,216.78,216.93,211.14,211.83,870848,-1.6,213.63
2023-03-10,211.82,212.21,207.21,208.1,1303044,-1.76,208.6
2023-03-13,208.09,209.94,206.46,207.12,1929458,-0.47,208.23
2023-03-14,209.95,211.71,208.66,211.09,1294946,1.92,210.43
2023-03-15,208.86,212.27,208.79,212.06,1009819,0.46,210.98
2023-03-16,210.16,213.15,209.64,211.68,854132,-0.18,211.61
2023-03-17,211.04,211.04,206.28,207.02,2607843,-2.2,207.89
2023-03-20,207.89,212.17,207.59,211.44,1134740,2.14,211.1
2023-03-21,211.98,212.56,209.94,212.19,912873,0.35,211.45
2023-03-22,212.24,213.99,210.18,210.2,712196,-0.94,212.19
2023-03-23,209.74,212.13,209.74,211.03,918763,0.39,211.21
2023-03-24,212.19,214.67,210.73,213.94,935635,1.38,213.33
2023-03-27,215.31,216.38,214.77,215.45,837229,0.71,215.67
2023-03-28,215.28,216.69,215.21,215.25,721586,-0.09,215.75
2023-03-29,216.6,219.65,216.39,219.56,860859,2.0,218.73
2023-03-30,220.71,221.74,219.53,220.77,1280151,0.55,220.72
2023-03-31,222.81,222.82,220.51,221.73,1244519,0.43,221.31
2023-04-03,221.84,223.25,220.64,221.27,1171249,-0.21,221.78
2023-04-04,221.15,222.81,213.06,214.22,2697912,-3.19,215.92
2023-04-05,216.09,217.8,214.09,217.37,1520723,1.47,216.76
2023-04-06,219.88,222.33,216.94,220.51,2027831,1.44,219.71
2023-04-10,221.79,222.53,218.94,220.47,1713486,-0.02,220.11
2023-04-11,219.95,225.71,219.94,223.96,1259360,1.58,224.14
2023-04-12,223.86,224.35,222.02,222.25,1059368,-0.76,222.89
2023-04-13,222.16,222.87,221.0,222.04,1012774,-0.09,222.02
2023-04-14,221.62,224.43,220.92,224.03,1302589,0.9,222.76
2023-04-17,224.47,225.51,222.1,225.45,1054630,0.63,224.4
2023-04-18,225.39,225.5,219.41,223.17,1207609,-1.01,222.91
2023-04-19,223.31,223.95,222.15,223.68,743488,0.23,223.39
2023-04-20,223.31,224.51,221.85,222.77,728209,-0.41,222.99
2023-04-21,224.1,224.51,221.33,222.27,609936,-0.22,222.44
2023-04-24,222.73,223.12,219.29,220.25,826713,-0.91,220.48
2023-04-25,220.23,223.16,219.82,222.36,573592,0.96,222.26
2023-04-26,221.4,222.86,220.86,221.29,497550,-0.48,221.47
2023-04-27,221.02,224.9,219.89,224.36,878791,1.39,223.6
2023-04-28,223.56,225.25,221.99,225.25,695362,0.4,224.4
2023-05-01,224.57,227.24,224.2,225.99,970397,0.33,226.2
2023-05-02,225.26,225.94,221.77,224.36,1038945,-0.72,223.4
2023-05-03,225.94,226.31,221.95,222.22,988391,-0.95,223.54
2023-05-04,222.21,222.38,218.58,219.17,1041796,-1.37,219.33
2023-05-05,219.27,220.27,218.65,220.19,1063895,0.47,219.4
2023-05-08,219.46,225.43,219.21,224.88,1221633,2.13,224.05
2023-05-09,224.25,225.54,222.16,222.18,747954,-1.2,223.3
2023-05-10,222.65,223.8,221.45,222.9,672473,0.32,222.57
2023-05-11,220.19,221.77,219.76,221.6,1772068,-0.58,220.98
2023-05-12,221.34,224.73,220.21,224.43,969991,1.28,223.84
2023-05-15,225.94,227.0,224.08,226.98,1334262,1.14,225.89
2023-05-16,226.84,226.84,222.87,223.39,1249635,-1.58,224.11
2023-05-17,223.1,228.17,222.18,227.36,1359418,1.78,225.75
2023-05-18,227.15,229.57,226.34,228.77,1487533,0.62,228.09
2023-05-19,229.98,232.65,229.61,231.86,1365628,1.35,231.74
2023-05-22,232.19,233.53,231.53,232.03,1715677,0.07,232.48
2023-05-23,231.58,234.36,230.75,232.48,1289638,0.19,232.94
2023-05-24,232.94,232.94,228.81,228.92,1187260,-1.53,230.62
2023-05-25,227.96,229.69,225.13,228.76,1206533,-0.07,228.19
2023-05-26,229.13,230.87,228.4,229.49,881524,0.32,229.84
2023-05-30,233.46,235.08,231.99,233.61,1591194,1.8,233.27
2023-05-31,234.04,240.11,233.84,239.43,2051284,2.49,238.36
2023-06-01,238.71,239.64,237.7,239.17,1178814,-0.11,238.86
2023-06-02,239.71,242.82,239.47,241.85,1065327,1.12,241.94
2023-06-05,241.53,243.12,239.98,240.61,969255,-0.51,241.19
2023-06-06,244.81,244.81,238.34,238.97,1158676,-0.68,239.84
2023-06-07,238.01,240.52,236.2,239.78,1012474,0.34,239.47
2023-06-08,239.9,241.58,238.89,240.85,731763,0.45,240.37
2023-06-09,240.12,240.99,237.91,238.09,984071,-1.15,238.94
