trade_date,close,open,high,low,vol,pct_change,vwap
20241231,80.29,80.34,80.96,80.03,1049791,0.58,80.4
20241230,79.83,80.04,80.24,78.9,801809,-0.93,79.81
20241227,80.58,80.23,81.47,80.02,869110,-0.41,80.66
20241226,80.91,80.43,81.22,80.25,927713,-0.26,80.84
20241224,81.12,81.21,81.21,80.52,453787,-0.28,80.94
20241223,81.35,81.39,81.77,80.48,1557917,-0.79,81.02
20241220,82.0,79.7,82.7,79.61,4762899,3.24,81.84
20241219,79.43,80.46,81.24,78.83,2443822,0.46,79.53
20241218,79.07,82.6,83.38,79.03,1658030,-3.82,80.87
20241217,82.21,82.17,83.7,82.15,1346311,-0.7,82.56
20241216,82.79,82.78,84.15,82.38,1551837,-0.01,83.23
20241213,82.8,82.61,83.13,81.94,1222689,0.11,82.54
20241212,82.71,83.49,84.07,82.63,1200231,-1.3,83.18
20241211,83.8,84.75,85.02,83.77,1428420,-0.12,84.18
20241210,83.9,85.02,85.49,82.97,1745564,-2.21,83.89
20241209,85.8,84.6,86.12,83.61,2732117,1.59,85.33
20241206,84.46,85.65,86.25,83.83,1955769,-0.55,84.5
20241205,84.93,85.82,86.07,84.35,2599417,-1.28,84.88
20241204,86.03,87.88,88.32,85.77,2310116,-2.5,86.37
20241203,88.24,89.37,89.47,87.52,1577203,-0.93,88.05
20241202,89.07,89.34,89.45,87.79,1157635,-0.42,88.92
20241129,89.45,89.75,90.13,88.82,523987,-0.36,89.45
20241127,89.77,90.49,91.36,89.6,892315,0.26,90.03
20241126,89.54,89.93,90.39,88.68,1289657,-3.22,89.43
20241125,92.52,90.09,93.63,90.09,1858921,3.66,92.46
20241122,89.25,88.43,89.9,87.86,2349049,1.8,89.15
20241121,87.67,85.41,88.43,85.25,1690546,2.63,87.36
20241120,85.42,86.55,87.03,85.09,1595918,-1.03,85.82
20241119,86.31,85.71,86.44,84.92,1416525,-0.31,86.12
20241118,86.58,85.01,87.17,84.73,1579299,1.32,86.56
20241115,85.45,85.85,86.64,85.29,1522938,-0.43,85.68
20241114,85.82,86.27,86.92,85.12,1659051,-0.37,85.81
20241113,86.14,88.29,88.29,85.72,2170050,-1.53,86.31
20241112,87.48,90.5,90.5,87.41,1938803,-3.02,87.89
20241111,90.2,91.31,91.31,89.78,1411929,0.03,90.27
20241108,90.17,92.7,92.91,89.92,1941335,-1.86,90.62
20241107,91.88,92.71,93.94,91.51,2819510,-0.16,92.46
20241106,92.03,93.5,95.41,89.98,5739477,-4.83,91.74
20241105,96.7,93.81,96.75,93.57,1330561,2.41,96.09
20241104,94.42,93.51,95.8,93.47,1312698,1.11,94.8
20241101,93.38,93.4,94.52,93.15,1014613,0.47,93.6
20241031,92.94,93.61,94.03,92.76,2113465,-0.99,93.12
20241030,93.87,93.41,96.0,93.21,2508007,-0.02,94.55
20241029,93.89,94.75,95.12,89.26,6701934,-8.77,92.91
20241028,102.92,103.39,104.35,102.66,1619957,0.92,103.27
20241025,101.98,103.03,103.54,101.81,928632,-0.88,102.47
20241024,102.89,103.5,103.87,102.43,962973,-0.39,103.05
20241023,103.29,104.37,105.01,102.28,1409722,-1.47,103.42
20241022,104.83,105.0,105.3,103.45,1634553,-0.8,104.63
20241021,105.68,106.15,106.54,105.5,1289638,-0.68,105.84
20241018,106.4,105.88,106.42,104.83,1346873,1.19,105.99
20241017,105.15,107.19,107.19,104.55,1404796,-1.14,105.41
20241016,106.36,107.86,108.48,106.11,1478964,-0.66,106.67
20241015,107.07,109.43,109.91,106.88,1420435,-1.64,108.18
20241014,108.85,107.49,109.06,106.4,716695,0.82,108.55
20241011,107.96,106.4,108.06,106.0,731919,1.04,107.7
20241010,106.85,106.3,107.1,105.56,733553,0.23,106.64
20241009,106.61,106.72,107.24,106.14,697343,0.07,106.69
20241008,106.54,105.9,107.34,105.28,796563,0.22,106.58
20241007,106.31,106.2,106.98,105.67,678361,-1.0,106.3
20241004,107.38,109.29,109.29,106.44,755798,0.1,107.22
20241003,107.27,108.37,108.52,106.68,928458,-1.81,107.42
20241002,109.25,107.77,109.75,107.4,1048722,-0.1,108.94
20241001,109.36,110.32,110.62,108.25,1008472,-0.7,109.32
20240930,110.13,109.14,110.5,108.05,1033295,0.37,109.86
20240927,109.72,109.01,110.88,108.72,973912,1.29,109.72
20240926,108.32,107.55,108.47,107.06,833522,2.6,107.99
20240925,105.58,107.55,107.55,105.35,929522,-1.63,105.8
20240924,107.33,107.99,108.33,106.39,1076759,-0.19,107.08
20240923,107.53,107.6,108.33,106.57,1126136,0.56,107.31
20240920,106.93,107.08,107.17,105.66,2326213,-1.01,106.78
20240919,108.02,107.67,108.37,105.79,1690633,3.0,107.44
20240918,104.87,103.16,107.28,103.13,2010202,1.82,104.98
20240917,103.0,103.49,104.48,101.97,1011662,0.4,103.27
20240916,102.59,102.0,103.1,101.39,816923,1.22,102.43
20240913,101.35,98.26,102.0,98.26,1347687,3.6,101.31
20240912,97.83,97.73,98.55,96.48,964853,0.17,97.49
20240911,97.66,96.14,97.76,94.15,1233701,1.06,96.58
20240910,96.64,96.51,96.91,95.07,945259,0.47,96.14
20240909,96.19,97.59,97.94,95.76,1084972,-1.02,96.6
20240906,97.18,98.36,100.25,96.82,1169736,-1.2,97.66
20240905,98.36,99.68,99.99,98.02,1019134,-1.52,98.57
20240904,99.88,99.76,101.02,99.2,988224,-0.06,99.86
20240903,99.94,101.07,102.19,99.26,955819,-2.36,100.13
20240830,102.36,102.5,102.85,100.58,1178703,0.45,101.84
20240829,101.9,101.62,102.94,100.26,1091365,1.72,102.0
20240828,100.18,99.79,101.26,99.57,869717,0.39,100.39
20240827,99.79,100.18,100.25,98.84,812844,-1.05,99.62
20240826,100.85,101.0,102.52,100.47,981367,0.45,101.12
20240823,100.4,98.65,100.57,97.71,1481836,2.22,99.77
20240822,98.22,98.71,99.02,97.7,563253,-0.44,98.16
20240821,98.65,97.28,98.71,96.88,692904,1.74,98.31
20240820,96.96,96.92,97.61,96.31,586630,-0.4,96.94
20240819,97.35,97.8,98.24,97.01,765679,0.03,97.55
20240816,97.32,96.6,97.74,96.07,915342,0.55,96.98
20240815,96.79,97.07,97.46,95.56,928080,1.46,96.65
20240814,95.4,96.88,97.35,95.17,884783,-1.52,95.68
20240813,96.87,93.79,97.24,93.24,1483020,4.16,96.19
20240812,93.0,94.43,94.9,92.85,1064335,-1.86,93.63
20240809,94.76,94.45,94.96,93.15,824467,0.34,94.52
20240808,94.44,94.27,95.35,94.09,1016104,1.47,94.55
20240807,93.07,98.12,98.12,93.03,1694956,-3.31,94.18
20240806,96.26,95.6,99.13,95.33,1175496,0.57,97.13
20240805,95.71,93.51,97.36,92.03,1828241,-2.96,95.55
20240802,98.63,96.93,98.73,95.13,1913644,-2.83,97.51
20240801,101.5,105.49,106.91,100.82,3018745,-3.9,102.56
20240731,105.62,106.65,108.15,104.06,4772594,-0.41,106.1
20240730,106.05,104.13,106.23,102.27,4218149,9.98,104.62
20240729,96.43,95.55,96.82,95.1,2975390,1.05,96.16
20240726,95.43,91.66,96.94,91.02,3719324,6.54,95.22
20240725,89.57,86.39,91.44,86.17,2627712,3.68,90.09
20240724,86.39,87.93,88.8,86.27,807539,-1.93,87.25
