trade_date,close,open,high,low,vol,pct_change,vwap
20241231,88.68,88.94,89.45,88.2,1559567,0.29,88.64
20241230,88.42,89.04,89.04,87.46,2351654,-1.92,88.29
20241227,90.15,90.09,90.68,89.38,1319475,-0.3,89.95
20241226,90.42,89.64,91.47,89.5,1077535,0.08,90.64
20241224,90.35,90.33,90.69,89.65,835418,0.18,90.3
20241223,90.19,89.16,90.63,88.75,1976167,1.62,89.85
20241220,88.75,88.19,90.15,87.33,6259215,0.56,88.84
20241219,88.26,88.96,89.86,88.13,3079778,-0.45,88.59
20241218,88.66,90.98,93.12,88.12,4028139,-2.29,89.83
20241217,90.74,90.52,92.13,89.93,1663259,-0.02,90.72
20241216,90.76,90.84,91.57,89.23,2645768,-0.24,90.77
20241213,90.98,90.31,91.43,88.66,2585645,1.49,90.58
20241212,89.64,88.0,89.76,87.75,1624002,0.26,89.14
20241211,89.41,88.23,89.92,87.93,2489143,2.02,89.32
20241210,87.64,89.92,90.0,87.33,2078142,-2.26,88.0
20241209,89.67,87.87,90.96,87.25,1947919,2.05,89.81
20241206,87.87,86.88,88.64,86.01,3191067,1.68,87.51
20241205,86.42,87.97,88.51,86.15,2319822,-1.53,86.63
20241204,87.76,88.55,88.7,87.16,2537294,0.16,87.78
20241203,87.62,87.18,88.05,86.75,2297225,-0.98,87.6
20241202,88.49,87.5,89.31,87.43,2063002,1.03,88.52
20241129,87.59,87.2,88.64,87.18,1941076,0.91,87.81
20241127,86.8,86.28,87.02,85.14,1836526,0.6,86.42
20241126,86.28,88.12,88.45,85.72,1830362,-1.88,86.24
20241125,87.93,86.55,89.07,86.07,2945334,2.95,88.07
20241122,85.41,85.0,85.57,84.72,1660754,0.42,85.22
20241121,85.05,84.15,85.63,83.28,1840022,1.94,84.8
20241120,83.43,82.86,83.58,82.36,2977291,-0.16,83.12
20241119,83.56,83.07,83.89,83.05,2540878,-0.51,83.52
20241118,83.99,84.04,85.43,83.38,2925001,0.36,84.06
20241115,83.69,83.15,85.08,83.15,3213426,-0.37,84.11
20241114,84.0,82.98,84.42,82.56,2854314,0.99,83.53
20241113,83.18,84.78,86.52,82.13,5658016,-4.43,83.45
20241112,87.04,86.82,88.1,85.99,3277670,-1.07,86.86
20241111,87.98,88.76,88.92,86.85,2600073,-1.32,87.63
20241108,89.16,90.16,90.28,88.16,2831348,-2.2,89.01
20241107,91.17,91.32,91.5,90.39,1902553,0.77,91.03
20241106,90.47,90.14,91.0,88.98,2274788,2.13,90.29
20241105,88.58,87.46,88.83,86.93,1736600,0.72,88.23
20241104,87.95,88.39,89.33,87.18,1571125,-1.08,88.21
20241101,88.91,87.86,89.34,87.79,2093666,1.52,88.85
20241031,87.58,89.7,89.79,86.65,3973370,-2.67,87.51
20241030,89.99,90.4,91.68,88.64,4126664,-8.21,90.2
20241029,98.03,95.59,98.34,94.97,2143603,1.97,97.53
