trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,31.88,32.12,30.78,31.06,4697692,-1.43,31.22
2023-01-04,31.52,32.16,31.38,31.74,5922688,2.19,31.77
2023-01-05,31.27,31.27,30.63,30.66,5777246,-3.4,30.88
2023-01-06,30.44,31.48,30.43,31.45,9003570,2.58,31.14
2023-01-09,31.79,31.93,30.9,30.96,9784770,-1.56,31.3
2023-01-10,30.74,31.54,29.61,31.49,9165395,1.71,30.86
2023-01-11,31.64,32.41,31.44,32.37,5957938,2.79,32.08
2023-01-12,32.71,32.83,31.86,32.2,5974785,-0.53,32.26
2023-01-13,31.32,32.26,31.01,32.09,4474262,-0.34,31.91
2023-01-17,32.08,32.5,31.93,32.28,5123250,0.59,32.25
2023-01-18,32.4,32.81,31.81,31.84,5522250,-1.36,32.1
2023-01-19,30.72,31.38,29.56,31.24,7470215,-1.88,30.76
2023-01-20,31.51,33.96,31.51,33.95,12094063,8.67,33.21
2023-01-23,33.78,34.59,32.61,33.14,9548133,-2.39,33.19
2023-01-24,32.79,34.64,32.74,33.91,6794207,2.32,34.09
2023-01-25,33.6,35.42,33.53,35.36,6534762,4.28,34.78
2023-01-26,35.51,35.7,34.44,35.04,3970916,-0.9,34.9
2023-01-27,35.33,35.81,35.16,35.53,3206407,1.4,35.53
2023-01-30,35.2,35.64,34.64,34.66,4336356,-2.45,35.06
2023-01-31,34.68,35.23,34.36,35.22,4613551,1.62,35.0
2023-02-01,31.64,34.15,31.05,33.86,14055129,-3.86,33.0
2023-02-02,33.95,36.31,33.95,36.23,7701488,7.0,35.77
2023-02-03,35.56,36.65,35.37,35.74,5661051,-1.35,35.95
2023-02-06,35.4,35.5,34.76,35.13,4591406,-1.71,35.11
2023-02-07,35.08,35.9,35.03,35.65,3356761,1.48,35.5
2023-02-08,35.29,35.65,35.11,35.14,3805917,-1.43,35.32
2023-02-09,35.35,35.71,34.92,34.96,4162125,-0.51,35.21
2023-02-10,34.83,35.14,34.59,35.13,3689512,0.49,34.93
2023-02-13,34.99,35.79,34.81,35.72,3052223,1.68,35.53
2023-02-14,35.51,35.6,34.43,35.04,4955852,-1.9,35.0
2023-02-15,34.65,35.23,34.57,35.22,3121232,0.51,35.02
2023-02-16,34.7,35.01,34.37,34.39,2943736,-2.36,34.69
2023-02-17,34.18,34.52,33.8,34.51,4005966,0.35,34.28
2023-02-21,34.34,34.48,33.53,33.76,4412945,-2.17,33.86
2023-02-22,33.89,34.33,33.78,34.2,3777833,1.3,34.1
2023-02-23,34.6,34.86,34.08,34.65,3145113,1.32,34.51
2023-02-24,34.06,34.56,33.98,34.54,3165922,-0.32,34.33
2023-02-27,34.86,34.95,34.24,34.25,3697457,-0.84,34.46
2023-02-28,34.2,34.8,34.16,34.45,6801453,0.58,34.53
2023-03-01,34.35,34.89,34.15,34.71,3800244,0.75,34.69
2023-03-02,34.13,34.56,33.92,34.48,4329285,-0.66,34.3
2023-03-03,34.88,35.25,34.61,35.1,3985982,1.8,35.04
2023-03-06,35.07,35.36,34.27,34.35,5551074,-2.14,34.59
2023-03-07,34.29,34.32,33.35,33.43,4784758,-2.68,33.67
2023-03-08,33.52,33.85,33.01,33.26,5075695,-0.51,33.35
