trade_date,close,open,high,low,vol,pct_change,vwap
20241231,520.23,520.32,524.74,517.16,996398,0.27,519.61
20241230,518.84,522.69,522.93,515.77,1030850,-1.37,519.88
20241227,526.07,524.0,528.28,523.0,926731,-0.21,525.74
20241226,527.18,524.6,527.33,523.7,773925,-0.34,525.91
20241224,528.98,523.25,528.98,522.3,487156,0.7,526.5
20241223,525.29,520.18,526.24,519.59,1286730,0.24,523.52
20241220,524.05,516.69,526.43,515.0,2699705,1.42,522.78
20241219,516.69,518.72,522.43,508.86,2237163,0.1,515.86
20241218,516.18,528.0,533.34,515.9,1681948,-2.39,522.76
20241217,528.84,526.01,535.94,526.01,2229724,-0.27,530.55
20241216,530.26,527.34,534.73,526.72,2370348,0.64,531.72
20241213,526.89,523.65,528.09,517.15,1466367,0.36,525.08
20241212,525.0,531.33,531.89,524.05,2539196,-1.75,526.24
20241211,534.36,535.0,540.03,533.64,1388421,-0.28,535.87
20241210,535.85,539.53,542.4,534.53,1918737,-0.26,537.9
20241209,537.23,529.69,538.09,526.64,2106046,1.49,536.19
20241206,529.36,523.0,531.32,522.0,1665620,1.63,529.36
20241205,520.86,527.21,527.41,517.68,2467076,-1.51,520.53
20241204,528.87,532.55,536.53,524.84,2186267,-1.04,530.42
20241203,534.42,530.25,535.98,527.94,2658029,0.84,532.51
20241202,529.95,528.7,534.84,526.6,2537385,0.06,530.22
20241129,529.63,523.13,533.17,523.0,2108311,1.53,530.16
20241127,521.66,515.41,528.86,514.98,2882512,1.69,524.2
20241126,512.98,514.2,514.2,507.27,1739525,-0.24,511.02
20241125,514.2,512.3,516.34,509.36,3057678,0.18,514.02
20241122,513.26,514.62,517.0,507.17,1828323,-0.55,513.8
20241121,516.1,514.12,516.22,507.46,1950404,0.64,513.23
20241120,512.84,507.08,513.85,502.73,1505907,0.73,511.06
20241119,509.12,496.19,511.3,493.3,3588261,1.56,505.3
20241118,501.29,511.0,512.77,498.61,3033375,-2.3,502.55
20241115,513.08,529.4,529.4,511.7,3948995,-3.74,515.95
20241114,533.02,539.9,542.38,531.69,1747714,-1.64,535.36
20241113,541.9,540.0,544.8,538.0,1199648,0.21,542.23
20241112,540.75,549.16,550.16,540.05,1578241,-1.13,543.41
20241111,546.92,549.08,553.93,545.07,1317448,-0.87,547.31
20241108,551.74,557.23,558.55,549.0,1618748,-0.75,552.69
20241107,555.89,565.0,565.88,554.2,1234862,-0.68,557.37
20241106,559.68,570.2,570.2,549.2,1415698,-0.2,557.91
20241105,560.79,550.41,561.78,550.24,994551,0.96,559.27
20241104,555.47,556.68,559.56,550.15,812062,-0.44,554.69
20241101,557.92,550.0,564.87,547.29,1412828,2.12,558.25
20241031,546.32,548.56,552.08,544.49,1414520,-0.78,548.38
20241030,550.62,547.5,554.74,546.75,1307023,0.52,551.69
20241029,547.77,550.96,553.61,547.25,1134535,-0.86,550.02
20241028,552.54,559.25,559.37,550.45,970178,-0.33,553.96
20241025,554.38,560.16,562.22,553.31,1086281,-0.54,555.88
20241024,557.38,572.36,574.83,557.26,1749150,-3.31,563.1
20241023,576.49,574.58,578.69,566.08,2046662,-1.69,572.41
20241022,586.38,587.49,591.2,584.16,1583523,-1.51,587.13
20241021,595.37,597.89,600.58,591.82,914584,-1.05,595.01
20241018,601.71,600.03,604.39,595.56,1074250,0.41,601.03
20241017,599.25,604.34,608.39,596.87,1946149,1.3,601.97
20241016,591.55,590.27,596.8,587.27,1367496,-1.49,590.95
20241015,600.52,605.0,610.56,599.38,1271950,-0.54,603.18
20241014,603.79,600.79,604.54,595.23,927648,1.15,601.89
20241011,596.92,595.64,602.41,594.31,2105529,0.53,597.67
20241010,593.79,597.17,597.17,589.87,1211125,-0.91,593.35
20241009,599.25,594.11,600.06,593.11,873480,0.64,597.83
20241008,595.45,599.05,602.3,594.71,821835,-0.57,596.78
20241007,598.85,592.32,599.29,592.32,1114318,0.04,597.78
20241004,598.61,602.63,603.99,596.53,870306,-0.38,598.9
20241003,600.92,609.86,611.49,599.35,1258287,-1.93,602.32
20241002,612.72,610.0,616.57,605.33,659372,-0.04,612.56
20241001,612.94,620.0,620.0,610.57,1157477,-0.91,614.39
20240930,618.57,612.49,619.02,609.03,1030257,0.68,615.28
20240927,614.42,619.39,623.76,614.04,847529,-0.79,616.87
20240926,619.33,604.56,620.54,604.56,1306248,3.26,615.92
20240925,599.78,613.87,613.91,596.0,1281751,-1.98,600.2
20240924,611.88,611.21,613.96,607.81,1361146,0.25,611.46
20240923,610.35,615.64,616.41,607.8,883222,-0.54,610.21
20240920,613.69,619.04,619.04,608.2,1983068,-1.06,614.18
20240919,620.25,617.61,623.75,611.81,1464156,1.66,619.32
20240918,610.12,609.14,614.92,601.86,1089365,-0.06,609.7
20240917,610.49,613.18,616.58,607.0,1306598,-0.6,610.97
20240916,614.15,615.59,616.48,607.26,1198221,0.49,613.16
20240913,611.17,614.84,617.04,607.81,1113648,-0.49,611.0
20240912,614.16,615.71,619.31,604.18,1397595,-0.7,611.31
20240911,618.46,622.08,623.0,608.85,1324042,-0.92,614.88
20240910,624.21,620.62,627.88,618.25,1269458,0.61,623.09
