trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,137.32,138.4,134.61,137.36,8245426,-0.69,136.59
2023-01-04,138.8,139.28,135.7,138.27,6900797,0.66,137.45
2023-01-05,138.93,143.37,138.47,142.74,9254902,3.23,141.94
2023-01-06,144.03,147.67,144.03,146.78,6539578,2.83,146.59
2023-01-09,146.23,148.42,145.97,146.97,4977094,0.13,147.19
2023-01-10,147.17,148.09,145.96,147.75,3779510,0.53,147.39
2023-01-11,147.7,148.04,146.33,147.0,4451508,-0.51,147.24
2023-01-12,145.99,148.28,144.78,148.1,4269379,0.75,147.32
2023-01-13,148.1,148.75,146.47,147.87,6543840,-0.16,147.52
2023-01-17,147.38,147.38,144.86,145.21,5481984,-1.8,145.69
2023-01-18,144.37,145.96,143.74,144.14,4543391,-0.74,144.55
2023-01-19,143.43,143.91,141.93,143.39,5345711,-0.52,143.27
2023-01-20,140.69,143.75,140.67,143.37,5878406,-0.01,142.83
2023-01-23,143.89,144.07,142.11,142.63,5306391,-0.52,143.06
2023-01-24,142.09,144.77,141.28,144.05,3851654,1.0,143.77
2023-01-25,143.97,146.75,143.45,146.28,4352539,1.55,145.73
2023-01-26,146.1,147.39,145.71,146.89,3808428,0.42,146.75
2023-01-27,146.27,146.41,144.41,144.96,4061735,-1.31,145.27
2023-01-30,144.14,146.16,143.59,145.21,4485156,0.17,145.19
2023-01-31,145.8,148.15,145.7,147.51,6073027,1.58,147.24
2023-02-01,147.35,150.31,146.7,149.15,7111274,1.11,148.74
2023-02-02,148.21,148.37,144.01,145.18,8665668,-2.66,145.14
2023-02-03,144.43,144.91,142.6,143.44,5557520,-1.2,143.59
2023-02-06,139.76,141.54,139.76,140.26,6314274,-2.22,140.59
2023-02-07,139.16,141.64,138.56,141.26,4952305,0.71,140.34
2023-02-08,140.34,142.42,140.1,142.07,4014515,0.57,141.81
2023-02-09,143.24,143.55,141.01,141.13,4146633,-0.66,141.72
2023-02-10,141.63,142.2,140.87,141.97,3558031,0.6,141.82
2023-02-13,142.76,144.83,142.26,144.81,3547852,2.0,144.2
2023-02-14,144.13,145.81,143.14,145.71,4195465,0.62,145.15
2023-02-15,144.96,146.21,144.75,145.77,5334734,0.04,145.5
2023-02-16,143.94,146.26,143.52,144.96,4689238,-0.56,145.03
2023-02-17,145.3,147.6,145.14,147.55,4617875,1.79,146.71
2023-02-21,146.46,146.75,143.74,145.31,5648840,-1.52,145.06
2023-02-22,146.07,146.66,144.88,145.55,3540128,0.17,145.64
2023-02-23,144.64,144.66,140.91,142.98,5563070,-1.77,142.69
2023-02-24,141.5,142.81,140.49,142.67,4593844,-0.22,142.18
