trade_date,close,open,high,low,vol,pct_change,vwap
20241231,65.33,66.0,66.47,65.23,2591334,-0.74,65.56
20241230,65.82,65.35,66.38,64.68,2432575,-0.08,65.74
20241227,65.87,65.71,66.47,65.54,2053169,-0.47,65.89
20241226,66.18,65.08,66.3,65.06,2651277,1.38,65.9
20241224,65.28,64.73,65.28,64.64,1402127,0.85,64.98
20241223,64.73,64.08,64.93,63.89,4530414,0.9,64.6
20241220,64.15,62.5,64.62,62.13,10547387,2.38,64.05
20241219,62.66,64.13,64.72,62.43,4934070,0.93,62.94
20241218,62.08,63.63,64.4,62.03,5240817,-2.71,63.23
20241217,63.81,64.41,65.27,63.6,4728106,-0.61,64.03
20241216,64.2,63.87,65.15,63.62,7075266,1.58,64.25
20241213,63.2,61.82,63.33,61.49,3680492,2.78,62.86
20241212,61.49,62.25,62.77,61.37,2698087,-1.3,61.84
20241211,62.3,61.75,62.61,61.35,4208844,1.48,62.16
20241210,61.39,62.42,62.42,61.09,4097477,-1.41,61.54
20241209,62.27,62.75,63.59,61.7,5432317,0.03,62.35
20241206,62.25,63.74,64.02,62.03,8181727,-2.08,62.55
20241205,63.57,63.74,64.3,63.25,4003062,-0.41,63.79
20241204,63.83,64.05,64.31,63.05,3432479,-0.76,63.63
20241203,64.32,65.0,65.3,63.68,8113438,-0.4,64.35
20241202,64.58,62.71,64.6,62.36,6993367,3.69,64.18
20241129,62.28,61.35,62.64,61.35,2410632,2.23,62.14
20241127,60.92,61.1,61.59,60.45,5299293,-0.23,60.91
20241126,61.06,60.67,61.44,60.55,10127926,0.35,60.99
20241125,60.85,59.89,61.29,59.74,6385695,3.28,60.76
20241122,58.92,58.03,59.69,57.84,6925613,4.45,58.84
20241121,56.41,55.32,56.63,54.98,2469579,2.01,56.21
20241120,55.3,55.41,55.9,54.99,2862385,-0.58,55.27
20241119,55.62,55.45,56.12,55.07,3109091,-1.64,55.65
20241118,56.55,56.81,57.29,56.19,3150369,-1.19,56.64
20241115,57.23,58.0,58.28,56.42,4443731,-1.02,57.29
20241114,57.82,55.27,58.49,55.16,9949277,12.8,57.4
20241113,51.26,51.47,51.73,51.15,2115256,0.18,51.36
20241112,51.17,49.92,51.4,49.84,4546813,-0.68,50.94
20241111,51.52,52.5,52.76,51.34,3731659,-1.34,51.86
20241108,52.22,50.62,52.28,50.37,3562916,1.3,51.68
20241107,51.55,52.0,52.5,51.25,6989609,3.6,51.79
20241106,49.76,50.54,50.98,49.29,6393285,0.69,49.9
20241105,49.42,48.25,49.57,48.25,3021620,1.77,49.22
20241104,48.56,47.22,48.73,47.22,4156336,3.39,48.38
20241101,46.97,47.58,47.67,46.77,2655306,-1.01,47.08
20241031,47.45,48.32,48.41,47.33,3350926,-1.96,47.6
