,close,high,low,open,vol,pct_change,vwap
2010-12-07,13.177807807922363,13.444565042758054,12.537590037277468,12.857698922599916,10577600,,24.24
2010-12-08,13.68464469909668,13.8713749500204,13.017751672653391,13.076438584611761,865200,3.8461396505540923,25.12
2010-12-09,13.641963005065918,14.004752958814695,13.519254937650288,13.524590203746355,877800,-0.3118947913465342,25.86
2010-12-10,13.679306983947754,13.759334946873,13.492577784049697,13.535258889397513,436900,0.27374344050024035,25.53
2010-12-13,14.14880657196045,14.239504089124232,13.599286201191848,13.60462146897775,397800,3.432188403722791,26.15
2010-12-14,14.159477233886719,14.191487823289505,13.75934130475787,14.084784501815829,250500,0.07541739914245227,26.38
2010-12-15,13.903386116027832,14.479581674442548,13.5939477794273,14.170143337842015,396100,-1.8086198637757955,26.39
2010-12-16,14.3035249710083,14.367547165514395,13.844703144507948,13.850037394585051,133000,2.8779957029258396,26.42
2010-12-17,14.570281982421875,14.69832535149148,14.351541099728188,14.39955749032907,101600,1.864973927435809,27.19
2010-12-20,14.687652587890625,15.151809570987174,14.506257600731645,14.516927115930748,149300,0.8055479338721749,27.49
2010-12-21,14.431568145751953,14.778353416736808,14.191487209221952,14.741006543518223,139200,-1.7435355350779669,27.02
2010-12-22,14.340865135192871,14.34086513519287,13.983410483604764,14.3248603561174,157500,-0.6285041905566002,26.64
2010-12-23,14.3302001953125,14.3302001953125,14.244837954339529,14.260842738523099,135200,-0.0743674790874338,26.77
2010-12-27,14.14346694946289,14.271510284105727,14.100785837915277,14.271510284105727,97000,-1.3030749278066023,26.51
2010-12-28,14.298189163208008,14.324865500577102,14.084783552246348,14.111459889615444,204000,1.093948282256152,26.64
2010-12-29,14.484918594360352,14.484918594360352,14.138134369938106,14.159475438566263,75200,1.3059655948099769,26.89
2010-12-30,14.4208984375,14.506260682817494,14.324865657118258,14.410227902435754,298000,-0.4419780231645687,27.08
2010-12-31,14.3035249710083,14.43156834242223,14.292855453255834,14.404893021643675,49800,-0.8139123023464534,26.98
2011-01-03,14.404888153076172,14.431563464838998,14.143466230928391,14.362207043696898,253500,0.7086587556097035,26.86
2011-01-04,14.490251541137695,14.506257340045742,14.207488532683524,14.404889315490776,232300,0.5926001448563367,26.94
2011-01-05,14.586288452148438,14.602294255613383,14.335536970120689,14.41022868442719,61800,0.6627691088598064,27.11
2011-01-06,14.933062553405762,15.023760009430777,14.378208306474402,14.554267954335014,116100,2.3773978033887477,27.64
2011-01-07,14.831697463989258,15.007757146214821,14.623627207976629,14.885049098699566,288300,-0.6787963892469273,27.72
2011-01-10,14.618294715881348,14.92239776854226,14.442235000256716,14.671646360712627,121100,-1.4388288907998814,27.58
2011-01-11,14.719657897949219,14.746333202792258,14.468906572592658,14.63429570133432,188900,0.6933994972597501,27.45
2011-01-12,15.125130653381348,15.194487064844042,14.634297455221603,14.76767603061721,172300,2.754634368836939,28.07
2011-01-13,14.954412460327148,15.183822850654062,14.87971973506894,14.997093581504037,130200,-1.1287055759484188,28.21
2011-01-14,15.103797912597656,15.189160166463687,14.91706760066634,14.986425067931448,249000,0.9989389597673259,28.22
2011-01-18,15.65330982208252,16.138807759216412,15.162476619775992,15.258509357687801,692000,3.6382366386571663,29.39
2011-01-19,15.402563095092773,15.925407028022077,15.365216227656605,15.840044794792725,227700,-1.6018767266460898,29.3
2011-01-20,15.690659523010254,16.026774188437525,14.548938952570401,15.413231771330167,354600,1.8704447184460404,28.73
2011-01-21,15.690659523010254,15.781357018074974,15.05044179107129,15.738675903785579,118100,0.0,29.08
2011-01-24,16.05879020690918,16.12814665951276,15.210501882797345,15.685329567232863,129400,2.3461772486941257,29.41
2011-01-25,16.106800079345703,16.528275927723428,15.930740367411065,16.026773122575044,204000,0.2989631959689376,30.3
2011-01-26,16.218835830688477,16.437576630005164,15.792024763143194,16.12813835163537,125200,0.6955804429859436,30.38
2011-01-27,16.2135009765625,16.325539520634777,16.005430703054117,16.133474026566805,37300,-0.032892953487340115,30.4
2011-01-28,16.31487274169922,16.410905510820758,15.461249371016581,16.117471936549602,256400,0.6252305734785857,29.89
2011-01-31,16.394899368286133,16.91774330304923,16.13881266769989,16.827046820323268,202900,0.49051333622955884,30.7
2011-02-01,16.385271072387695,16.663259606295284,16.1019375071382,16.663259606295284,85500,-0.058727386378853996,30.53
2011-02-02,16.123327255249023,16.796914660246763,16.059176656480886,16.273013685133648,88600,-1.5986541570258028,31.04
2011-02-03,15.706347465515137,16.337167592537263,15.636850799499156,16.224903512129387,287900,-2.586189457874688,29.44
2011-02-04,16.048479080200195,16.075208317300678,15.706338931314814,15.807911867675712,131500,2.1783015779845982,29.55
2011-02-07,16.03779411315918,16.433392912258448,16.03779411315918,16.139367094712725,97200,-0.06657931251690119,30.38
2011-02-08,16.679302215576172,16.88244710945772,16.011060957254294,16.05917440942589,270600,3.9999771657539096,30.8
2011-02-09,16.76483917236328,16.83968187663639,16.657920149411378,16.780876312047308,45100,0.5128329451769886,31.37
2011-02-10,16.56169319152832,16.962637997118513,16.321126919967423,16.70603356625808,74100,-1.211738321771949,31.12
2011-02-11,16.583070755004883,16.657913429084097,16.422692285278757,16.657913429084097,78300,0.12907836915792004,30.96
2011-02-14,16.807598114013672,17.22458086996468,16.716717296164923,16.754138629457668,219900,1.353955261518891,31.76
2011-02-15,17.04282569885254,17.064209909927616,16.839680791915857,16.89314029994824,201500,1.3995312313110464,31.83
