trade_date,close,open,high,low,vol,pct_change,vwap
20241231,53.06,52.6,53.64,52.45,4204012,0.89,53.09
20241230,52.59,54.0,54.08,52.56,3945331,-3.61,52.93
20241227,54.56,55.08,55.57,54.27,3466459,-1.68,54.62
20241226,55.49,54.59,55.59,53.95,3390882,1.84,55.11
20241224,54.49,53.69,54.5,53.32,2000559,1.49,54.12
20241223,53.69,53.33,53.92,52.74,5309598,-0.43,53.51
20241220,53.92,52.66,54.43,52.66,10844348,-79.58,53.81
20241219,264.03,265.03,266.81,262.38,1498910,-0.44,264.35
20241218,265.19,275.97,275.97,265.11,1381118,-3.64,268.55
20241217,275.21,277.06,278.24,273.07,1194893,-0.47,274.89
20241216,276.52,286.7,287.37,276.33,1163504,-3.13,279.06
20241213,285.45,286.24,287.21,283.7,756469,0.06,285.54
20241212,285.27,285.36,287.27,282.98,720580,-0.08,285.6
20241211,285.49,286.12,288.89,284.79,816142,0.27,286.17
20241210,284.71,284.0,288.1,282.38,745741,0.35,285.37
20241209,283.73,282.46,284.89,278.98,1282340,0.45,282.94
20241206,282.46,285.58,288.17,281.81,1069200,0.0,283.6
20241205,282.47,286.78,289.81,278.76,1151385,-1.19,283.18
20241204,285.86,285.0,287.71,282.69,983932,0.31,285.2
20241203,284.98,288.26,289.55,282.83,1222322,-1.82,285.06
20241202,290.27,283.95,290.8,280.47,1184481,2.33,287.35
20241129,283.67,284.07,286.98,282.54,763894,0.61,284.88
20241127,281.96,281.37,286.75,281.18,730720,0.63,283.25
20241126,280.19,284.82,287.03,279.95,783547,-2.03,281.45
20241125,285.99,284.57,288.19,283.7,1749337,1.52,286.14
20241122,281.71,274.46,283.48,274.46,792430,2.95,281.53
20241121,273.63,272.45,275.04,270.54,862240,1.34,273.05
20241120,270.0,271.0,271.8,267.85,964406,-1.04,269.55
20241119,272.85,274.87,276.49,272.11,664413,-1.43,273.9
20241118,276.82,274.53,277.89,273.86,653286,0.42,276.69
20241115,275.66,276.2,279.12,274.61,998752,-0.51,275.98
20241114,277.08,279.27,282.13,276.67,711419,-0.6,278.83
20241113,278.75,278.69,280.4,277.01,570642,-0.16,278.78
20241112,279.19,281.08,282.8,278.79,837920,-0.85,280.02
20241111,281.57,289.12,289.12,279.89,853584,-2.42,282.21
20241108,288.56,290.99,294.2,287.77,1189344,-0.25,289.59
20241107,289.29,290.43,292.76,286.81,1252798,0.12,289.27
