trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,327.32,331.44,317.93,319.33,314622,-0.96,320.26
2023-01-04,322.62,324.84,315.89,320.68,217760,0.42,320.35
2023-01-05,316.86,317.01,305.95,306.52,285315,-4.42,308.53
2023-01-06,309.65,312.57,301.74,310.91,208206,1.43,309.82
2023-01-09,315.2,327.25,313.41,318.99,327338,2.6,320.94
2023-01-10,318.2,322.23,312.0,313.07,242967,-1.86,314.06
2023-01-11,315.38,318.09,310.15,318.09,378314,1.6,313.99
2023-01-12,320.28,321.41,310.7,316.56,295559,-0.48,314.62
2023-01-13,312.26,317.32,309.94,316.76,278746,0.06,313.72
2023-01-17,317.39,319.77,313.34,319.12,280254,0.75,317.68
2023-01-18,321.25,323.77,304.57,305.13,293950,-4.38,309.51
2023-01-19,302.98,307.47,301.69,305.34,305854,0.07,305.07
2023-01-20,306.44,316.39,304.67,316.0,192153,3.49,313.21
2023-01-23,316.0,325.52,316.0,324.9,202019,2.82,322.96
2023-01-24,325.75,327.32,317.53,319.0,157178,-1.82,320.06
2023-01-25,312.84,319.51,305.2,318.15,168717,-0.27,313.36
2023-01-26,323.46,324.43,317.9,320.88,180615,0.86,320.86
2023-01-27,319.42,327.92,319.21,327.47,188918,2.05,325.55
2023-01-30,323.25,327.04,317.29,317.35,234927,-3.09,320.23
2023-01-31,317.81,322.79,315.58,322.77,164752,1.71,320.9
2023-02-01,322.41,337.45,318.87,336.46,312602,4.24,330.12
2023-02-02,342.21,347.49,340.44,345.29,371882,2.62,344.41
2023-02-03,335.64,341.05,331.27,332.57,310007,-3.68,335.15
2023-02-06,327.91,331.52,325.96,327.5,372155,-1.52,328.31
2023-02-07,326.65,338.7,325.65,336.28,220815,2.68,333.16
2023-02-08,335.23,337.6,323.76,326.09,287918,-3.03,327.46
2023-02-09,331.27,334.75,326.28,327.03,305974,0.29,329.39
2023-02-10,322.23,324.58,320.16,322.54,178269,-1.37,322.24
2023-02-13,324.79,327.03,322.49,325.92,261590,1.05,325.17
2023-02-14,323.24,330.88,321.01,326.19,320135,0.08,326.42
2023-02-15,324.52,332.79,323.54,332.77,409146,2.02,329.78
2023-02-16,324.04,344.53,314.64,339.09,726569,1.9,336.58
2023-02-17,336.22,344.72,333.07,343.6,630298,1.33,340.79
2023-02-21,339.92,343.15,332.58,333.26,443564,-3.01,336.14
2023-02-22,335.69,337.4,330.6,334.59,305337,0.4,334.48
2023-02-23,335.33,341.84,333.97,339.6,327232,1.5,338.5
