trade_date,close,open,high,low,vol,pct_change,vwap
20241231,126.1,125.38,126.13,125.04,3396205,0.62,125.69
20241230,125.32,125.15,125.83,124.21,2897123,-0.63,125.31
20241227,126.11,125.85,126.86,125.35,2869650,-0.2,125.94
20241226,126.36,125.58,127.06,125.44,2820013,0.08,126.49
20241224,126.26,125.21,126.31,124.5,1576746,0.41,125.48
20241223,125.75,125.33,125.93,124.25,3413814,0.06,125.2
20241220,125.68,124.04,126.82,122.01,12385004,2.47,125.36
20241219,122.65,124.07,124.66,122.33,6391832,-0.94,122.97
20241218,123.82,126.9,127.13,123.75,4662688,-2.75,125.41
20241217,127.32,128.0,128.86,126.78,3440891,-0.96,127.5
20241216,128.55,128.58,130.3,128.23,4317457,-0.16,129.1
20241213,128.76,129.03,129.04,127.58,3988443,-0.17,128.54
20241212,128.98,129.26,129.44,127.6,4980055,-0.11,128.59
20241211,129.12,130.33,130.49,128.87,7417215,-0.84,129.31
20241210,130.22,129.3,130.92,128.06,6286731,1.31,129.83
20241209,128.53,126.18,128.79,125.55,6000715,2.32,127.59
20241206,125.61,128.1,128.55,125.41,5708652,-1.55,126.19
20241205,127.59,129.41,129.68,127.45,4624797,-0.92,128.01
20241204,128.78,129.63,129.63,127.8,4765199,-0.72,128.44
20241203,129.71,133.96,134.21,129.51,5561004,-3.22,130.32
20241202,134.02,136.14,136.14,133.14,2717763,-1.25,134.01
20241129,135.72,134.8,136.57,134.64,1533466,0.03,135.82
20241127,135.68,135.16,137.1,135.16,2441589,0.53,135.99
20241126,134.96,137.22,137.59,134.31,3285147,-1.88,134.98
20241125,137.54,135.98,138.67,135.98,5003957,2.02,137.64
20241122,134.82,131.68,135.09,131.68,3635990,2.63,134.27
20241121,131.37,131.77,132.55,131.01,2976563,-0.55,131.64
20241120,132.09,133.38,133.42,130.82,3846345,-0.83,131.64
20241119,133.2,134.74,134.74,132.67,3834075,-1.43,133.27
20241118,135.13,132.3,135.31,132.03,4021303,0.79,134.44
20241115,134.07,132.28,134.11,132.09,3328047,1.08,133.59
20241114,132.64,133.65,133.93,132.04,2933202,-0.78,133.03
20241113,133.68,130.65,134.31,129.8,4562254,2.72,132.83
20241112,130.14,131.93,132.3,130.01,3214065,-1.12,130.66
20241111,131.61,132.66,133.73,131.24,4631922,-0.63,132.0
20241108,132.44,134.11,134.12,132.24,3074991,-1.27,132.76
20241107,134.15,135.15,135.4,134.04,3019020,0.17,134.63
20241106,133.92,135.35,135.79,132.2,5542824,0.06,133.54
20241105,133.84,132.7,133.86,132.07,2513910,0.63,133.18
20241104,133.0,134.36,134.77,132.1,2402122,-0.78,132.96
20241101,134.05,134.58,135.37,133.43,2240762,-0.01,134.27
20241031,134.06,133.65,134.91,133.03,3271465,0.19,134.24
20241030,133.8,134.0,135.32,133.6,2737754,-0.38,134.04
20241029,134.31,134.75,136.07,133.97,3026301,-0.76,134.96
20241028,135.34,137.33,137.79,135.17,3753138,-1.52,136.02
20241025,137.43,138.34,140.33,137.18,4801524,-0.66,138.35
20241024,138.35,145.0,145.01,136.57,11930137,5.28,139.07
20241023,131.41,131.24,132.1,130.54,3415080,0.06,131.27
20241022,131.33,130.82,132.1,129.77,3242457,0.0,131.24
20241021,131.33,133.52,133.85,131.11,4325113,-3.38,132.07
20241018,135.93,136.14,136.45,135.19,3164345,0.38,135.84
20241017,135.41,135.85,136.23,134.98,3800656,-0.32,135.4
