trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,288.61,289.06,283.5,286.02,1100425,-0.96,285.92
2023-01-04,288.3,289.29,283.98,286.83,1137569,0.28,286.37
2023-01-05,284.33,290.17,283.9,287.89,1187032,0.37,287.89
2023-01-06,291.81,293.65,288.62,290.21,943550,0.81,291.43
2023-01-09,290.09,291.66,282.21,283.23,1299433,-2.41,285.43
2023-01-10,283.23,288.85,282.58,288.75,1038905,1.95,287.03
2023-01-11,289.87,292.89,286.89,292.25,1630425,1.21,291.14
2023-01-12,290.22,296.28,288.72,296.25,1801180,1.37,293.8
2023-01-13,296.39,301.26,295.58,300.94,1448360,1.58,299.68
2023-01-17,303.49,312.35,302.62,311.98,2070743,3.67,310.51
2023-01-18,311.8,312.66,307.06,309.86,2265136,-0.68,309.28
2023-01-19,310.03,311.54,302.52,307.94,1551522,-0.62,306.75
2023-01-20,306.31,310.46,305.49,309.84,1466215,0.62,308.99
2023-01-23,309.59,312.43,308.53,311.81,1810774,0.64,311.41
2023-01-24,311.8,313.89,309.53,313.57,932319,0.56,312.24
2023-01-25,314.36,315.33,312.0,315.28,1315134,0.55,314.15
2023-01-26,315.75,321.11,314.6,321.02,1301967,1.82,319.24
2023-01-27,321.0,323.67,319.58,321.45,1288678,0.13,321.69
2023-01-30,321.21,322.69,319.23,319.98,2261752,-0.46,320.4
2023-01-31,319.98,325.19,319.98,323.1,1352959,0.98,323.32
2023-02-01,321.5,323.1,312.58,317.27,1237652,-1.8,316.78
2023-02-02,315.0,315.77,301.05,303.78,1943953,-4.25,304.91
2023-02-03,304.56,306.4,300.75,301.02,1621432,-0.91,302.8
2023-02-06,299.81,310.28,299.72,304.87,1295580,1.28,305.81
2023-02-07,303.59,309.44,302.24,308.54,1300784,1.2,306.67
2023-02-08,302.98,303.11,293.09,293.33,2168707,-4.93,296.91
2023-02-09,293.1,295.52,289.58,291.6,1798662,-0.59,292.33
2023-02-10,291.95,298.49,290.17,297.4,1342135,1.99,296.45
2023-02-13,295.53,300.99,295.53,299.18,1053320,0.6,298.93
2023-02-14,297.47,301.35,295.0,300.25,1190375,0.36,298.65
2023-02-15,299.06,299.57,294.08,298.75,899772,-0.5,297.05
2023-02-16,296.17,298.39,291.49,292.04,1039388,-2.25,294.19
2023-02-17,291.24,295.69,290.0,293.66,1278127,0.55,293.7
2023-02-21,290.76,295.84,290.76,292.48,1125525,-0.4,293.38
2023-02-22,292.84,296.66,290.0,294.36,1010809,0.64,294.34
2023-02-23,293.91,296.26,290.72,292.57,750706,-0.61,292.94
2023-02-24,290.4,291.75,286.48,287.37,1085072,-1.78,288.28
2023-02-27,286.62,290.05,285.31,287.4,856107,0.01,287.46
2023-02-28,286.22,291.56,285.6,290.29,1510455,1.01,289.83
2023-03-01,289.06,292.6,287.16,291.23,1056449,0.32,290.49
2023-03-02,290.1,293.15,289.57,290.76,766642,-0.16,290.73
2023-03-03,290.52,291.2,287.51,290.51,1060275,-0.09,289.51
2023-03-06,290.0,294.0,288.88,291.62,1026454,0.38,291.68
2023-03-07,291.85,291.85,285.27,286.58,1057913,-1.73,287.19
2023-03-08,285.52,287.11,283.6,285.18,676724,-0.49,285.25
2023-03-09,288.3,289.21,284.57,286.88,1000284,0.6,287.19
2023-03-10,286.58,296.4,285.92,287.24,1459286,0.13,289.92
2023-03-13,288.31,296.75,288.31,293.46,1355045,2.17,293.61
2023-03-14,293.81,295.56,290.71,295.25,1095220,0.61,294.37
2023-03-15,295.22,296.22,291.85,294.27,839070,-0.33,293.93
2023-03-16,291.36,301.54,290.66,300.64,1120729,2.16,298.43
2023-03-17,300.17,301.23,293.4,295.77,1675984,-1.62,296.99
2023-03-20,296.72,300.74,296.09,298.95,767832,1.08,298.65
2023-03-21,301.0,303.44,299.64,302.66,1025553,1.24,301.98
2023-03-22,303.48,303.99,297.75,297.87,774662,-1.58,300.5
2023-03-23,301.95,305.47,300.68,304.75,1312778,2.31,303.73
2023-03-24,305.38,315.0,302.87,314.39,2376855,3.16,311.68
2023-03-27,314.68,315.27,307.93,308.47,1114487,-1.88,310.52
2023-03-28,310.75,313.33,309.43,313.25,1056846,1.55,312.01
2023-03-29,312.55,316.31,311.41,314.24,1185847,0.32,314.31
2023-03-30,314.75,315.56,310.9,312.16,781367,-0.66,312.48
2023-03-31,313.0,315.38,312.1,315.07,1111143,0.93,314.18
2023-04-03,315.0,318.0,313.55,316.33,835086,0.4,316.56
2023-04-04,315.56,318.85,313.47,314.42,952183,-0.6,315.24
2023-04-05,316.4,322.1,314.33,321.94,1126115,2.39,320.13
2023-04-06,321.41,324.65,321.13,321.66,912017,-0.09,322.38
2023-04-10,320.48,323.45,318.02,323.24,665739,0.49,321.67
2023-04-11,324.17,324.97,321.4,324.83,649781,0.49,324.04
2023-04-12,324.36,327.98,323.98,326.37,988804,0.47,326.56
2023-04-13,326.97,334.09,326.01,333.35,1259455,2.14,331.0
2023-04-14,332.96,334.18,331.37,333.52,931003,0.05,332.84
2023-04-17,335.0,335.0,327.09,327.74,1044932,-1.73,329.01
2023-04-18,328.0,328.0,323.38,325.15,957527,-0.79,325.02
2023-04-19,326.79,330.15,325.19,328.45,796366,1.01,328.11
2023-04-20,326.79,330.47,326.68,329.15,812316,0.21,328.84
2023-04-21,330.89,335.28,330.25,331.09,925003,0.59,332.4
2023-04-24,331.05,333.86,329.84,332.84,597054,0.53,332.67
2023-04-25,334.5,336.25,331.18,331.93,842401,-0.27,333.1
2023-04-26,326.5,327.23,316.43,323.3,1572707,-2.6,321.76
