trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,10.45,10.71,10.45,10.63,10148278,2.31,10.63
2023-01-04,10.74,11.0,10.67,10.97,10617547,3.2,10.92
2023-01-05,10.9,11.09,10.73,11.06,9215504,0.82,10.96
2023-01-06,11.13,11.31,11.02,11.3,7879738,2.17,11.24
2023-01-09,11.32,11.38,11.19,11.21,12884493,-0.8,11.26
2023-01-10,11.2,11.23,10.98,11.06,7872551,-1.34,11.05
2023-01-11,11.06,11.08,10.61,10.99,13306778,-0.63,10.85
2023-01-12,10.98,11.05,10.82,10.89,12017743,-0.91,10.89
2023-01-13,10.81,10.84,10.67,10.78,14142629,-1.01,10.74
2023-01-17,10.74,11.07,10.73,11.06,9489625,2.6,11.0
2023-01-18,11.04,11.06,10.63,10.71,10629036,-3.16,10.73
2023-01-19,10.64,10.9,10.51,10.76,9961317,0.47,10.76
2023-01-20,10.74,10.86,10.59,10.83,7878317,0.65,10.74
2023-01-23,10.85,11.06,10.81,11.04,7245567,1.94,10.99
2023-01-24,10.98,11.01,10.81,10.83,5518539,-1.9,10.88
2023-01-25,10.81,10.9,10.65,10.87,7145238,0.37,10.8
2023-01-26,10.79,10.89,10.71,10.87,5423383,0.0,10.81
2023-01-27,11.11,11.29,11.03,11.1,9864496,2.12,11.15
2023-01-30,11.05,11.21,11.0,11.15,8186938,0.45,11.15
2023-01-31,11.15,11.39,11.12,11.35,12176278,1.79,11.32
2023-02-01,11.26,11.58,11.25,11.45,9534301,0.88,11.44
2023-02-02,11.43,11.44,11.23,11.38,13719668,-0.61,11.34
2023-02-03,11.38,11.45,11.3,11.37,7055742,-0.09,11.38
2023-02-06,11.25,11.31,11.04,11.25,10046403,-1.06,11.21
2023-02-07,11.3,11.43,11.17,11.31,6456125,0.53,11.3
2023-02-08,11.24,11.3,11.11,11.13,4907582,-1.59,11.18
2023-02-09,11.19,11.2,10.92,10.94,7785293,-1.71,11.0
2023-02-10,10.94,11.1,10.9,11.06,6274961,1.1,11.0
2023-02-13,11.02,11.26,11.01,11.19,6171797,1.18,11.14
2023-02-14,11.22,11.25,11.01,11.03,6939637,-1.43,11.08
2023-02-15,10.94,11.1,10.86,11.06,10006598,0.27,11.02
2023-02-16,10.94,10.97,10.81,10.88,14637325,-1.63,10.9
2023-02-17,10.77,10.99,10.55,10.92,7178184,0.37,10.84
2023-02-21,10.84,10.88,10.63,10.74,7748309,-1.65,10.73
