trade_date,close,open,high,low,vol,pct_change,vwap
20241231,39.99,39.64,40.03,39.55,13181469,0.98,39.86
20241230,39.6,39.8,39.84,39.4,15539458,-0.8,39.6
20241227,39.92,39.86,40.16,39.65,15008602,-0.1,39.88
20241226,39.96,39.83,40.17,39.74,12881278,0.4,39.94
20241224,39.8,39.9,39.96,39.47,11687051,-0.35,39.81
20241223,39.94,39.93,40.13,39.83,21070333,0.03,39.92
20241220,39.93,39.93,40.39,39.92,46252536,-0.1,40.02
20241219,39.97,40.05,40.46,39.93,17859083,-0.67,40.1
20241218,40.24,40.7,41.05,40.21,18197891,-1.32,40.53
20241217,40.78,40.66,41.12,40.51,15095883,-0.24,40.86
20241216,40.88,42.16,42.25,40.81,30037793,-3.31,41.13
20241213,42.28,42.0,42.4,41.81,13283989,0.48,42.19
20241212,42.08,42.06,42.16,41.81,11232270,0.21,42.04
20241211,41.99,42.19,42.46,41.89,13718926,-0.73,42.07
20241210,42.3,42.37,42.65,42.07,16165000,-0.14,42.36
20241209,42.36,42.46,43.1,42.16,15390114,-0.02,42.6
20241206,42.37,42.53,42.67,42.02,15396778,-0.42,42.33
20241205,42.55,42.59,42.87,42.52,15901547,0.07,42.64
20241204,42.52,43.73,43.78,42.4,21029024,-2.99,42.7
20241203,43.83,43.91,44.42,43.7,15335129,-0.05,43.91
20241202,43.85,44.27,44.32,43.52,12518051,-1.11,43.85
20241129,44.34,44.38,44.52,44.05,9020711,-0.09,44.32
20241127,44.38,44.48,44.73,44.37,12349020,0.02,44.51
20241126,44.37,43.98,44.5,43.75,16955536,0.89,44.27
20241125,43.98,43.34,44.04,43.31,27996739,1.92,43.9
20241122,43.15,42.6,43.34,42.34,16910860,1.53,43.08
20241121,42.5,42.22,42.74,42.01,12430079,0.66,42.47
20241120,42.22,42.0,42.28,41.75,14681985,0.69,42.12
20241119,41.93,42.21,42.23,41.8,9733754,-0.76,41.93
20241118,42.25,41.67,42.57,41.67,17288032,1.44,42.28
20241115,41.65,40.8,41.77,40.8,21401118,1.91,41.43
20241114,40.87,41.14,41.26,40.86,13133149,-0.66,41.01
20241113,41.14,40.4,41.4,40.31,19310598,1.83,40.98
20241112,40.4,40.5,40.6,40.07,15753051,-0.1,40.33
20241111,40.44,40.47,40.88,40.41,16260473,-0.1,40.55
20241108,40.48,40.74,40.85,40.42,20850422,-0.22,40.57
20241107,40.57,41.08,41.19,40.51,23934079,-1.43,40.69
20241106,41.16,41.44,41.67,40.93,21816118,-0.24,41.18
20241105,41.26,41.01,41.27,40.83,12261024,0.49,41.16
20241104,41.06,41.65,41.77,40.9,14583098,-0.73,41.11
20241101,41.36,42.12,42.35,41.3,16558606,-1.83,41.65
20241031,42.13,41.26,42.65,41.24,31054547,2.06,42.21
20241030,41.28,41.33,41.51,41.12,16350997,-0.12,41.3
20241029,41.33,41.32,41.68,41.29,14992762,-0.7,41.41
20241028,41.62,41.45,41.78,41.39,13509106,0.58,41.59
20241025,41.38,41.9,42.18,41.37,19692848,-1.15,41.6
20241024,41.86,42.38,42.45,41.64,23435922,-2.33,41.86
20241023,42.86,41.86,42.9,41.76,27023485,3.28,42.44
20241022,41.5,41.9,42.64,40.75,41796500,-5.03,41.66
20241021,43.7,44.04,44.2,43.6,18660336,-0.66,43.78
20241018,43.99,43.83,44.16,43.67,12977555,0.32,43.98
20241017,43.85,43.88,44.0,43.52,10539461,-0.14,43.76
20241016,43.91,43.74,44.1,43.66,9426777,0.39,43.88
20241015,43.74,43.47,43.97,43.16,15114305,1.27,43.75
20241014,43.19,43.0,43.29,42.89,9485852,0.44,43.16
20241011,43.0,43.15,43.24,42.8,10643665,0.12,42.99
20241010,42.95,43.44,43.67,42.81,12331020,-2.63,43.03
20241009,44.11,44.06,44.25,43.8,12504762,0.23,44.1
20241008,44.01,44.0,44.15,43.69,10786555,0.39,43.97
20241007,43.84,44.08,44.13,43.77,12832614,-0.77,43.93
20241004,44.18,43.77,44.25,43.55,14178036,-0.76,43.99
20241003,44.52,44.93,44.96,44.39,12258415,-1.18,44.57
20241002,45.05,45.13,45.28,44.87,11951645,-0.35,45.06
20241001,45.21,44.96,45.24,44.66,17368110,0.67,45.05
20240930,44.91,45.13,45.36,44.79,13365540,0.04,44.98
20240927,44.89,44.71,45.05,44.49,15610247,0.61,44.84
20240926,44.62,44.6,44.88,44.36,15276118,0.16,44.67
20240925,44.55,44.8,44.88,44.42,21648282,-0.25,44.61
