trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,39.84,40.34,39.68,40.01,15944340,1.21,40.01
2023-01-04,40.45,41.23,40.43,40.83,18943555,2.05,40.84
2023-01-05,40.77,40.81,40.14,40.61,12380715,-0.54,40.54
2023-01-06,40.78,41.17,40.31,40.98,15247016,0.91,40.9
2023-01-09,41.28,41.29,40.36,40.58,21225583,-0.98,40.77
2023-01-10,40.85,41.05,40.22,40.55,18348817,-0.07,40.56
2023-01-11,40.57,41.0,40.22,40.92,18272129,0.91,40.75
2023-01-12,41.22,41.69,40.98,41.0,20940372,0.2,41.27
2023-01-13,39.62,42.47,38.74,42.34,41649672,3.27,41.06
2023-01-17,41.97,42.48,41.34,42.24,25473852,-0.24,42.07
2023-01-18,42.09,42.71,41.45,41.53,20277989,-1.68,41.9
2023-01-19,41.08,41.36,40.71,41.12,18565317,-0.99,41.11
2023-01-20,41.24,42.07,40.94,42.05,23237243,2.26,41.73
2023-01-23,42.06,43.25,42.0,43.11,19692032,2.52,42.88
2023-01-24,42.8,43.27,42.48,42.56,13697168,-1.28,42.78
2023-01-25,42.17,43.48,42.15,43.41,17287086,2.0,43.07
2023-01-26,43.59,43.94,43.24,43.86,16724633,1.04,43.63
2023-01-27,43.86,44.39,43.86,44.15,18161805,0.66,44.21
2023-01-30,43.95,44.66,43.86,44.32,19427395,0.39,44.4
2023-01-31,44.35,44.88,44.1,44.87,22840372,1.24,44.67
2023-02-01,44.67,45.76,44.49,45.31,21874606,0.98,45.16
2023-02-02,45.59,45.83,44.74,45.51,19057958,0.44,45.41
2023-02-03,45.28,46.29,45.23,45.84,17346887,0.73,45.8
2023-02-06,45.53,46.02,45.43,45.94,15948899,0.22,45.77
2023-02-07,45.7,46.64,45.62,46.37,21764790,0.94,46.23
2023-02-08,45.96,46.84,45.87,46.49,18070536,0.26,46.56
2023-02-09,46.7,46.85,45.76,45.83,17362106,-1.42,46.3
2023-02-10,45.67,45.96,45.26,45.78,18929040,-0.11,45.72
2023-02-13,45.61,46.39,45.4,46.37,16451661,1.29,46.19
2023-02-14,46.18,47.06,46.01,46.73,16844438,0.78,46.71
2023-02-15,46.17,46.5,45.96,46.22,12856711,-1.09,46.22
2023-02-16,45.86,46.06,45.47,45.5,12631719,-1.56,45.72
2023-02-17,45.37,45.83,45.3,45.76,13463805,0.57,45.57
2023-02-21,45.35,45.35,44.29,44.55,13652657,-2.64,44.63
2023-02-22,44.27,44.54,44.02,44.33,13402926,-0.49,44.29
2023-02-23,44.44,44.74,44.11,44.56,14783579,0.52,44.48
2023-02-24,44.17,45.05,44.03,44.92,16040297,0.81,44.69
2023-02-27,45.23,45.7,45.01,45.07,15468290,0.33,45.29
2023-02-28,44.97,45.31,44.84,45.06,18627235,-0.02,45.12
2023-03-01,44.8,45.21,44.56,44.98,13382239,-0.18,44.94
2023-03-02,44.76,44.92,43.72,44.13,19116481,-1.89,44.1
2023-03-03,44.34,45.26,44.23,45.14,14947168,2.29,44.92
2023-03-06,45.17,45.46,44.81,44.93,14235997,-0.47,45.11
2023-03-07,44.5,44.58,42.51,42.83,24056782,-4.67,43.19
2023-03-08,42.64,42.93,42.01,42.24,14852047,-1.38,42.39
2023-03-09,41.85,41.94,39.34,39.63,33599809,-6.18,40.24
2023-03-10,39.1,40.81,38.27,39.85,55435395,0.56,39.67
2023-03-13,38.35,39.07,36.82,37.01,78806938,-7.13,37.5
2023-03-14,39.98,40.08,37.93,38.7,52855086,4.57,38.68
2023-03-15,36.9,37.55,36.69,37.43,47324579,-3.28,37.11
2023-03-16,37.22,38.59,36.76,37.87,40397551,1.18,37.75
2023-03-17,37.35,37.35,36.16,36.38,47403809,-3.93,36.47
2023-03-20,36.73,37.05,36.08,36.11,34283747,-0.74,36.53
2023-03-21,37.2,37.54,36.96,37.08,34664649,2.69,37.19
2023-03-22,37.29,37.29,35.83,35.84,22994383,-3.34,36.52
2023-03-23,36.12,36.27,35.18,35.27,30239875,-1.59,35.63
2023-03-24,34.69,35.15,33.96,34.91,35703106,-1.02,34.63
2023-03-27,35.67,36.31,35.61,36.1,27454606,3.41,36.04
2023-03-28,36.0,36.22,35.52,35.82,15270004,-0.78,35.84
2023-03-29,36.23,36.62,35.94,36.58,20789094,2.12,36.37
2023-03-30,36.9,37.09,35.81,36.02,22340446,-1.53,36.25
2023-03-31,36.35,36.56,35.95,36.02,30287860,0.0,36.09
2023-04-03,36.15,36.77,36.03,36.34,21540977,0.89,36.32
2023-04-04,36.32,36.42,35.06,35.47,21942680,-2.39,35.44
2023-04-05,35.17,35.66,34.95,35.54,15486891,0.2,35.41
2023-04-06,35.76,36.71,35.71,36.52,23484942,2.76,36.38
2023-04-10,36.32,37.29,36.24,37.22,27005817,1.92,37.02
2023-04-11,37.35,38.1,37.29,37.93,25116114,1.91,37.84
2023-04-12,37.98,38.4,37.47,37.76,20252926,-0.45,37.84
2023-04-13,37.88,38.23,37.61,38.21,22397754,1.19,38.1
2023-04-14,38.3,39.03,37.69,38.19,40963063,-0.05,38.22
2023-04-17,38.38,39.79,38.12,39.79,31445106,4.19,39.3
2023-04-18,39.71,40.52,39.64,40.34,27892258,1.38,40.16
2023-04-19,40.44,40.86,40.26,40.7,23310493,0.89,40.62
2023-04-20,40.34,40.51,39.94,40.15,19265540,-1.35,40.19
2023-04-21,39.71,39.89,38.74,39.73,23975297,-1.05,39.6
2023-04-24,39.63,40.08,39.54,39.94,17327817,0.53,39.89
2023-04-25,39.21,39.56,38.91,39.07,20727969,-2.18,39.19
2023-04-26,38.77,38.97,37.81,38.02,26915625,-2.69,38.31
2023-04-27,38.09,38.33,37.88,38.21,21695754,0.5,38.14
2023-04-28,37.82,38.46,37.53,38.3,20192961,0.24,38.18
2023-05-01,39.01,39.67,38.72,38.92,26564348,1.62,39.12
2023-05-02,38.55,38.55,36.92,37.42,36239477,-3.85,37.44
2023-05-03,37.61,38.22,37.2,37.24,25202739,-0.48,37.71
2023-05-04,36.59,36.98,35.35,35.66,53246973,-4.24,35.81
2023-05-05,36.37,37.17,36.25,36.84,27039665,3.31,36.77
2023-05-08,37.32,37.65,37.04,37.27,22735422,1.17,37.4
2023-05-09,36.84,37.55,36.68,37.42,18999063,0.4,37.21
2023-05-10,38.06,38.09,36.8,37.17,17941575,-0.67,37.25
2023-05-11,36.67,37.37,36.33,37.22,18536196,0.13,37.16
2023-05-12,37.35,37.41,36.1,36.4,17658641,-2.2,36.45
2023-05-15,36.51,37.96,36.37,37.65,24405848,3.43,37.53
2023-05-16,37.56,37.65,37.21,37.28,21823891,-0.98,37.41
2023-05-17,37.86,39.43,37.76,39.29,29241598,5.39,38.92
2023-05-18,39.15,39.15,38.42,39.05,27213899,-0.61,38.8
2023-05-19,39.16,39.28,38.47,38.87,19774942,-0.46,38.9
2023-05-22,39.04,40.04,38.94,39.79,27519430,2.37,39.56
2023-05-23,39.82,40.9,39.79,40.02,26116555,0.58,40.37
2023-05-24,39.7,40.09,39.5,39.69,21193747,-0.82,39.76
2023-05-25,39.44,40.09,39.35,39.72,17691782,0.08,39.8
2023-05-26,39.72,40.32,39.58,40.04,17399403,0.81,40.06
2023-05-30,40.05,40.22,39.17,39.79,14752583,-0.62,39.56
2023-05-31,39.12,39.3,38.16,38.66,27221067,-2.84,38.59
2023-06-01,39.05,39.36,38.53,38.9,17079391,0.62,38.99
2023-06-02,39.44,40.35,39.21,40.05,16906059,2.96,40.03
2023-06-05,39.97,40.1,39.27,39.28,19433790,-1.92,39.49
2023-06-06,39.23,40.41,39.09,40.06,18825118,1.99,39.94
2023-06-07,40.25,40.92,39.8,40.85,17781833,1.97,40.53
2023-06-08,40.49,41.17,40.35,41.14,17159321,0.71,40.78
2023-06-09,41.1,41.23,40.81,40.91,11101145,-0.56,40.96
2023-06-12,40.89,41.52,40.21,40.62,19435625,-0.71,40.66
2023-06-13,40.47,42.08,40.32,41.41,18863973,1.94,41.52
2023-06-14,41.51,41.74,40.77,40.86,14826071,-1.33,41.14
2023-06-15,40.61,41.19,40.41,41.13,14188172,0.66,40.91
2023-06-16,41.35,41.5,40.84,40.96,36422067,-0.41,41.06
2023-06-21,40.64,40.74,40.33,40.44,11686485,-0.59,40.52
2023-06-22,40.35,40.42,39.73,39.87,11506653,-1.41,39.96
2023-06-23,39.36,39.55,39.13,39.43,18952028,-1.1,39.41
2023-06-26,39.6,40.03,39.28,39.41,13537633,-0.05,39.5
2023-06-27,39.44,39.87,39.17,39.72,11749594,0.79,39.69
2023-06-28,39.73,39.75,39.21,39.44,13959579,-0.7,39.38
2023-06-29,40.28,41.28,40.17,41.22,23956317,4.51,40.95
2023-06-30,41.71,41.97,41.39,41.44,20062200,0.53,41.55
2023-07-03,41.64,42.33,41.5,42.14,9249141,1.69,42.05
2023-07-05,41.98,42.36,41.53,42.22,15723583,0.19,42.14
2023-07-06,41.97,42.06,41.02,41.65,14981508,-1.35,41.46
2023-07-07,41.36,42.17,41.36,41.53,13506536,-0.29,41.78
2023-07-10,41.47,41.74,41.06,41.09,16675758,-1.06,41.27
2023-07-11,41.12,41.69,40.85,41.5,15402344,1.0,41.36
2023-07-12,42.06,42.58,41.76,42.01,13998344,1.23,42.05
