trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,46.48,46.86,46.33,46.83,5749895,1.28,46.65
2023-01-04,46.77,46.97,46.33,46.88,4446305,0.11,46.73
2023-01-05,46.78,47.0,46.52,46.72,4424809,-0.34,46.74
2023-01-06,47.15,48.11,47.03,47.86,7077270,2.44,47.8
2023-01-09,47.71,48.22,47.22,47.27,5918871,-1.23,47.59
2023-01-10,47.26,47.43,46.87,47.24,3990219,-0.06,47.14
2023-01-11,47.52,47.67,47.19,47.65,4944867,0.87,47.47
2023-01-12,47.74,47.75,47.08,47.22,4157594,-0.9,47.31
2023-01-13,47.46,47.55,46.91,47.38,4566731,0.34,47.22
2023-01-17,47.38,47.51,47.02,47.09,5040813,-0.61,47.17
2023-01-18,47.02,47.04,45.81,45.93,7558141,-2.46,46.23
2023-01-19,46.11,46.15,45.26,45.27,5780699,-1.44,45.55
2023-01-20,45.46,45.91,45.06,45.83,9847660,1.24,45.64
2023-01-23,45.8,46.63,45.72,46.51,4383270,1.48,46.4
2023-01-24,46.51,46.78,46.35,46.64,4556449,0.28,46.57
2023-01-25,46.38,46.58,45.78,46.42,4163910,-0.47,46.23
2023-01-26,46.64,46.88,46.23,46.37,5273031,-0.11,46.46
2023-01-27,46.5,47.11,46.22,46.73,6137582,0.78,46.78
2023-01-30,46.34,46.45,46.07,46.35,5299156,-0.81,46.26
2023-01-31,46.41,46.92,46.19,46.91,4701156,1.21,46.61
2023-02-01,46.85,47.48,46.53,47.18,4283059,0.58,47.03
2023-02-02,47.09,47.24,46.61,46.83,5935590,-0.74,46.9
2023-02-03,46.75,46.94,45.93,46.21,5718500,-1.32,46.21
2023-02-06,46.25,46.34,45.66,45.87,5817973,-0.74,45.83
2023-02-07,45.58,46.08,45.23,45.97,5447117,0.22,45.66
2023-02-08,45.76,46.01,45.65,45.72,3897058,-0.54,45.79
2023-02-09,45.94,46.28,45.84,46.15,4354981,0.94,46.08
2023-02-10,46.66,46.94,46.36,46.87,5000945,1.56,46.73
2023-02-13,47.19,47.65,47.12,47.58,5338637,1.51,47.47
2023-02-14,47.52,47.98,47.14,47.44,4610629,-0.29,47.5
2023-02-15,47.27,47.8,47.14,47.79,4892684,0.74,47.54
2023-02-16,47.44,47.61,47.02,47.04,5437387,-1.57,47.25
2023-02-17,47.32,47.83,47.14,47.75,8256942,1.51,47.54
2023-02-21,46.59,48.37,46.35,48.04,18131278,0.61,47.83
2023-02-22,47.86,48.12,46.55,47.03,9947984,-2.1,47.08
2023-02-23,47.08,47.08,45.88,46.33,7340418,-1.49,46.34
2023-02-24,45.93,46.55,45.5,46.46,6874531,0.28,46.16
2023-02-27,46.54,46.66,45.87,46.12,5549098,-0.73,46.24
2023-02-28,45.98,46.52,45.96,46.35,6018035,0.5,46.35
2023-03-01,46.0,46.07,45.45,45.7,4726731,-1.4,45.69
2023-03-02,45.6,45.89,45.49,45.82,4929516,0.26,45.78
2023-03-03,45.99,46.04,45.58,45.87,5629559,0.11,45.8
2023-03-06,45.82,45.97,45.66,45.86,5573613,-0.02,45.85
2023-03-07,46.04,46.2,45.26,45.41,5795840,-0.98,45.53
2023-03-08,45.18,45.3,44.77,45.03,6363574,-0.84,45.02
2023-03-09,45.27,45.32,44.65,44.73,5138563,-0.67,44.93
2023-03-10,44.68,45.09,44.38,44.66,6688359,-0.16,44.71
2023-03-13,44.57,45.16,44.54,44.79,9380692,0.29,44.93
2023-03-14,44.9,45.09,44.67,45.03,8514219,0.54,44.94
2023-03-15,44.64,45.59,44.58,45.53,11044540,1.11,45.22
2023-03-16,45.65,45.72,45.15,45.28,9637469,-0.55,45.4
2023-03-17,45.25,45.67,45.05,45.64,14360403,0.8,45.42
2023-03-20,45.87,46.47,45.78,46.13,11309528,1.07,46.06
2023-03-21,46.29,46.29,45.69,45.98,6337781,-0.33,45.95
2023-03-22,46.05,46.24,45.66,45.68,6182809,-0.65,45.94
2023-03-23,45.9,46.37,45.67,46.05,7348067,0.81,46.06
2023-03-24,46.17,46.65,46.04,46.43,7584274,0.83,46.48
2023-03-27,46.75,47.47,46.75,47.2,8925172,1.66,47.2
2023-03-28,47.03,47.28,46.84,47.02,7094281,-0.38,47.09
2023-03-29,47.27,47.46,46.97,47.22,8072465,0.43,47.19
2023-03-30,47.64,48.0,47.48,47.7,7293000,1.02,47.64
2023-03-31,47.99,48.6,47.96,48.28,6955996,1.22,48.27
2023-04-03,48.37,48.77,48.3,48.68,6588883,0.83,48.63
2023-04-04,48.63,48.72,48.14,48.21,6037887,-0.97,48.32
2023-04-05,48.19,49.07,48.18,49.01,8846899,1.66,48.88
2023-04-06,48.72,49.45,48.63,49.38,5963871,0.75,49.21
2023-04-10,49.23,49.48,49.04,49.28,4839699,-0.2,49.27
2023-04-11,49.44,49.44,48.99,49.14,6123477,-0.28,49.21
2023-04-12,49.04,49.43,48.84,48.9,3736566,-0.49,49.1
2023-04-13,49.0,49.11,48.52,48.95,4424231,0.1,48.84
2023-04-14,48.8,49.08,48.51,48.62,3488507,-0.67,48.67
2023-04-17,48.67,49.01,48.62,48.96,5388938,0.7,48.85
2023-04-18,49.04,49.23,48.93,49.06,4494317,0.2,49.09
2023-04-19,49.39,49.58,49.04,49.12,4144516,0.12,49.21
2023-04-20,49.18,49.57,48.98,49.43,4547324,0.63,49.34
2023-04-21,49.76,49.87,49.5,49.68,8445242,0.51,49.67
2023-04-24,49.67,50.08,49.67,50.02,4526504,0.68,49.92
2023-04-25,50.19,50.34,49.55,49.63,5748867,-0.78,49.81
2023-04-26,49.43,49.58,49.19,49.41,4303410,-0.44,49.36
2023-04-27,49.37,49.75,49.37,49.57,4286988,0.32,49.57
2023-04-28,49.54,49.82,49.17,49.43,4696192,-0.28,49.41
2023-05-01,49.45,49.95,49.42,49.63,3803383,0.4,49.69
2023-05-02,49.6,49.6,48.94,49.5,3776718,-0.26,49.33
2023-05-03,49.62,49.8,49.2,49.32,4111449,-0.36,49.42
2023-05-04,49.48,49.63,49.13,49.45,4670445,0.26,49.39
2023-05-05,49.4,49.96,49.24,49.88,4851969,0.87,49.83
2023-05-08,49.72,50.27,49.65,50.19,4975567,0.62,50.06
2023-05-09,50.19,50.35,50.07,50.28,5069914,0.18,50.25
2023-05-10,50.51,50.73,49.7,50.14,5275867,-0.28,50.08
2023-05-11,50.14,50.38,49.96,50.33,3975620,0.38,50.25
2023-05-12,50.48,50.64,50.19,50.31,5373086,-0.04,50.36
2023-05-15,50.45,50.57,49.75,49.92,5371344,-0.78,50.01
2023-05-16,49.58,49.8,49.16,49.23,5180004,-1.38,49.43
2023-05-17,49.67,49.68,48.88,49.15,8995313,-0.16,49.16
2023-05-18,49.89,50.71,49.28,49.78,15589524,1.28,49.88
2023-05-19,49.76,49.78,49.01,49.27,9198035,-1.02,49.28
2023-05-22,49.2,49.33,48.74,48.84,5372598,-0.87,48.9
2023-05-23,48.65,48.93,48.34,48.74,5434078,-0.2,48.71
2023-05-24,48.81,48.82,48.08,48.52,6838383,-0.45,48.41
2023-05-25,48.27,48.46,47.69,48.04,7099914,-0.99,48.0
2023-05-26,47.89,48.25,47.81,48.12,5240285,0.17,48.11
2023-05-30,48.08,48.41,47.85,48.01,5247531,-0.23,48.11
2023-05-31,47.79,48.42,47.66,48.27,10043602,0.54,48.2
2023-06-01,48.05,48.61,47.97,48.45,6746395,0.37,48.33
2023-06-02,48.39,48.98,48.35,48.91,6392746,0.95,48.83
2023-06-05,49.09,49.71,49.03,49.23,5685317,0.65,49.33
2023-06-06,49.2,49.36,48.81,49.23,5005227,0.0,49.1
2023-06-07,49.05,49.42,48.98,49.3,8085547,0.14,49.24
2023-06-08,49.43,50.1,49.23,50.01,6291774,1.44,49.73
2023-06-09,50.01,50.52,49.83,50.32,5201867,0.62,50.28
2023-06-12,50.43,50.71,50.34,50.65,4905223,0.66,50.58
2023-06-13,50.79,51.11,50.64,51.04,5246297,0.77,50.94
2023-06-14,51.24,51.71,51.14,51.56,7034371,1.02,51.53
2023-06-15,51.6,52.01,51.59,51.84,6053449,0.54,51.85
2023-06-16,51.96,51.98,51.04,51.12,11558586,-1.39,51.37
2023-06-21,50.68,51.05,50.4,50.77,6417141,0.2,50.8
2023-06-22,50.94,51.3,50.77,51.19,4435902,0.83,51.17
2023-06-23,51.23,51.37,50.95,51.09,6325000,-0.2,51.12
2023-06-26,51.16,51.2,50.72,50.96,4625070,-0.25,50.95
2023-06-27,50.66,51.22,50.63,50.78,4031191,-0.35,50.88
2023-06-28,50.85,51.17,50.82,51.05,6296633,0.53,51.04
2023-06-29,50.78,50.86,50.33,50.71,7176758,-0.67,50.61
2023-06-30,50.93,51.78,50.87,51.66,6357688,1.87,51.53
2023-07-03,51.54,52.07,51.38,52.0,2882483,0.66,51.91
2023-07-05,51.98,52.3,51.71,51.97,5861934,-0.06,51.97
2023-07-06,51.91,51.99,51.56,51.64,4809227,-0.63,51.69
2023-07-07,51.21,51.37,50.43,50.45,6591570,-2.3,50.72
2023-07-10,50.8,51.11,50.72,50.9,4322574,0.89,50.93
2023-07-11,50.87,51.11,50.57,50.83,3821061,-0.14,50.77
2023-07-12,51.05,51.24,50.88,50.96,5503320,0.26,51.02
2023-07-13,51.08,51.14,50.51,50.66,3953216,-0.59,50.74
