trade_date,close,open,high,low,vol,pct_change,vwap
20241231,105.63,105.91,106.5,104.96,681933,0.22,105.59
20241230,105.4,106.05,106.35,104.65,1337797,-1.38,105.51
20241227,106.87,106.45,107.63,106.26,741689,-0.35,106.89
20241226,107.25,107.0,108.12,106.61,1076965,-0.05,107.27
20241224,107.3,106.8,107.44,106.27,457842,0.45,106.93
20241223,106.82,106.31,107.0,105.55,1860045,-0.28,106.49
20241220,107.12,105.34,107.78,105.34,3967886,1.24,107.04
20241219,105.81,105.12,106.38,104.47,2672962,-0.05,105.64
20241218,105.86,108.1,109.46,105.81,1592172,-2.04,107.2
20241217,108.06,108.94,110.45,107.09,1895739,1.13,107.91
20241216,106.85,106.78,109.25,106.41,1700082,0.1,107.7
20241213,106.74,106.44,106.92,105.34,1186438,-0.09,106.51
20241212,106.84,106.79,107.8,106.3,1208404,-0.07,107.0
20241211,106.91,108.58,108.94,106.75,1560835,-1.37,107.39
20241210,108.4,110.02,110.22,107.31,1178034,-0.98,108.48
20241209,109.47,108.06,110.88,107.78,1233055,1.33,109.8
20241206,108.03,109.54,109.86,107.71,1140923,-1.04,108.28
20241205,109.16,110.36,111.93,108.94,937613,-1.32,109.79
20241204,110.62,110.52,111.98,110.27,1230698,-0.11,111.14
20241203,110.74,110.4,111.1,109.09,1171690,0.22,110.58
20241202,110.5,111.41,111.61,110.23,1434513,-1.43,110.61
20241129,112.1,111.84,112.42,111.41,504048,0.07,112.06
20241127,112.02,110.84,112.66,110.51,793785,1.25,112.04
20241126,110.64,111.68,112.0,109.79,1023126,-0.29,110.55
20241125,110.96,110.71,111.86,110.14,1948960,0.67,111.07
20241122,110.22,108.67,110.37,108.67,1786085,1.68,109.88
20241121,108.4,109.42,109.59,108.28,1485547,-0.8,108.74
20241120,109.27,110.26,110.95,109.08,1450867,-1.51,109.49
20241119,110.95,111.87,112.72,110.78,1455358,-1.83,111.48
20241118,113.02,112.7,114.72,112.64,1877488,0.43,113.72
20241115,112.54,108.45,112.74,108.25,2582997,3.39,111.66
20241114,108.85,109.96,111.2,108.77,2057881,-1.02,110.14
20241113,109.97,109.34,110.49,109.09,1227618,0.03,109.93
20241112,109.94,109.37,110.38,108.87,1257302,0.44,109.74
20241111,109.46,108.19,109.63,107.85,1300445,1.18,109.23
20241108,108.18,108.26,109.44,107.51,1174766,-0.47,108.48
20241107,108.69,110.33,110.33,108.36,1430741,-1.34,108.85
20241106,110.17,112.6,112.83,108.7,1917074,1.15,110.23
20241105,108.92,107.79,109.01,107.47,1373886,0.47,108.43
20241104,108.41,107.7,108.52,107.08,1425369,1.06,108.01
20241101,107.27,107.4,109.5,107.14,1890997,0.33,108.03
20241031,106.92,109.7,109.7,106.59,2095597,-2.63,107.39
20241030,109.81,107.52,109.96,107.14,3246411,5.71,108.77
20241029,103.88,103.28,105.07,102.94,2142952,0.27,104.14
20241028,103.6,103.14,104.32,102.81,1506201,1.22,103.66
20241025,102.35,102.96,103.67,102.24,1352347,-1.59,102.62
20241024,104.0,105.1,105.52,103.87,737966,-0.67,104.36
20241023,104.7,103.82,104.76,103.69,733037,0.42,104.41
20241022,104.26,105.06,105.16,103.72,1195316,-0.89,104.29
20241021,105.2,105.96,106.04,104.52,879421,-1.04,105.16
20241018,106.31,105.48,107.09,104.81,1081266,1.3,106.3
20241017,104.95,105.59,105.78,104.39,1397048,-0.48,104.94
20241016,105.46,104.84,105.57,104.11,951966,0.82,105.25
20241015,104.6,103.51,105.97,103.5,1484658,-0.22,104.91
20241014,104.83,103.76,105.19,102.96,1059710,1.29,104.55
20241011,103.5,103.26,105.03,103.26,974689,0.66,103.85
20241010,102.82,103.48,103.83,102.59,1088707,-0.62,102.96
20241009,103.46,101.71,103.65,101.47,1310505,1.66,103.13
20241008,101.77,102.59,102.79,101.64,1442810,-0.5,101.98
20241007,102.28,104.25,104.55,102.09,1345892,-2.29,102.8
20241004,104.68,104.71,105.2,103.76,1449214,0.47,104.58
20241003,104.19,105.32,105.75,103.82,1910069,-1.42,104.3
20241002,105.69,107.04,107.19,105.56,1474099,-1.54,105.99
20241001,107.34,107.86,108.23,106.69,1519617,-0.57,107.52
20240930,107.95,108.24,108.25,107.27,1015015,-0.25,107.77
20240927,108.22,108.77,110.19,108.19,1159187,0.47,108.85
20240926,107.71,106.89,107.99,106.89,1074494,1.14,107.64
20240925,106.5,108.19,108.19,106.42,1240917,-1.22,106.82
20240924,107.81,107.6,107.96,106.79,1374752,0.22,107.62
20240923,107.57,107.28,107.69,106.31,1267650,1.08,107.34
20240920,106.42,105.57,106.74,105.01,3920050,0.08,106.27
20240919,106.34,107.51,107.75,106.31,1733739,0.06,106.75
20240918,106.28,106.18,107.14,105.25,1454593,0.04,106.08
