trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,146.22,146.35,142.82,144.44,1840573,0.21,144.2
2023-01-04,146.57,148.34,145.53,146.51,1796063,1.43,146.8
2023-01-05,144.93,145.75,141.9,143.06,1560866,-2.35,143.21
2023-01-06,144.18,146.18,139.19,145.21,1761250,1.5,143.85
2023-01-09,146.55,147.06,144.58,144.64,1700683,-0.39,145.59
2023-01-10,144.69,152.15,144.69,151.82,2639189,4.96,150.6
2023-01-11,153.44,155.95,152.38,155.31,3270792,2.3,154.83
2023-01-12,155.0,157.82,154.23,157.28,2540886,1.27,156.49
2023-01-13,155.97,158.75,155.78,158.28,2466792,0.64,157.62
2023-01-17,158.05,159.71,156.4,156.95,3349954,-0.84,157.92
2023-01-18,157.78,159.67,156.9,157.34,2738200,0.25,158.05
2023-01-19,156.94,160.86,156.47,159.66,2907737,1.47,159.19
2023-01-20,160.57,162.61,159.79,161.5,4856020,1.15,161.19
2023-01-23,160.1,165.18,159.08,164.4,2724891,1.8,163.75
2023-01-24,164.44,167.18,162.5,163.55,2361808,-0.52,163.38
2023-01-25,163.1,164.37,161.47,163.17,1804380,-0.23,163.15
2023-01-26,164.51,165.92,163.77,165.86,1530745,1.65,164.94
2023-01-27,164.62,165.32,162.18,162.85,1831718,-1.81,163.23
2023-01-30,161.68,163.29,161.51,162.37,1950627,-0.29,162.46
2023-01-31,162.18,163.37,160.32,163.15,2691967,0.48,162.09
2023-02-01,163.11,166.37,162.16,165.44,2878517,1.4,164.14
2023-02-02,164.91,168.84,164.36,168.59,2620220,1.9,167.08
2023-02-03,166.38,167.03,164.09,165.43,1994377,-1.87,165.44
2023-02-06,164.01,164.02,161.75,162.6,1929614,-1.71,162.77
2023-02-07,161.26,163.96,160.47,163.23,1755163,0.39,162.43
2023-02-08,162.47,162.67,158.94,159.78,2031873,-2.11,160.21
2023-02-09,160.87,162.39,158.27,158.54,1868407,-0.78,159.65
2023-02-10,157.55,158.02,155.64,156.09,2338220,-1.55,156.39
2023-02-13,155.91,161.0,155.85,160.84,2349174,3.04,159.43
2023-02-14,170.99,174.17,166.55,169.47,3532591,5.37,170.21
2023-02-15,169.47,172.79,168.34,172.55,2510850,1.82,171.42
2023-02-16,171.18,173.99,170.06,171.47,1951185,-0.63,172.04
2023-02-17,169.72,170.84,167.86,169.6,1954551,-1.09,169.26
2023-02-21,169.11,169.65,166.28,167.44,1791273,-1.27,167.4
2023-02-22,166.02,166.72,163.53,164.08,2103791,-2.01,164.67
2023-02-23,165.02,167.33,163.82,167.11,1769030,1.85,166.09
2023-02-24,164.64,165.69,161.59,163.98,1843192,-1.87,163.39
2023-02-27,165.63,166.03,162.66,163.13,1183724,-0.52,163.93
2023-02-28,162.87,166.17,162.71,164.64,2935201,0.93,164.87
2023-03-01,163.62,165.57,163.62,165.2,1594184,0.34,164.95
2023-03-02,164.07,166.93,163.72,166.2,1606700,0.61,165.79
2023-03-03,168.0,168.3,165.75,168.15,1663200,1.17,167.6
2023-03-06,168.39,169.55,167.22,167.27,1489553,-0.52,168.08
2023-03-07,167.21,168.5,164.47,164.67,1287654,-1.55,165.5
2023-03-08,164.44,166.74,164.35,166.26,960085,0.97,165.99
2023-03-09,166.51,168.03,164.77,165.12,1527504,-0.69,166.31
2023-03-10,160.7,161.05,157.81,159.25,3326411,-3.55,159.52
2023-03-13,159.7,162.56,157.59,161.1,2772103,1.16,161.02
2023-03-14,163.62,164.5,160.18,162.24,1911258,0.71,162.11
2023-03-15,159.71,161.37,157.86,161.26,1824103,-0.6,159.96
2023-03-16,160.21,164.48,159.96,163.96,2040550,1.67,163.33
2023-03-17,164.93,166.01,161.34,162.15,3605103,-1.1,162.83
2023-03-20,161.68,163.61,161.39,163.48,2145770,0.82,163.14
2023-03-21,164.3,164.63,162.81,163.89,2453550,0.25,163.79
2023-03-22,163.05,163.6,159.04,159.1,1475641,-2.92,161.41
2023-03-23,159.71,163.11,157.14,158.96,3560769,-0.09,159.57
2023-03-24,158.73,162.61,157.71,161.86,1864886,1.82,160.87
2023-03-27,163.71,164.44,161.99,163.37,1273496,0.93,163.33
2023-03-28,163.23,163.66,161.72,162.71,1098251,-0.4,162.58
2023-03-29,164.22,164.44,159.0,160.36,2512159,-1.44,160.39
2023-03-30,161.52,162.32,160.88,161.83,1318354,0.92,161.8
2023-03-31,162.77,164.14,161.71,164.09,1705029,1.4,163.18
2023-04-03,164.43,165.55,161.88,165.29,1926200,0.73,164.58
2023-04-04,165.03,167.03,164.14,164.71,1737932,-0.35,165.42
2023-04-05,164.64,166.23,163.95,165.28,1216230,0.35,165.37
2023-04-06,165.89,166.62,164.02,166.55,1594861,0.77,165.75
2023-04-10,165.53,168.8,164.38,168.46,1686280,1.15,167.35
2023-04-11,169.13,170.0,168.42,168.79,1197874,0.2,168.96
2023-04-12,170.47,172.32,168.75,169.03,1852255,0.14,170.06
2023-04-13,170.06,171.55,168.51,171.09,1324895,1.22,170.47
