,close,high,low,open,vol,pct_change,vwap,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha008,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha015,alpha016,alpha017,alpha018,alpha019,alpha020,alpha021,alpha022,alpha024,alpha025,alpha026,alpha027,alpha028,alpha029,alpha030,alpha032,alpha033,alpha034,alpha035,alpha036,alpha037,alpha038,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha060,alpha061,alpha062,alpha064,alpha065,alpha068,alpha074,alpha075,alpha078,alpha081,alpha083,alpha084,alpha085,alpha086,alpha094,alpha095,alpha099,alpha101
2013-01-03,21.05559539794922,21.15836348510198,20.650562669216388,21.15836348510198,16739300.0,-0.8257308413743836,34.59,,0.0,0.0,,-0.002711106132399189,0.0,,,,,,,,,,,,,,,1.0,,,,,,-6.96542711304675e-05,,,,0.695263332229215,,,,,,,-13.687078885305098,61.0,,-0.0,,,,,,,,,-0.8172773420717869,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.20198097947993285
2013-01-04,20.789608001708984,21.09187040895937,20.70497489665154,20.928648432314663,21372100.0,-1.2632622883043343,34.41,,0.0,0.0,,-0.0021601075489548855,0.0,,,0.2659873962402344,0.2659873962402344,,0.2659873962402344,,,,,,,,-0.052551980169638246,1.0,,,,,,5.015078952549621e-05,,,,0.7442861874792978,0.5354539430086149,,,,,,-13.512472697925926,93.16666666666666,,-0.0,,0.2659873962402344,,0.2659873962402344,,0.2659873962402344,,,-0.22616270644126227,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.3584481547065111
2013-01-07,20.83192443847656,21.430405016181453,20.644523222913353,20.644523222913353,17897100.0,0.2035461022838802,34.71,,0.0,0.0,,-0.0013341582585987104,0.0,,,-0.04231643676757457,-0.04231643676757457,,0.04231643676757457,,,-1.2093408413381914,,,,,-0.011222146939240493,1.0,,,,-0.0,,9.472968190085796e-05,,,,0.22888373633653528,0.37475149105367794,,,,,,-13.676205904949132,73.5,,-0.0,,-0.04231643676757457,,-0.04231643676757457,,-0.04231643676757457,,,-0.22792528438559606,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.23815675641049694
2013-01-08,20.37853622436523,20.940744632030988,20.16695340689092,20.729161814556676,17863300.0,-2.1764106117527993,33.96,,0.0,0.0,,-0.001622713868805504,0.0,,,0.4533882141113281,0.4533882141113281,0.26272761161552266,-0.4533882141113281,,-0.0,-1.1853262669758198,,,,,-0.016765466569281927,1.0,,0.6770591735839879,,-0.0,,8.079863326655785e-05,,,,0.9208347134812852,0.6017229953611664,,,,,,-13.409792670151234,277.5,,-0.0,,0.4533882141113281,,0.4533882141113281,,0.4533882141113281,,,-0.2977833253791669,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.4525420252766256
2013-01-09,20.493391036987305,20.523616814878515,20.318078296707657,20.318078296707657,18800400.0,0.5636067839099645,33.85,,0.0,0.0,,-0.0002726466507087003,0.0,,,-0.11485481262207387,-0.11485481262207387,0.06415194534244059,-0.11485481262207387,-0.5353233830845772,-0.0,-0.9622391520370983,-0.4593698175787728,,-0.1568822553897181,,-0.02732207922122626,1.0,,0.2962169647216797,,-0.0,,-3.3434035032585535e-05,,,,0.23948327260682345,0.14844267726971505,,,,,,-13.42941104237374,178.33333333333331,,0.21505630166668854,,-0.11485481262207387,,-0.11485481262207387,,-0.11485481262207387,,,-0.8170794164121512,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.848813779784266
2013-01-10,20.5538387298584,20.5538387298584,20.14880830886421,20.34830025031667,15658100.0,0.2949618867955861,33.83,,0.0,0.0,,-0.0005472682067344052,0.0,,,-0.06044769287109375,-0.06044769287109375,0.07299485057705717,0.06044769287109375,-0.5373134328358209,-0.0,-1.0897648227890029,-0.4640132669983416,,-0.16185737976782752,,-0.022236793561267384,1.0,,0.2780857086181605,,-0.0,,-9.333575575541951e-05,,,,0.2047035442199404,0.8412856196156395,,,,,,-13.479684115984195,131.5,,-0.3730580706664948,,-0.06044769287109375,,-0.06044769287109375,,-0.06044769287109375,,,-0.9509900283448058,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.506214482743578
2013-01-11,20.706768035888672,20.73735597209278,20.40090734210283,20.547721501874072,11191500.0,0.7440425510788717,33.61,,0.0,0.0,,-0.0008307768366866312,0.0,,,-0.15292930603027344,-0.15292930603027344,0.014207290429388198,0.15292930603027344,-0.5316749585406302,-0.0,-0.7621729049354091,-0.4679933665008292,,-0.14892205638474296,,-0.13312821326225668,1.0,,-0.32823181152344105,,-0.0,1.0,-6.343422502611985e-05,,,,0.2666445842994369,0.7408880053015242,,,,,,-13.041556264343491,495.99999999999994,,-0.1962927232167869,,-0.15292930603027344,,-0.15292930603027344,,-0.15292930603027344,,,-0.874705116614628,-0.0,,False,0,0,0,0,0,False,,0,46.87973622552161,,,0,,False,0,0.4713207281930199
2013-01-14,20.85359001159668,20.951465376950612,20.676190182663685,20.804651162153323,11584900.0,0.7090530760451852,34.02,,-0.2430596710806155,0.0,,-0.0019238869296487162,0.0,,,-0.1468219757080078,0.1468219757080078,0.012218559902374608,-0.1468219757080078,-0.5084577114427861,-0.0,-0.7721099701888042,-0.4461028192371476,,-0.12835820895522387,,-0.19332701804308436,1.0,,-0.360198974609375,,-0.0,1.0,-1.8325724499846023e-05,,,,0.4421994037760848,0.8624917163684559,,,,,,-13.20662730984418,103.0,,0.40564982765260355,,-0.1468219757080078,,-0.1468219757080078,,-0.1468219757080078,,,-0.6369189280529994,-0.0,,False,0,0,0,0,0,False,,0,500.44160229663964,,,0,,False,0,0.177138050955565
2013-01-15,21.165557861328125,21.2389661037649,20.62112623101346,20.62112623101346,13040200.0,1.4959910958159297,34.28,0.8141666666666667,-0.41429588545407964,0.0,-5.0,-0.0011011194311921592,0.0,,,0.3119678497314453,0.3119678497314453,0.05700071390326611,-0.3119678497314453,-0.5164179104477612,-0.0,-1.2676382908247765,-0.44344941956882256,,-0.3117744610281924,,-0.010232478076770574,-1.0,,-0.6117191314697266,,-0.0,1.0,-0.00010854326393101255,,,,0.031136137793971515,0.1901921802518224,,,,,,-13.352233730234083,72.99999999999999,,0.479701747721499,,-0.3119678497314453,,-0.3119678497314453,-0.8175787728026535,-0.3119678497314453,,,-0.7735363411317341,-0.0,,False,0,0,0,0,0,False,,0,166.94268765853184,,,0,,False,0,0.8797617191246175
2013-01-16,21.74057960510254,21.74057960510254,21.073803170762112,21.08603787906117,16512700.0,2.716780476762404,35.31,0.8141666666666667,-0.8227436152760689,-0.17816521935234575,-9.0,-0.00243604570852526,-0.15089362370705367,,,0.5750217437744141,0.5750217437744141,0.32769517165768863,-0.5750217437744141,-0.5529021558872305,-0.12913012028776708,-2.129181848294137,-0.4766169154228856,,-0.6948590381426202,,-0.10021843835260974,-1.0,,-1.0338115692138672,,-0.7395099728874522,1.0,-0.00015365285962053897,,,,0.016230539913878766,0.22498343273691188,,,,-0.6945920025882588,-0.012351399803871644,-13.90540480606522,50.27272727272727,,-0.4046566910806075,,-0.5750217437744141,,-0.5750217437744141,-0.8175787728026535,-0.5750217437744141,,-0.25372785916406526,-0.8582608860440343,-0.0,-0.0007308171640167364,False,0,0,0,0,0,False,,0,96.47231274093195,,,0,,False,0,0.9801809293972314
