,close,high,low,open,vol,pct_change,vwap,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha008,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha015,alpha016,alpha017,alpha018,alpha019,alpha020,alpha021,alpha022,alpha024,alpha025,alpha026,alpha027,alpha028,alpha029,alpha030,alpha032,alpha033,alpha034,alpha035,alpha036,alpha037,alpha038,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha060,alpha061,alpha062,alpha064,alpha065,alpha068,alpha074,alpha075,alpha078,alpha081,alpha083,alpha084,alpha085,alpha086,alpha094,alpha095,alpha099,alpha101
2020-01-03,73.93000030517578,75.56999969482422,68.68000030517578,72.30000305175781,2187900,-3.435210733131422,73.25,,0.0,0.0,,-0.01891713484834964,0.0,,,,,,,,,,,,,,,1.0,,,,,,-0.0007763050911563071,,,,0.14956245027844073,,,,,,,-1.207320968035475,14.428571428571429,,-0.0,,,,,,,,,-0.6815977657307415,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.2365400374097446
2020-01-06,68.75,74.48999786376953,68.08999633789062,74.12000274658203,1727000,-7.00662827511599,73.25,,0.0,0.0,,-0.002480935717816346,0.0,,,5.180000305175781,5.180000305175781,,-5.180000305175781,,,,,,,,-0.22930512695417224,1.0,,,,,,0.0010924168130290832,,,,0.994431185361973,0.7436305732484076,,,,,,-2.031858478660453,107.0909090909091,,-0.0,,5.180000305175781,,5.180000305175781,,5.180000305175781,,,-0.15020344340049027,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.8389316460668533
2020-01-07,69.7699966430664,70.7300033569336,68.31999969482422,68.81999969482422,766300,1.483631480823866,73.25,,0.0,0.0,,-0.0012626190706743904,0.0,,,-1.0199966430664062,-1.0199966430664062,,1.0199966430664062,,,-1.7438345266507558,,,,,-0.014588379769156407,1.0,,,,-0.0,,-0.00010536893331027467,,,,0.2561654733492442,0.28423566878980894,,,,,,-3.735441756703807,76.86666666666666,,-0.0,,-1.0199966430664062,,-1.0199966430664062,,-1.0199966430664062,,,-0.5617967300656379,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.39402551027692756
2020-01-08,69.61000061035156,71.62999725341797,69.51000213623047,69.94999694824219,911200,-0.2293192495527285,73.25,,0.0,0.0,,-0.0015980517059913965,0.0,,,0.15999603271484375,0.15999603271484375,0.03408852627766447,0.15999603271484375,,-0.0,-2.2653142402545745,,,,,-0.11698923719031121,1.0,,4.319999694824219,,-0.0,,0.00041288202259275514,,,,0.6077963404932378,0.41878980891719747,,,,,,-2.687961607509763,82.64285714285714,,-0.0,,0.15999603271484375,,0.15999603271484375,,0.15999603271484375,,,-0.048332451525693924,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.16030038689644407
2020-01-09,70.19000244140625,71.0,69.94000244140625,70.08999633789062,549600,0.8332162418749345,73.25,,0.0,0.0,,-0.0019088015624831888,0.0,,,-0.5800018310546875,-0.5800018310546875,0.037791418059818144,0.5800018310546875,-0.6193136472466081,-0.0,-2.3007159904534604,-0.7390263367916999,,-0.4565043894652833,,-0.06076228843730305,1.0,,-1.44000244140625,,-0.0,,0.0001204235130943909,,,,0.4733492442322991,0.7969745222929936,,,,,,-2.7819918449524863,71.375,,-0.7924108427184621,,-0.5800018310546875,,-0.5800018310546875,,-0.5800018310546875,,,-0.23417419854942842,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.09425667637555496
2020-01-10,69.51000213623047,70.8499984741211,69.20999908447266,70.22000122070312,574800,-0.9687993753005442,73.25,,0.0,0.0,,-0.0016575435318778088,0.0,,,0.6800003051757812,0.6800003051757812,0.40456006913335496,0.6800003051757812,-0.3822825219473264,-0.0,-2.0954653937947496,-0.6703910614525139,,-0.3647246608140463,,-0.04234490450038768,1.0,,0.2599945068359375,,-0.0,,0.000223643198418921,,,,0.726332537788385,0.8105095541401274,,,,,,-3.2248021814374965,89.3076923076923,,-0.7630449513666238,,0.6800003051757812,,0.6800003051757812,,0.6800003051757812,,,-0.19246405881780868,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.4326626133753555
2020-01-13,70.7699966430664,70.9000015258789,69.5,69.83000183105469,426800,1.81268086334756,73.25,,0.0,0.0,,-0.0020087984613135416,0.0,,,-1.2599945068359375,-1.2599945068359375,0.1363020009277086,1.2599945068359375,-0.31763766959297685,-0.0,-1.595863166268894,-0.47805267358339987,,-0.3399840383080607,,-0.06587657914572832,1.0,,-1.1599960327148438,,-0.0,,-0.00024514716280758835,,,,0.2617342879872713,0.11942675159235669,,,,,,-3.053489359879265,62.222222222222214,,-0.4974023212756047,,-1.2599945068359375,,-1.2599945068359375,,-1.2599945068359375,,,-0.8484738387023465,-0.0,,False,0,0,0,0,0,False,,0,2.9776284853057735,,,0,,False,0,0.6709448881021176
2020-01-14,71.36000061035156,71.8499984741211,69.47000122070312,70.66999816894531,1030500,0.8336922357943255,73.25,,-0.31121951754763666,0.0,,-0.0036967207978993058,0.0,,,-0.5900039672851562,-0.5900039672851562,1.6666469687438443,-0.5900039672851562,-0.4748603351955307,-0.0,-1.8965791567223549,-0.5945730247406225,,-0.30726256983240224,,-0.07715538541698698,1.0,,-1.1699981689453125,,-0.0,,-0.00030106042338329464,,,,0.3221957040572792,0.5214968152866242,,,,,,-2.60002136090408,55.78947368421053,,-0.8986133217709391,,-0.5900039672851562,,-0.5900039672851562,,-0.5900039672851562,,,-0.7564607220803908,-0.0,,False,0,0,0,0,0,False,,0,14.802492824615006,,,0,,False,0,0.2897955637772105
2020-01-15,72.69999694824219,72.97000122070312,71.54000091552734,71.54000091552734,389800,1.877797542642168,73.25,,-0.6004513821706176,0.0,-9.0,-0.009377557278286939,0.0,,,-1.339996337890625,-1.339996337890625,0.39053610120919824,1.339996337890625,-0.35913806863527536,-0.0,-1.5807478122513923,-0.3391859537110934,,-0.37749401436552277,,-0.15699216764520363,-1.0,,-3.1899948120117188,,-0.4758668672668006,,-0.00019138643151226132,,,,0.2163882259347653,0.4299363057324841,,,,,,-0.9985366644028915,35.17391304347826,,0.2314679086911332,,-1.339996337890625,,-1.339996337890625,,-1.339996337890625,,,-0.7485022625775904,-0.0,,False,0,0,0,0,0,False,,0,1.6818359567029966,,,0,,False,0,0.8106189974378463
2020-01-16,75.22000122070312,75.30999755859375,73.12000274658203,73.12000274658203,522500,3.4663058847925754,73.25,,-0.13011114986437655,-0.22451913285918146,-9.0,-0.029611739889079388,-0.5052355698409973,,,-2.5200042724609375,2.5200042724609375,0.6385520120475038,-2.5200042724609375,-0.3607342378292099,-0.35455127708140155,-1.4351630867143994,-0.3375897845171588,,-0.5538707102952913,,-0.1585166041735521,-1.0,,-4.450004577636719,,-0.4758668672668006,,-0.00043223673899567787,,,,0.10103420843277645,0.28821656050955413,,,,-0.6344470962609388,-0.033330447881901,0.9569217009401427,4.800000000000001,,0.11335833187028559,,-2.5200042724609375,,-2.5200042724609375,,-2.5200042724609375,,-0.2695254059888348,-0.8323197645786773,-0.0,-0.0014608689244242133,False,0,0,0,0,0,False,,0,-21.647008415271543,,,0,,False,0,0.9584680267649405
