,close,high,low,open,vol,pct_change,vwap,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha008,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha015,alpha016,alpha017,alpha018,alpha019,alpha020,alpha021,alpha022,alpha024,alpha025,alpha026,alpha027,alpha028,alpha029,alpha030,alpha032,alpha033,alpha034,alpha035,alpha036,alpha037,alpha038,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha060,alpha061,alpha062,alpha064,alpha065,alpha068,alpha074,alpha075,alpha078,alpha081,alpha083,alpha084,alpha085,alpha086,alpha094,alpha095,alpha099,alpha101
2022-02-02,51.44572067260742,54.57070253661282,48.33044579073624,48.55851174321389,23860900,6.488549678596334,53.37,,0.0,0.0,,-0.005565260234703932,0.0,,,,,,,,,,,,,,,1.0,,,,,,4.993757849954276e-06,,,,0.015027322404371584,,,,,,,-2.014120290777228,16.885714285714286,,-0.0,,,,,,,,,-0.3740024753530629,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.4626005701978255
2022-02-03,52.037723541259766,54.900672575319966,48.81569389340769,50.64992119088701,8425500,1.1507329684810053,54.11,,0.0,0.0,,-0.006599181820896414,0.0,,,-0.5920028686523438,-0.5920028686523438,,0.5920028686523438,,,,,,,,-0.012486202276894686,1.0,,,,,,-0.00018472905472529524,,,,0.10382513661202186,0.2763337893296854,,,,,,-2.3411442373020748,17.0,,-0.0,,-0.5920028686523438,,-0.5920028686523438,,-0.5920028686523438,,,-0.46256513275159794,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.22803273276282615
2022-02-04,48.6604118347168,52.72677096653183,48.641001572979455,51.04781849647633,6757800,-6.490121928306802,51.63,,0.0,0.0,,-0.0018812147272238647,0.0,,,3.3773117065429688,3.3773117065429688,,-3.3773117065429688,,,-1.6530054644808743,,,,,-0.010005993299472297,1.0,,,,-0.0,,0.002081953217681538,,,,0.9740437158469946,0.7496580027359782,,,,,,-0.9873011232497433,29.375,,-0.0,,3.3773117065429688,,3.3773117065429688,,3.3773117065429688,,,-0.0060362132865764305,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.5841794414742618
2022-02-07,44.71051406860352,48.56336400579511,44.64258000389833,48.52454348249818,9432500,-8.117271550289729,47.14,,0.0,0.0,,-0.0018662844516109769,0.0,,,3.949897766113274,3.949897766113274,0.00258751902587519,3.949897766113274,,-0.0,-1.525273224043716,,,,,-0.0028920718329309703,1.0,,6.735206604003899,,-0.0,,0.001947150318018641,,,,0.9986338797814208,0.759233926128591,,,,,,-0.5782789956476719,75.88888888888889,,-0.0,,3.949897766113274,,3.949897766113274,,3.949897766113274,,,-0.026089974697174213,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.9725240890497787
2022-02-08,44.15732955932617,46.15654185675641,42.86657507210883,43.79824901489025,7277500,-1.2372582172250124,45.46,,0.0,0.0,,-0.004154349189286034,0.0,,,0.5531845092773509,0.5531845092773509,0.27525790630813457,-0.5531845092773509,-0.5645604395604396,-0.0,-1.4275956284153006,-0.5,,-0.4958791208791209,,-0.0002950197690765782,1.0,,7.880393981933594,,-0.0,,0.00036446618549348177,,,,0.32103825136612024,0.6347469220246238,,,,,,-0.978848187444811,60.33333333333333,,-0.4228011929483463,,0.5531845092773509,,0.5531845092773509,,0.5531845092773509,,,-0.3766360321172897,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.1091109597675176
2022-02-09,45.9139289855957,46.04979712864704,42.58514467232107,43.42947077708953,4393100,3.978047232021819,45.95,,0.0,0.0,,-0.006233390068380662,0.0,,,-1.7565994262695312,-1.7565994262695312,0.05539583215889658,1.7565994262695312,-0.5906593406593407,-0.0,-1.401639344262295,-0.6043956043956044,,-0.7967032967032966,,-0.007481684959483846,1.0,,2.7464828491210938,,-0.0,,-0.0016425960168496472,,,,0.017759562841530054,0.2694938440492476,,,,,,-1.6663995043936168,6.5,,-0.5138950770754732,,-1.7565994262695312,,-1.7565994262695312,,-1.7565994262695312,,,-0.727488905731617,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.7168803680736108
2022-02-10,45.66160202026367,47.06881474800093,44.04088378431341,44.16704495212535,2450000,-0.5495651775111465,47.13,,0.0,0.0,,-0.004921392098898146,0.0,,,0.25232696533203125,0.25232696533203125,0.003260236390627055,-0.25232696533203125,-0.6236263736263736,-0.0,-1.180327868852459,-0.6662087912087912,,-0.7005494505494505,,-0.006488694088003256,1.0,,-0.9510879516601491,,-0.0,1.0,-0.00010983792829788352,,,,0.07103825136612021,0.6894664842681258,,,,,,-1.6003151758977623,40.0,,-0.2968435704247505,,0.25232696533203125,,0.25232696533203125,,0.25232696533203125,,,-0.45320797502905635,-0.0,,False,0,0,0,0,0,False,,0,13.28105323145582,,,0,,False,0,0.4934272474532716
2022-02-11,46.67090606689453,47.46670828379188,44.70081078629852,45.38015143331172,3456800,2.210399990309031,47.61,,0.29589781509867835,0.0,,-0.012160709486697126,0.0,,,-1.0093040466308594,-1.0093040466308594,0.011736851006257399,-1.0093040466308594,-0.4642857142857143,-0.0,-1.1024590163934427,-0.41483516483516486,,-0.6689560439560439,,-0.04563009122385538,1.0,,-2.5135765075683594,,-0.0,1.0,-0.0006041151744083161,,,,0.09562841530054644,0.5294117647058824,,,,,,-1.5469959116623713,13.571428571428571,,-0.030564856113705723,,-1.0093040466308594,,-1.0093040466308594,,-1.0093040466308594,,,-0.6190841589965514,-0.0,,False,0,0,0,0,0,False,,0,12.449993667632855,,,0,,False,0,0.4664988980445275
2022-02-14,46.6903190612793,47.55405539343159,45.603370260311294,46.7679564102839,2155000,0.0415954949684049,47.9,,0.7863769093370419,0.0,-6.0,-0.01215324434889068,0.0,,,-0.019412994384765625,-0.019412994384765625,0.051214837364000225,0.019412994384765625,-0.3585164835164835,-0.0,-0.7622950819672132,-0.2554945054945055,,-0.3173076923076923,,-0.19707427072253586,1.0,,-0.7763900756835938,,-0.0,1.0,-0.00011483167507095285,,,,0.5601092896174863,0.5923392612859097,,,,,,-1.3314999652553325,20.375,,0.7697335905568808,,-0.019412994384765625,,-0.019412994384765625,-0.7582417582417582,-0.019412994384765625,,,-0.5618620136232643,-0.0,,False,0,0,0,0,0,False,,0,13.74296838253787,,,0,,False,0,-0.03977964871847941
2022-02-15,46.58356475830078,47.02028641833567,45.80717275275492,46.29241821898722,2359800,-0.2286433357596151,47.97,,0.6197982212073998,-0.3710249732507738,-7.0,-0.007982098599540147,-0.40897641676270075,,,0.10675430297851562,0.10675430297851562,0.3562348497660522,0.10675430297851562,-0.49862637362637363,-0.22159901868486528,-1.1202185792349728,-0.3173076923076923,,-0.5563186813186813,,-0.03145803682607051,1.0,,-0.9219627380371094,,-1.2819751242557092e-15,1.0,-0.0001747434404265109,,,,0.3770491803278688,0.8850889192886456,,,,-0.23573793165997775,-0.44218922005522493,-1.5602339711918134,26.933333333333334,,0.6206122318974521,,0.10675430297851562,,0.10675430297851562,-0.7582417582417582,0.10675430297851562,,-0.44061444106102327,-0.6202479004645897,-0.0,-0.002881368516794444,False,0,0,0,0,0,False,,0,29.093117407804222,,,0,,False,0,0.23980171508430712
