,close,high,low,open,vol,pct_change,vwap,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha008,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha015,alpha016,alpha017,alpha018,alpha019,alpha020,alpha021,alpha022,alpha024,alpha025,alpha026,alpha027,alpha028,alpha029,alpha030,alpha032,alpha033,alpha034,alpha035,alpha036,alpha037,alpha038,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha060,alpha061,alpha062,alpha064,alpha065,alpha068,alpha074,alpha075,alpha078,alpha081,alpha083,alpha084,alpha085,alpha086,alpha094,alpha095,alpha099,alpha101
2019-03-21,35.42323684692383,36.16091994486212,34.859127378618936,36.15368897477122,1764700,-1.6466109612577662,49.3,,0.0,0.0,,-0.004944017177877069,0.0,,,,,,,,,,,,,,,1.0,,,,,,9.737531710587019e-05,,,,0.9052197802197802,,,,,,,-13.795942281395625,5.361216730038023,,-0.0,,,,,,,,,-0.4798919612070611,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.5606818359071314
2019-03-22,35.14841842651367,36.12476506877552,34.83020327580963,35.29306268005539,844700,-0.7758139709189815,48.83,,0.0,0.0,,-0.00534355754135974,0.0,,,0.27481842041015625,0.27481842041015625,,-0.27481842041015625,,,,,,,,-0.03541197534908755,1.0,,,,,,0.0003692137038509324,,,,0.5934065934065934,0.49896907216494846,,,,,,-13.358421086222869,5.804166666666667,,-0.0,,0.27481842041015625,,0.27481842041015625,,0.27481842041015625,,,-0.25090878408133455,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.11164597036362985
2019-03-25,35.54619216918945,35.72699680329752,34.71448974874845,35.14841976706389,440900,1.1316974147995484,48.53,,0.0,0.0,,-0.010547488226059654,0.0,,,-0.39777374267578125,-0.39777374267578125,,0.39777374267578125,,,-1.7184065934065935,,,,,-0.03406776975940959,1.0,,,,-0.0,,-0.0003651555739287175,,,,0.19848901098901098,0.21786941580756014,,,,,,-13.312895288203485,5.350806451612903,,-0.0,,-0.39777374267578125,,-0.39777374267578125,,-0.39777374267578125,,,-0.7764857812045932,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.39247127125576714
2019-03-26,35.3292121887207,35.980109750054154,34.84465726106266,35.437696035229216,504700,-0.6104169454663078,48.89,,0.0,0.0,,-0.006351135128607655,0.0,,,0.21697998046875,0.21697998046875,0.44161157818903357,0.21697998046875,,-0.0,-2.0916895604395602,,,,,-0.13807858406631462,1.0,,0.094024658203125,,-0.0,,9.331870709034929e-05,,,,0.5673076923076923,0.4611683848797251,,,,,,-13.482167639686615,5.517928286852589,,-0.0,,0.21697998046875,,0.21697998046875,,0.21697998046875,,,-0.43334289016806565,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.09545832101153894
2019-03-27,36.23324203491211,36.72503078524461,35.43770286994684,35.43770286994684,1788600,2.558873493590186,49.8,,0.0,0.0,,-0.00620773457311919,0.0,,,-0.9040298461914062,-0.9040298461914062,1.327208990363816,-0.9040298461914062,-0.5833333333333334,-0.0,-2.54739010989011,-0.5068870523415978,,-0.5433884297520661,,-0.15483238063724172,1.0,,-1.0848236083984375,,-0.0,,-0.00017040487664153403,,,,0.07554945054945054,0.09072164948453608,,,,,,-13.724374865331171,4.6700336700336695,,-0.8766776974879443,,-0.9040298461914062,,-0.9040298461914062,,-0.9040298461914062,,,-0.553049768903388,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.617497420896446
2019-03-28,36.775657653808594,36.88414152654812,36.09945015815862,36.81182078396143,585400,1.497010999937154,50.57,,0.0,0.0,,-0.006563877400072454,0.0,,,-0.5424156188964844,-0.5424156188964844,1.063075399661659,0.5424156188964844,-0.5819559228650137,-0.0,-2.3695054945054945,-0.5034435261707989,,-0.13705234159779614,,-0.7181204441767732,1.0,,-1.2294654846191406,,-0.0,,-0.00031849462344110425,,,,0.5006868131868132,0.3525773195876289,,,,,,-14.080313393177896,4.197604790419162,,-0.5968852165508645,,-0.5424156188964844,,-0.5424156188964844,,-0.5424156188964844,,,-0.8659949526564805,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.04602714450963466
2019-03-29,37.33977127075195,37.9545058813962,35.56788542514381,35.81377982117342,1769000,1.5339320978395632,50.34,,0.0,0.0,,-0.012580568469991546,0.0,,,-0.5641136169433594,-0.5641136169433594,1.4484198134864925,-0.5641136169433594,-0.5895316804407713,-0.0,-2.058379120879121,-0.5144628099173554,,-0.9318181818181818,,-0.00027057615986838174,1.0,,-2.01055908203125,,-0.0,1.0,-0.0006491652486730613,,,,0.011675824175824176,0.6707903780068728,,,,,,-13.598177555305632,3.888888888888889,,-0.7365804371169306,,-0.5641136169433594,,-0.5641136169433594,,-0.5641136169433594,,,-0.6026218995883795,-0.0,,False,0,0,0,0,0,False,,0,1.2796677090416573,,,0,,False,0,0.6391264765647584
2019-04-01,38.69218826293945,39.33585226178391,37.06494670047938,37.824325544522175,19663400,3.621920933529776,53.4,,-0.4596891379508293,0.0,,-0.0032038703055186574,0.0,,,-1.3524169921875,1.3524169921875,1.9140302613480054,-1.3524169921875,-0.9882920110192838,-0.0,-2.0123626373626373,-0.987603305785124,,-0.7369146005509641,,-0.6409666979423201,-1.0,,-2.4589462280273438,,-0.0,1.0,-0.0005517899081650263,,,,0.07142857142857142,0.13539518900343642,,,,,,-15.216479110734795,3.3171296296296293,,-0.8432911817590839,,-1.3524169921875,,-1.3524169921875,,-1.3524169921875,,,-0.639723724422906,-0.0,,False,0,0,0,0,0,False,,0,118.50615561559799,,,0,,False,0,0.38199770853104936
2019-04-02,40.681034088134766,41.505502604236824,39.27075768797425,39.86379654197255,17414200,5.140174062215785,55.95,0.8288100208768268,-0.6719759955208845,0.0,-9.0,-0.003603882381354909,0.0,,,1.9888458251953125,1.9888458251953125,1.9154621042078668,1.9888458251953125,-0.9986225895316805,-0.0,-2.165521978021978,-0.9993112947658402,,-0.6632231404958677,,-0.9484932476119899,-1.0,,-3.905376434326172,,-0.0,1.0,-0.0003286399471727764,,,,0.08928571428571429,0.1697594501718213,,,,,,-15.577329349068712,2.460616438356164,,-0.891017014559072,,-1.9888458251953125,,-1.9888458251953125,-0.9951790633608816,-1.9888458251953125,,,-0.5701769400123552,-0.0,,False,0,0,0,0,0,False,,0,253.20211826181475,,,0,,False,0,0.3655325525813429
2019-04-03,41.13665771484375,41.36808735035087,40.14584665654135,41.281301926750416,15066200,1.119990277832872,56.44,0.8288100208768268,-0.6472314986141133,-0.8743455993346774,-9.0,-0.0035524657348146357,-0.8335793366229022,,,0.4556236267089844,0.4556236267089844,1.967044420735546,0.4556236267089844,-0.9993112947658402,-0.3631491535322072,-1.870879120879121,-1.0,,-0.7017906336088154,,-0.5967986168101829,-1.0,,-3.796886444091797,,-0.5345224838248493,1.0,-0.0004260152132853992,,,,0.5782967032967034,0.09828178694158075,,,,-0.38342046257129186,-0.8662963661024542,-15.687614901191438,2.3040000000000003,,-0.8879347508532592,,-0.4556236267089844,,-0.4556236267089844,-0.9951790633608816,-0.4556236267089844,,-1.0741189898109933,-0.8250039318000125,-0.0,-0.0014764274567380475,False,0,0,0,0,0,False,,0,473.3471089697145,,,0,,False,0,-0.11824672988617065
