,close,high,low,open,vol,pct_change,vwap,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha008,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha015,alpha016,alpha017,alpha018,alpha019,alpha020,alpha021,alpha022,alpha024,alpha025,alpha026,alpha027,alpha028,alpha029,alpha030,alpha032,alpha033,alpha034,alpha035,alpha036,alpha037,alpha038,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha060,alpha061,alpha062,alpha064,alpha065,alpha068,alpha074,alpha075,alpha078,alpha081,alpha083,alpha084,alpha085,alpha086,alpha094,alpha095,alpha099,alpha101
2014-03-27,27.715274810791016,28.188726995684043,27.44033763537523,28.188726995684043,262719,-1.2308700389549343,559.2,,0.0,0.0,,-0.06472134094034668,0.0,,,,,,,,,,,,,,,1.0,,,,,,4.687778412096639e-05,,,,0.9147601476014761,,,,,,,-531.3879848577457,1.0011820330969268,,-0.0,,,,,,,,,-0.3998409160711167,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.6317839696815601
2014-03-28,27.79120635986328,28.11080997225033,27.72569785146895,27.8512551931057,824257,0.2739700385099519,562.44,,0.0,0.0,,-0.05853623997494588,0.0,,,-0.07593154907226562,-0.07593154907226562,,-0.07593154907226562,,,,,,,,-0.15687973171011527,1.0,,,,,,6.0002593569786224e-05,,,,0.6158671586715867,0.3613879660391288,,,,,,-534.5224101389344,1.0,,-0.0,,-0.07593154907226562,,-0.07593154907226562,,-0.07593154907226562,,,-0.17194810392899915,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.15552175135268412
2014-03-31,27.641328811645508,28.139098930896324,27.63934502845328,28.133639255814177,216593,-0.5392984610924634,560.71,,0.0,0.0,,-0.06339851036886752,0.0,,,0.14987754821777344,0.14987754821777344,,-0.14987754821777344,,,-1.3608856088560886,,,,,-0.2902151551733512,1.0,,,,-0.0,,0.00011707610871884153,,,,0.9214022140221402,0.518641565153193,,,,,,-532.8218974445944,1.004694835680751,,-0.0,,0.14987754821777344,,0.14987754821777344,,0.14987754821777344,,,-0.004335837510900141,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.9831385072923444
2014-04-01,28.14703941345215,28.211061510915677,27.727682810333388,27.727682810333388,158434,1.8295451902933912,565.61,,0.0,0.0,,-0.05605288599011451,0.0,,,-0.5057106018066406,-0.5057106018066406,0.32519907084810484,0.5057106018066406,,-0.0,-1.0691881918819188,,,,,-0.05831110475166925,1.0,,-0.4317646026611328,,-0.0,,-8.390949526033788e-05,,,,0.10848708487084871,0.2100406053894426,,,,,,-537.641672103655,1.0,,-0.0,,-0.5057106018066406,,-0.5057106018066406,,-0.5057106018066406,,,-0.80482277222197,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.8657618566106169
2014-04-02,28.139101028442383,30.016528902871,27.900390196016993,29.776329758351217,2942055,-0.0282032681773736,566.07,,0.0,0.0,,-0.0830643645919854,0.0,,,0.007938385009765625,0.007938385009765625,0.388197975706072,0.007938385009765625,-0.5934959349593496,-0.0,-1.4988929889298892,-0.4878048780487805,,-0.02771618625277162,,-0.8297934374492274,1.0,,-0.34789466857910156,,-0.0,,0.0003869703552021985,,,,0.9988929889298893,0.34108527131782945,,,,,,-537.1308765039416,1.002309468822171,,-0.6823866364986184,,0.007938385009765625,,0.007938385009765625,,0.007938385009765625,,,-0.14966930072378884,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.7733214288740198
2014-04-03,28.27507972717285,29.145556243922915,27.99666665716713,28.280539402539937,101983228,0.4832375369526742,575.5,,0.0,0.0,,-0.06355060524774989,0.0,,,-0.13597869873046875,-0.13597869873046875,0.6492058719693294,-0.13597869873046875,-0.9471544715447154,-0.0,-1.6464944649446496,-0.9811529933481153,,-0.24796747967479674,,-0.044262751589985216,1.0,,-0.6337509155273438,,-0.0,,0.00013981120377488877,,,,0.5350553505535055,0.6626061277224068,,,,,,-546.9346639666392,1.0022222222222221,,-0.2806683207469066,,-0.13597869873046875,,-0.13597869873046875,,-0.13597869873046875,,,-0.24256636401046586,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.004747999660113938
2014-04-04,26.954975128173828,28.673593971364607,26.9480271408168,28.51875446623453,127386783,-4.668791783212479,553.64,,0.0,0.0,,-0.07057747035034927,0.0,,,1.3201045989990234,1.3201045989990234,0.6400884189412099,1.3201045989990234,-0.0336289726533629,-0.0,-1.682287822878229,-0.9608277900960828,,-0.037324464153732445,,-0.14571650125661012,1.0,,1.1920642852783203,,-0.0,1.0,0.0004041978340943719,,,,0.9985239852398524,0.5116279069767442,,,,,,-525.8425758645681,1.0048250904704463,,-0.0856313822127948,,1.3201045989990234,,1.3201045989990234,,1.3201045989990234,,,-0.005338083083317278,-0.0,,False,0,0,0,0,0,False,,0,8476.034914053293,,,0,,False,0,-0.9057160779374787
2014-04-07,26.70733070373535,27.21998776236625,26.16142202027903,26.835866571816208,88033033,-0.9187336410473425,537.53,,0.5935439070170172,0.0,,-0.04079111123214553,0.0,,,0.24764442443847656,0.24764442443847656,0.614673839201283,-0.24764442443847656,-0.0040650406504065045,-0.0,-1.511070110701107,-0.008499630450849963,,-0.25203252032520324,,-0.004864017910212516,1.0,,1.4317703247070312,,-0.0,1.0,-7.852114025747522e-06,,,,0.6974169741697417,0.5134736064968624,,,,,,-510.84454352576864,1.0026631158455392,,0.3986851724223606,,0.24764442443847656,,0.24764442443847656,,0.24764442443847656,,,-0.5282358427724771,-0.0,,False,0,0,0,0,0,False,,0,12554.19412050436,,,0,,False,0,-0.12130995083670375
2014-04-08,27.538599014282227,27.54356131976213,26.879041414161637,26.928174692826833,63024560,3.112509893886961,551.1,,0.8428105620032801,0.0,-2.0,-0.0435380781852099,0.0,,,-0.831268310546875,-0.831268310546875,0.011756816263323002,0.831268310546875,-0.012934220251293422,-0.0,-1.5859778597785978,-0.0025868440502586844,,-0.61529933481153,,-0.256653917073954,1.0,,0.736480712890625,,-0.7826237921249266,1.0,-0.0001545776160179189,,,,0.04206642066420664,0.162421557770395,,,,,,-523.8907272164913,0.997563946406821,,0.711359352426053,,-0.831268310546875,,-0.831268310546875,-0.9951958610495196,-0.831268310546875,,,-0.8872992262133177,-0.0,,False,0,0,0,0,0,False,,0,20594.86624872959,,,0,,False,0,0.9172142205192397
2014-04-09,27.997161865234375,28.05820353695717,27.44182408015898,27.772842501554575,66616395,1.6651640510627397,559.06,,0.815495241222745,0.4251243513176524,-4.0,-0.05745319372012908,0.23041309044101607,,,-0.45856285095214844,-0.45856285095214844,0.002855172240686791,-0.45856285095214844,-0.49667405764966743,0.22717862518916582,-1.6125461254612548,-0.6407982261640798,,-0.5801921655580192,,-0.4440509699753691,1.0,,-1.0421867370605469,,-0.7826237921249266,1.0,-0.00011672420415259663,,,,0.26199261992619927,0.5677371723883352,,,,-0.24234382236454724,0.037446881360203174,-531.3116976110884,0.9964580873671783,,-0.5339292230083053,,-0.45856285095214844,,-0.45856285095214844,-0.9951958610495196,-0.45856285095214844,,-1.612119617890728,-0.8654474122003234,-0.0,-0.0011197224720177652,False,0,0,0,0,0,False,,0,21448.162230247824,,,0,,False,0,0.3633411530133351
2014-04-10,26.84628677368164,28.039840820892913,26.79417687182242,28.039840820892913,80737057,-4.110684851173573,547.6,,0.7648665594926766,0.3820907509559873,-2.0,-0.06299914216854346,0.20815740079391198,,,1.1508750915527344,1.1508750915527344,0.14422916897435886,1.1508750915527344,-0.4253510716925351,0.015609882660201009,-1.5870848708487086,-0.5606060606060606,,-0.07501847745750184,,-0.23216358657109218,1.0,,-0.13895606994628906,,-0.7826237921249266,1.0,0.00026954320669686776,3.606508875739645,,,0.9937269372693727,0.6375046142488003,,,,-0.0031193858773093473,0.056455573042953004,-520.190066501125,1.0037313432835822,,-0.3970542575641069,,1.1508750915527344,,1.1508750915527344,-0.6178861788617886,1.1508750915527344,,18.025743023502915,-0.05199672058546038,-0.0,0.00028654555299219086,False,0,0,0,0,0,False,,0,8366.389980265512,,,0,,False,0,-0.9573983815776336
2014-04-11,26.33263778686523,26.799140071387725,26.130650688405577,26.429412237342927,78496923,-1.9132962079506433,533.51,,0.9188375111321633,0.45865630301624233,-1.0,-0.025136504132568998,0.28190557072471967,,,0.5136489868164098,0.5136489868164098,0.5232863646359157,-0.5136489868164098,-0.40835181079083516,0.007706321475297102,-1.2988929889298892,-0.401330376940133,,-0.385439763488544,,-0.0018003983658885275,1.0,,1.2059612274169957,,-0.5493991853679281,1.0,6.246321535900236e-05,2.684171597633136,,,0.6619926199261993,0.8541897379106681,,,,-0.022863269173232274,0.1059356395773885,-507.0472154156996,1.0069348127600555,,0.35496896123314076,,0.5136489868164098,,0.5136489868164098,-0.6178861788617886,0.5136489868164098,,-248.61005246522242,-0.3077476991934063,-0.0,0.00015323472324260147,False,0,0,0,0,0,False,,0,14047.98765423978,,,0,,False,0,-0.14454964176821966
2014-04-14,26.42792510986328,27.0026166921274,26.28102643077603,26.7122933276818,51501009,0.3618601515324782,536.71,,0.6382745432489151,0.4575877575793149,-3.0,-0.0342478996745687,0.20337377742722562,,,-0.09528732299805043,-0.09528732299805043,0.060982413885113204,0.09528732299805043,-0.6954915003695491,0.05198915920932402,-1.6044280442804428,-0.582039911308204,,-0.29933481152993346,,-0.32412999014693294,1.0,,1.5692367553710938,,-0.22821773229382045,1.0,0.00010101998542284378,5.684171597633136,,,0.8317343173431734,0.6002214839424141,,,,-0.029843532052499348,0.09876142495694148,-510.0706215728311,1.0013422818791946,,-0.3551212268657455,,-0.09528732299805043,,-0.09528732299805043,-0.6759053954175905,-0.09528732299805043,,3.75949559910293,-0.21476710616096342,-0.0,9.695141470339687e-05,False,0,0,0,0,0,False,,0,16929.661462337346,,,0,,False,0,-0.3935400641667927
2014-04-15,26.622465133666992,26.722218104504652,25.7301518678785,26.641323413155856,77101101,0.736115389289882,528.41,,0.6414652555003405,0.5592877864612564,-1.0,-0.03263272558924851,0.24188593160206268,,,-0.19454002380371094,-0.19454002380371094,0.18946011734989818,-0.19454002380371094,-0.6881005173688101,0.23473747407411108,-0.9826568265682657,-0.4963045084996304,,-0.5177383592017738,,-0.15496917889887354,1.0,,0.22382164001464844,,0.07142857142857308,1.0,-0.00018715698378370775,4.684171597633136,,,0.5575645756457565,0.8017718715393134,,,,-0.07836376031290856,0.11007686708166539,-502.18850633401144,0.9927007299270072,,-0.1499098727091401,,-0.19454002380371094,,-0.19454002380371094,-0.6759053954175905,-0.19454002380371094,,-7.753071076371117,-0.9026394677640759,-0.0,-0.0013337107511740358,False,0,0,0,0,0,False,,0,10170.519026493796,,,0,,False,0,-0.018989951317782285
2014-04-16,27.61999130249023,27.642819048468816,26.799141625888293,26.948027886957245,97865955,3.746933891413984,548.39,,-0.19418195718957404,-0.41924611953769686,-6.0,-0.04405032611211721,-0.5965955374420528,,-0.4332344213649852,-0.9975261688232386,-0.9975261688232386,0.5121679719792059,-0.9975261688232386,-0.7978566149297857,-0.5838129215677865,-1.177859778597786,-0.6027346637102735,,-0.7032520325203252,,-0.5312895190067782,1.0,,-1.287353515625,,-0.5423261445466404,1.0,-0.0001884467068060535,1.7052514792899407,,,0.03357933579335794,0.2336655592469546,,,,-0.4540439443639161,-0.24105981476048596,-521.172288438983,0.9987639060568604,,-0.3319170584343582,,-0.9975261688232386,,-0.9975261688232386,-0.6858832224685883,-0.9975261688232386,,-3.0987549456141714,-0.8602099412891449,-0.0,-0.0014238166733751294,False,0,0,0,0,0,False,,0,13242.90049252349,,,0,,False,0,0.7955266680150048
2014-04-17,26.6055908203125,27.27060809932722,26.359932018992023,27.236363635260485,136190888,-3.6727038436332737,538.45,,-0.2445542954978486,-0.3539567656754796,-5.0,-0.05026034503887474,-0.4257371526101283,,-0.3835311572700297,1.0144004821777308,1.0144004821777308,0.5517854307367681,1.0144004821777308,-0.7804878048780488,-0.02013090341119188,-1.4180811808118081,-0.5886917960088692,,-0.09977827050997783,,-0.043650712956089646,1.0,,-0.17766571044921875,,-0.7092993656151904,1.0,9.902826107917933e-05,2.676775147928994,,,0.9549815498154982,0.35437430786268,,,,-0.02467659237865981,-0.1049668118852834,-511.6385961647877,1.0013210039630118,,-0.3451975535588196,,1.0144004821777308,,1.0144004821777308,-0.6858832224685883,1.0144004821777308,,-244.64784108126642,-0.3032839865796693,-0.0,0.0002300027354819271,False,0,0,0,0,0,False,,0,14013.959360241746,,,0,,False,0,-0.6918825979464858
2014-04-21,26.234373092651367,26.635368766701845,26.084497796337416,26.60559113658176,51334553,-1.3952621092620854,529.94,,-0.47974518372997205,-0.34726776797930003,-2.0,-0.03181111368309256,-0.20550755386297234,,-0.6153560830860534,0.3712177276611328,0.3712177276611328,0.02566080935743482,-0.3712177276611328,-0.8632668144863267,-0.031505591005959926,-2.221771217712177,-0.754249815225425,,-0.172209903917221,,-0.056002443882608006,1.0,,0.388092041015625,,-0.8242255917447339,1.0,5.930013497169876e-05,4.6357248520710055,,,0.8863468634686347,0.8036175710594315,,,,-0.020178668280573957,-0.040895572900008594,-503.58150577328695,1.0,,-0.6266494813208368,,0.3712177276611328,,0.3712177276611328,-0.7849223946784922,0.3712177276611328,,1.7364394145537638,-0.29187122367889995,-0.5157349870859141,1.5827770563967637e-05,False,0,0,0,0,0,False,,0,19782.067517581967,,,0,,False,0,-0.6726536887513037
2014-04-22,26.54157257080078,26.66167213413955,26.17928630087749,26.235367566982823,47307527,1.1709808237631014,533.3,,-0.14290090181564308,-0.5872044177254852,-4.0,-0.016825206628450048,-0.3472791061353478,,-0.6572700296735905,-0.30719947814941406,-0.30719947814941406,0.005744175475912059,0.30719947814941406,-0.8573540280857354,-0.04041112612952884,-2.592250922509225,-0.8451589061345159,,-0.49963045084996305,,-0.059179009805927316,1.0,,1.0784187316894496,,-0.8242255917447339,1.0,-5.719051762450501e-05,4.581360946745562,,,0.17195571955719557,0.4230343300110742,,,,-0.05597387054951631,-0.07524732841771054,-506.88062173214956,0.9972222222222222,,-0.7454575854827293,,-0.30719947814941406,,-0.30719947814941406,-0.8178122690317813,-0.30719947814941406,,0.3239809076086041,-0.708695771592097,-0.4135674286626814,-0.0011622077451074575,False,0,0,0,0,0,False,,0,22602.907044759875,,,0,,False,0,0.6334587874691664
2014-04-23,26.150999069213867,26.49492253316373,26.116756503196903,26.490951170035473,41046384,-1.4715537315848293,529.87,,-0.10756598910530848,-0.5688271213737537,-3.0,-0.02823205021718114,-0.4081257966632553,,-0.5100148367952523,0.39057350158691406,0.39057350158691406,0.00038564605467852637,-0.39057350158691406,-0.9368070953436807,-0.34766829963260687,-2.6686346863468633,-0.9338507021433851,,-0.18366592756836658,,-0.0985790874668726,1.0,,0.4545917510986328,,-0.9630868246861538,1.0,7.312874889366921e-05,3.581360946745562,,,0.8708487084870848,0.7751937984496124,,,,-0.03325521093048768,-0.11983181913568494,-503.5648400428794,1.0043165467625899,,-0.898944785035867,,0.39057350158691406,,0.39057350158691406,-0.9541759053954176,0.39057350158691406,,9.933822895690593,-0.09658954534275101,-0.4035942014689843,-2.184765552928876e-05,False,0,0,0,0,0,False,,0,18742.917556719214,,,0,,False,0,-0.8965784747419153
2014-04-24,26.062660217285156,26.384746870438335,25.911790186326115,26.30633523104982,37663121,-0.3378029714845909,525.75,,-0.14155293970658203,-0.6326765109630894,-2.0,-0.021409566863196308,-0.5719019649310438,-1.0,-0.297106824925816,0.08833885192871094,0.08833885192871094,0.06168843127315309,-0.08833885192871094,-0.8987435328898744,-0.41260603528272205,-2.7321033210332106,-0.9297856614929786,,-0.16666666666666666,,-0.12064243560179672,1.0,-0.12234943981103961,0.17171287536621094,0.6763285024154589,-0.9630868246861538,1.0,4.043148109693954e-05,2.581360946745562,0.1979441921200086,,0.8081180811808119,0.7600590623846438,,,,-0.034022932602521136,-0.15564757414964478,-499.60280081870866,1.001497005988024,,-0.9329209536779465,,0.08833885192871094,1.2090650048572522,0.08833885192871094,-0.9826311899482632,0.08833885192871094,,-20.76969201828141,-0.3341870774400649,-0.5945804489380004,-6.081609104106986e-05,False,0,0,0,0,0,False,,0,11636.22249888838,,,0,,False,0,-0.5141292905724066
