,close,high,low,open,vol,pct_change,vwap,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha008,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha015,alpha016,alpha017,alpha018,alpha019,alpha020,alpha021,alpha022,alpha024,alpha025,alpha026,alpha027,alpha028,alpha029,alpha030,alpha032,alpha033,alpha034,alpha035,alpha036,alpha037,alpha038,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha060,alpha061,alpha062,alpha064,alpha065,alpha068,alpha074,alpha075,alpha078,alpha081,alpha083,alpha084,alpha085,alpha086,alpha094,alpha095,alpha099,alpha101
2016-11-11,26.60272979736328,26.78073469413111,25.6771087478799,26.52262776357581,6020100.0,-1.4507016170007825,29.44,,0.0,0.0,,-0.0011337478464524156,0.0,,,,,,,,,,,,,,,1.0,,,,,,-0.0002601644294205527,,,,0.41300097751710657,,,,,,,-3.21688353590816,465.0,,-0.0,,,,,,,,,-0.8261578885276776,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.07251507540567582
2016-11-14,26.86973571777344,27.083340564020336,25.588104942711627,26.113217492994576,4481900.0,1.0036786541981924,29.4,,0.0,0.0,,-0.0004099265285529594,0.0,,,-0.2670059204101598,-0.2670059204101598,,0.2670059204101598,,,,,,,,-0.014154748706293054,1.0,,,,,,-0.0003716644635983523,,,,0.02932551319648094,0.28117359413202936,,,,,,-3.0748910628778,165.5,,-0.0,,-0.2670059204101598,,-0.2670059204101598,,-0.2670059204101598,,,-0.7430845776745674,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.5056143658157021
2016-11-15,27.083341598510746,27.323647696310022,26.362425002693374,26.380224134041836,3667200.0,0.7949682980916473,30.4,,0.0,0.0,,-0.0006335228168545735,0.0,,,-0.2136058807373047,-0.2136058807373047,,0.2136058807373047,,,-0.9589442815249267,,,,,-0.02170013231473289,1.0,,,,-0.0,,-0.00016724860148651573,,,,0.042033235581622676,0.29682151589242056,,,,,,-3.561266550114766,240.33333333333334,,-0.0,,-0.2136058807373047,,-0.2136058807373047,,-0.2136058807373047,,,-0.657570279512859,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.73072218014953
2016-11-16,28.213668823242188,28.516276125264127,27.243545713391935,27.38594894992221,4342300.0,4.173514633045139,31.51,,0.0,0.0,,-0.0012794676497259033,0.0,,,-1.1303272247314418,-1.1303272247314418,0.02074670513509449,-1.1303272247314418,,-0.0,-0.8892961876832846,,,,,-0.4995005306284556,1.0,,-1.6109390258789062,,-0.0,,-0.0002322901513591641,,,,0.024926686217008796,0.14034229828850855,,,,,,-3.637352615972407,177.0,,-0.0,,-1.1303272247314418,,-1.1303272247314418,,-1.1303272247314418,,,-0.656797632695616,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.6498391383333262
2016-11-17,28.9345760345459,29.428537872700417,27.265788655971495,27.946654055816897,5252000.0,2.5551700341425843,32.02,,0.0,0.0,,-0.0017366933931118966,0.0,,,-0.7209072113037109,0.7209072113037109,0.558844194246403,-0.7209072113037109,-0.5328109696376102,-0.0,-1.323069403714565,-0.4813907933398629,,-0.5808031341821743,,-0.04600847102518991,1.0,,-2.0648403167724574,,-0.0,,-0.00040882987249785113,,,,0.01857282502443793,0.3491442542787286,,,,,,-3.6934701367904523,98.83333333333334,,-0.023037238637735574,,-0.7209072113037109,,-0.7209072113037109,,-0.7209072113037109,,,-0.6485721884018915,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.45657878052175865
2016-11-18,29.08588409423828,29.45969125297937,28.293766014387547,28.60527198000512,4253400.0,0.522931663182935,32.61,0.8215869886643666,0.0,0.0,,-0.002063487968321948,0.0,,,0.1513080596923828,0.1513080596923828,0.5824283769790981,0.1513080596923828,-0.5352595494613125,-0.0,-1.8558162267839686,-0.4838393731635651,,-0.29676787463271304,,-0.04148438108964099,1.0,,-2.0025424957275355,,-0.0,,-0.00014556884801857002,,,,0.11436950146627566,0.3471882640586797,,,,,,-3.739156382815935,81.3,,-0.45735426783250044,,-0.1513080596923828,,-0.1513080596923828,,-0.1513080596923828,,,-0.6250838578771685,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.4118619585374087
2016-11-21,28.249263763427734,28.92567986553132,27.848755368453105,28.712073351115297,5036700.0,-2.876379236401738,31.78,,0.0,0.0,,-0.002646606066339299,0.0,,,0.8366203308105469,0.8366203308105469,0.6025657512215353,0.8366203308105469,-0.5362389813907933,-0.0,-1.7341153470185726,-0.4853085210577865,,-0.07982370225269343,,-0.017335136116148734,1.0,,-0.035594940185546875,,-0.0,1.0,9.601367083523608e-05,,,,0.8900293255131965,0.7149144254278729,,,,,,-3.3978897465080813,163.2,,-0.7543766694762013,,0.8366203308105469,,0.8366203308105469,,0.8366203308105469,,,-0.4033791750279989,-0.0,,False,0,0,0,0,0,False,,0,89.8072557025998,,,0,,False,0,-0.42935250932884367
2016-11-22,29.10368537902832,29.504195480537422,27.083337440447252,28.053460399586875,5601700.0,3.024580119170195,31.91,,-0.12678759245416604,0.0,,-0.0022918619550915454,0.0,,,-0.8544216156005859,-0.8544216156005859,0.45843307250283294,-0.8544216156005859,-0.5357492654260528,-0.0,-1.3455522971652003,-0.4843290891283056,,-0.5768854064642507,,-0.015232513454185378,1.0,,-0.16910934448242188,,-0.0,1.0,-0.0005636905852086268,,,,0.013685239491691105,0.07872860635696821,,,,,,-3.642136937711161,64.0,,-0.45915886253039384,,-0.8544216156005859,,-0.8544216156005859,,-0.8544216156005859,,,-0.6944629926318864,-0.0,,False,0,0,0,0,0,False,,0,30.463125910359267,,,0,,False,0,0.43364431855896207
2016-11-23,29.388498306274418,29.789008496344955,28.92568690832192,29.103691814482293,3619500.0,0.9786146446296052,32.94,,-0.3533106962596872,0.0,-9.0,-0.003221602076961078,0.0,,,-0.2848129272460973,-0.2848129272460973,0.10117838296584299,0.2848129272460973,-0.524975514201763,-0.0,-1.0703812316715542,-0.47747306562193925,,-0.2840352595494613,,-0.2501922254910697,1.0,,-0.30261421203613637,,-0.0,1.0,-2.1680321033657373e-05,,,,0.23362658846529813,0.4557457212713936,,,,,,-3.5858259684484395,63.153846153846146,,0.5250155502703162,,-0.2848129272460973,,-0.2848129272460973,-0.6797257590597453,-0.2848129272460973,,,-0.510604789710129,-0.0,,False,0,0,0,0,0,False,,0,103.8714003046667,,,0,,False,0,0.32951449522805965
2016-11-25,29.005775451660156,29.17487816650034,28.72096909237163,29.157077344649853,827800.0,-1.302287890404208,32.58,,-0.5866553787463974,0.5689308335729912,-8.0,-0.0034800755640789697,0.4084790262352395,,,0.38272285461426137,0.38272285461426137,0.005255643584652094,-0.38272285461426137,-0.5827619980411362,0.32470383681156584,-1.5547409579667644,-0.5896180215475024,,-0.4764936336924584,,-0.019995306201098254,1.0,,-0.7565116882324219,,-0.1946247360403809,1.0,-4.026394096816053e-05,,,,0.6779081133919843,0.7124694376528118,,,,-0.2854450726083583,0.11622319056472104,-3.632966057059246,92.55555555555556,,-0.31636406930887623,,0.38272285461426137,,0.38272285461426137,-0.6797257590597453,0.38272285461426137,,0.40143766540303943,-0.6439888662930351,-0.0,-0.00041670037668889936,False,0,0,0,0,0,False,,0,55.91112014730938,,,0,,False,0,-0.332598098377101
