,close,high,low,open,vol,pct_change,vwap,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha008,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha015,alpha016,alpha017,alpha018,alpha019,alpha020,alpha021,alpha022,alpha024,alpha025,alpha026,alpha027,alpha028,alpha029,alpha030,alpha032,alpha033,alpha034,alpha035,alpha036,alpha037,alpha038,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha060,alpha061,alpha062,alpha064,alpha065,alpha068,alpha074,alpha075,alpha078,alpha081,alpha083,alpha084,alpha085,alpha086,alpha094,alpha095,alpha099,alpha101
2013-01-22,26.950000762939453,27.36000061035156,24.850000381469727,25.0,2072000,8.713189865431525,26.18,,0.0,0.0,,-0.3256700997749515,0.0,,,,,,,,,,,,,,,1.0,,,,,,-0.00043981674629989557,,,,0.010974393082806785,,,,,,,-0.10518407343499092,0.024253731343283583,,-0.0,,,,,,,,,-0.5747139605159606,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.7765832676995826
2013-01-23,27.489999771118164,28.86000061035156,26.489999771118164,28.0,1572200,2.003706838187913,27.09,,0.0,0.0,,-0.35903759203251384,0.0,,,-0.5399990081787109,-0.5399990081787109,,0.5399990081787109,,,,,,,,-0.9521452348604866,1.0,,,,,,9.629142829271793e-05,,,,0.8260724975058198,0.1763140385894877,,,,,,0.5596186151397546,0.14324324324324325,,-0.0,,-0.5399990081787109,,-0.5399990081787109,,-0.5399990081787109,,,-0.46255989503611494,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.21509913469568068
2013-01-24,27.350000381469727,27.899999618530273,26.63999938964844,27.170000076293945,508700,-0.5092738843727629,27.31,,0.0,0.0,,-0.2087505276735395,0.0,,,0.1399993896484375,0.1399993896484375,,-0.1399993896484375,,,-1.2098436980379115,,,,,-0.005174451480378427,1.0,,,,-0.0,,-4.163989878286292e-05,,,,0.3538410375789824,0.4507651363938789,,,,,,-0.04727869766412596,1.1615661566156614,,-0.0,,0.1399993896484375,,0.1399993896484375,,0.1399993896484375,,,-0.5451924663043654,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.14274407018577076
2013-01-25,27.350000381469727,27.899999618530273,26.280000686645508,27.5,870700,0.0,27.1,,0.0,0.0,,-0.3248357756079402,0.0,,,-0.0,-0.0,0.05243757075978562,-0.0,,-0.0,-1.6607914865314266,,,,,-0.25711230349670167,1.0,,-0.39999961853027344,,-0.0,,-0.0001353283059970188,,,,0.6198869304955105,0.35761809713905524,,,,,,-0.022112173724021744,0.3457013574660634,,-0.0,,-0.0,,-0.0,,-0.0,,,-0.678806060526752,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.09253529757472825
2013-01-28,27.760000228881836,27.8799991607666,26.940000534057617,27.8799991607666,172200,1.4990853444005523,27.42,,0.0,0.0,,-0.34972194908477056,0.0,,,-0.4099998474121094,-0.4099998474121094,0.05859076417245115,0.4099998474121094,-0.1798201798201798,-0.0,-1.9541070834718988,-0.2390942390942391,,-0.2997002997002997,,-0.7137603780176452,1.0,,-0.2700004577636719,,-0.0,,-0.00018217275779451234,,,,0.6005986032590622,0.563872255489022,,,,,,-0.014029988329586018,0.19323241317898485,,-0.041210802349998084,,-0.4099998474121094,,-0.4099998474121094,,-0.4099998474121094,,,-0.8913595596883417,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.1275229617544137
2013-01-29,27.11000061035156,27.959999084472656,27.0,27.899999618530273,437400,-2.341497165601625,27.42,,0.0,0.0,,-0.035711761792045146,0.0,,,0.649999618530277,0.649999618530277,0.47099568849963774,0.649999618530277,-0.5041625041625042,-0.0,-2.069837046890589,-0.7782217782217782,,-0.02564102564102564,,-0.46113517738834875,1.0,,0.23999977111816762,,-0.0,,0.00019258186382377541,,,,0.9042234785500499,0.4121756487025948,,,,,,0.055807090616312394,2.458032490974729,,-0.9380851686932268,,0.649999618530277,,0.649999618530277,,0.649999618530277,,,-0.13228104768285046,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.8220601048878446
2013-01-30,26.290000915527344,27.229999542236328,26.170000076293945,26.690000534057617,816400,-3.024712933835616,26.4,,0.0,0.0,,-0.10198263690010968,0.0,,,0.8199996948242152,0.8199996948242152,0.4808945809359013,0.8199996948242152,-0.27405927405927405,-0.0,-1.3192550714998337,-0.2813852813852814,,-0.06260406260406261,,-0.0004219046171774036,1.0,,1.0599994659423828,,-0.0,1.0,0.00021340156502478943,,,,0.7884935151313601,0.9693945442448436,,,,,,0.2947389966227014,2.023518344308561,,0.4896235595032067,,0.8199996948242152,,0.8199996948242152,,0.8199996948242152,,,-0.12208675290008539,-0.0,,False,0,0,0,0,0,False,,0,0.22185731364266453,,,0,,False,0,-0.3770026577487413
2013-01-31,26.3700008392334,26.920000076293945,25.75,26.020000457763672,970400,0.3042979114497024,26.16,,-0.15662169981933002,0.0,,-0.29004747707073913,0.0,,,-0.07999992370605469,-0.07999992370605469,0.8481975225489696,-0.07999992370605469,-0.2037962037962038,-0.0,-0.6365147988027935,-0.18048618048618048,,-0.27605727605727604,,-0.001364724128731385,1.0,,1.3899993896484375,,-0.0,1.0,-1.8217672884116155e-05,,,,0.22879946790821418,0.23320026613439787,,,,,,0.16850170375384366,0.46600566572237956,,0.6999396467880382,,-0.07999992370605469,,-0.07999992370605469,,-0.07999992370605469,,,-0.49566946831312103,-0.0,,False,0,0,0,0,0,False,,0,-0.5279818216774148,,,0,,False,0,0.2988901440360532
2013-02-01,27.649999618530273,27.799999237060547,26.18000030517578,26.469999313354492,1099300,4.853995974821834,26.63,,-0.46046803090658056,0.0,-4.0,-0.35510291970326635,0.0,,,-1.279998779296875,-1.279998779296875,0.2728202662672732,-1.279998779296875,-0.27672327672327673,-0.0,-0.7991353508480212,-0.1928071928071928,,-0.7908757908757909,,-0.19103982158284388,1.0,,-0.5399990081787145,,-0.0,1.0,-0.0003435253180071776,,,,0.03890921183904224,0.1081170991350632,,,,,,0.34784254735970777,0.009099181073703368,,0.4965317319442078,,-1.279998779296875,,-1.279998779296875,-0.14552114552114553,-1.279998779296875,,,-0.7296194547702773,-0.0,,False,0,0,0,0,0,False,,0,-2.5090963020417933,,,0,,False,0,0.7279463804481185
2013-02-04,28.40999984741211,29.079999923706055,27.600000381469727,27.709999084472656,952100,2.748644627005725,28.33,,-0.37972285725542954,0.5608650713003926,-9.0,-0.23893467067033147,0.6002167830032352,,,-0.7600002288818359,-0.7600002288818359,0.03398330789119776,0.7600002288818359,-0.6936396936396937,0.5578579421255102,-1.0705021616228798,-0.3516483516483517,,-0.7788877788877789,,-0.4021576057017049,-1.0,,-2.1199989318847656,,-0.0,1.0,-3.643435300657001e-05,,,,0.11140671765879614,0.3273453093812375,,,,-0.526002147978932,-0.0036135049859014404,0.00033725509505444506,0.948695652173913,,-0.0033836905537413483,,-0.7600002288818359,,-0.7600002288818359,-0.3756243756243756,-0.7600002288818359,,0.631923146277917,-0.48311392072699966,-0.0,-9.114602653139466e-05,False,0,0,0,0,0,False,,0,-0.18439084012348997,,,0,,False,0,0.4726542736687434
