,close,high,low,open,vol,pct_change,vwap,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha008,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha015,alpha016,alpha017,alpha018,alpha019,alpha020,alpha021,alpha022,alpha024,alpha025,alpha026,alpha027,alpha028,alpha029,alpha030,alpha032,alpha033,alpha034,alpha035,alpha036,alpha037,alpha038,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha060,alpha061,alpha062,alpha064,alpha065,alpha068,alpha074,alpha075,alpha078,alpha081,alpha083,alpha084,alpha085,alpha086,alpha094,alpha095,alpha099,alpha101
2013-06-20,13.482084274291992,14.424949551204872,13.43802500783353,14.424949551204872,9274200,-3.1645427855546915,15.65,,0.0,0.0,,-0.0044364762645316014,0.0,,,,,,,,,,,,,,,1.0,,,,,,0.00026126337995919136,,,,0.9989665862900448,,,,,,,-1.7272548394424696,2.2968874700718276,,-0.0,,,,,,,,,-0.06259499948099974,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.9543899716220285
2013-06-21,13.76405906677246,13.922672053368386,13.570198843195268,13.834553540735,8323500,2.0914777473846957,15.59,,0.0,0.0,,-0.06419766739694252,0.0,,,-0.281974792480467,-0.281974792480467,,0.281974792480467,,,,,,,,-0.04682338358423894,1.0,,,,,,-1.0245606016021786e-05,,,,0.6665518429211161,0.1485182632667126,,,,,,-1.8446943215944902,1.9209302325581397,,-0.0,,-0.281974792480467,,-0.281974792480467,,-0.281974792480467,,,-0.5642293834647313,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.19943371076980587
2013-06-24,13.684751510620115,13.95791820627922,13.393961618019327,13.781682035060614,4279700,-0.5761930820523564,15.41,,0.0,0.0,,-0.07576705960277946,0.0,,,0.07930755615234375,0.07930755615234375,,-0.07930755615234375,,,-1.5949018256975542,,,,,-0.1701135995102113,1.0,,,,-0.0,,-5.122680472888979e-06,,,,0.7192559421288323,0.5358373535492763,,,,,,-1.7369673911616417,1.92289156626506,,-0.0,,0.07930755615234375,,0.07930755615234375,,0.07930755615234375,,,-0.5341462484503232,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.1715716330329937
2013-06-25,13.852179527282717,13.869802728071294,13.526142329268902,13.702378538957378,3577300,1.2234640616796355,15.49,,0.0,0.0,,-0.08076669828176133,0.0,,,-0.1674280166626012,-0.1674280166626012,0.01589558891702029,0.1674280166626012,,-0.0,-1.7555976575955907,,,,,-0.11841875909205168,1.0,,-0.37009525299072443,,-0.0,,-8.964924845245741e-05,,,,0.1949707199448846,0.1850447966919366,,,,,,-1.7931052505038778,1.8236208236208233,,-0.0,,-0.1674280166626012,,-0.1674280166626012,,-0.1674280166626012,,,-0.8985182662379511,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.4346335954053891
2013-06-26,13.570199012756348,13.825741694153692,13.376339627117275,13.825741694153692,14755100,-2.0356400519570883,15.45,,0.0,0.0,,-0.05268701210538138,0.0,,,0.28198051452636896,0.28198051452636896,1.6582792497236387,0.28198051452636896,-0.19420489824077267,-0.0,-1.6200482259731313,-0.7433597792342187,,-0.05105208692652639,,-0.20222261347162623,1.0,,0.1938600540161115,,-0.0,,1.792999395796293e-05,,,,0.9104374784705477,0.7170916609235011,,,,,,-1.8508155943896565,2.0688816855753647,,-0.33261642210819053,,0.28198051452636896,,0.28198051452636896,,0.28198051452636896,,,-0.4735467669646573,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.5673656941203216
2013-06-27,13.658319473266602,13.984356675978733,13.085551573435126,13.517330503484118,12121700,0.6493674884754386,15.39,,0.0,0.0,,-0.07003148891907346,0.0,,,-0.0881204605102539,-0.0881204605102539,1.663470384766252,0.0881204605102539,-0.23387374956881685,-0.0,-1.5463313813296589,-0.517764746464298,,-0.07416350465677819,,-0.023696761432663735,1.0,,0.02643203735351385,,-0.0,,-7.171925323073604e-05,,,,0.20427144333448158,0.20020675396278428,,,,,,-1.8625087135555134,1.941747572815534,,-0.11822343456828655,,-0.0881204605102539,,-0.0881204605102539,,-0.0881204605102539,,,-0.6050363535322715,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.15668834215757416
2013-06-28,13.438023567199709,13.896238544667437,13.438023567199709,13.658319035514458,16988100,-1.61290637913456,15.46,,0.0,0.0,,-0.026551221140447792,0.0,,,0.22029590606689275,0.22029590606689275,1.752746674749492,0.22029590606689275,-0.15039668851328045,-0.0,-1.1215983465380641,-0.4894791307347361,,-0.017247326664367024,,-0.08349310176133655,1.0,,0.4141559600830078,,-0.0,1.0,0.00013319313886276572,,,,0.8873579056148811,0.6330117160578911,,,,,,-1.794789388426171,2.238879736408567,,-0.0493915501315982,,0.22029590606689275,,0.22029590606689275,,0.22029590606689275,,,0.0,-0.0,,False,0,0,0,0,0,False,,0,50.35699059227533,,,0,,False,0,-0.4797218712889879
2013-07-01,13.032681465148926,13.737627218008791,12.997434219523964,13.032681465148926,25839400,-3.0163818363897144,14.94,,0.144813935022548,0.0,,-0.038768736630677356,0.0,,,0.405342102050783,0.405342102050783,1.7515357962177134,0.405342102050783,-0.09796481545360469,-0.0,-0.8460213572166723,-0.41186616074508453,,-0.048637461193515,,-1.2019888394085828e-06,1.0,,0.5375175476074219,,-0.0,1.0,0.00019466680631714526,,,,0.4953496383052015,0.9272915230875258,,,,,,-1.5775935513691515,2.319569120287253,,0.06553019833712949,,0.405342102050783,,0.405342102050783,,0.405342102050783,,,-0.04761899355588766,-0.0,,False,0,0,0,0,0,False,,0,34.17643616822144,,,0,,False,0,0.0
2013-07-02,13.217726707458496,13.323468420274912,12.944559985745764,12.944559985745764,30520100,1.4198554825759049,15.01,,0.19948768669942554,0.0,-1.0,-0.05299090147398803,0.0,,,-0.1850452423095703,-0.1850452423095703,1.7794620166648838,-0.1850452423095703,-0.5018972059330804,-0.0,-0.48604891491560454,-0.4270438082097275,,-0.1372887202483615,,-0.0002089324693540122,1.0,,0.44059276580810547,,-0.0,1.0,-4.866681264384758e-05,,,,0.07027213227695488,0.05478980013783598,,,,,,-1.8773522782175434,2.137750653879686,,0.7949797765125899,,-0.1850452423095703,,-0.1850452423095703,-0.8095895136253881,-0.1850452423095703,,,-0.6494506256835815,-0.0,,False,0,0,0,0,0,False,,0,53.755475464714664,,,0,,False,0,0.7190330534548156
2013-07-03,13.103171348571776,13.297031551517009,12.97980561208657,13.1736658150318,8542600,-0.8666797356468026,14.87,,-0.30989996607839376,0.20221247052856678,-2.0,-0.06030916501145252,0.6437874284426242,,,0.11455535888672053,0.11455535888672053,0.008309738615697324,-0.11455535888672053,-0.5498447740600207,0.42689766375695387,-0.9280055115397864,-0.5187995860641601,,-0.36805795101759226,,-0.08114719897363928,1.0,,0.33485221862793324,,-0.16137430609197512,1.0,2.04912098512288e-05,,,,0.6717189114708921,0.6368022053756031,,,,-0.0991327276003829,0.29603427939052795,-1.7325388770709313,2.17847533632287,,-0.3481247396418054,,0.11455535888672053,,0.11455535888672053,-0.6585029320455329,0.11455535888672053,,-19.828504710551996,-0.39946338084392036,-0.0,4.771001940230034e-05,False,0,0,0,0,0,False,,0,70.08815914141425,,,0,,False,0,-0.22152331952007343
