,close,high,low,open,vol,pct_change,vwap,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha008,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha015,alpha016,alpha017,alpha018,alpha019,alpha020,alpha021,alpha022,alpha024,alpha025,alpha026,alpha027,alpha028,alpha029,alpha030,alpha032,alpha033,alpha034,alpha035,alpha036,alpha037,alpha038,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha060,alpha061,alpha062,alpha064,alpha065,alpha068,alpha074,alpha075,alpha078,alpha081,alpha083,alpha084,alpha085,alpha086,alpha094,alpha095,alpha099,alpha101
2020-01-03,35.78217315673828,36.04978198944271,35.4541330175641,36.023885210298346,4640100,-1.5205596606961524,41.41,,0.0,0.0,,-0.13164085417604138,0.0,,,,,,,,,,,,,,,1.0,,,,,,-3.752602316937814e-05,,,,0.6117740652346858,,,,,,,-5.659283001485292,0.8891666666666667,,-0.0,,,,,,,,,-0.5695813705963237,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.4051160145286255
2020-01-06,36.30875778198242,36.31738894277468,35.75626799197882,35.81669928984174,5700000,1.4716395869460497,41.41,,0.0,0.0,,-0.13969693344953227,0.0,,,-0.5265846252441406,-0.5265846252441406,,-0.5265846252441406,,,,,,,,-0.19852802010611145,1.0,,,,,,-0.0003377198461010666,,,,0.2728719172633254,0.17277070063694266,,,,,,-5.374263684409335,0.8717948717948718,,-0.0,,-0.5265846252441406,,-0.5265846252441406,,-0.5265846252441406,,,-0.9196839800534008,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.8753605277369819
2020-01-07,36.36918640136719,36.412348792216434,35.88575906184935,36.153371154041615,5104000,0.1664298727805935,41.41,,0.0,0.0,,-0.1425006439673706,0.0,,,-0.060428619384765625,-0.060428619384765625,,0.060428619384765625,,,-1.3929992044550517,,,,,-0.08649149020399272,1.0,,,,-0.0,,-0.00027339128722414567,,,,0.38027048528241847,0.3248407643312102,,,,,,-5.261904951526141,0.8694214876033057,,-0.0,,-0.060428619384765625,,-0.060428619384765625,,-0.060428619384765625,,,-0.8911173351518216,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.40905884800944287
2020-01-08,36.144752502441406,36.576383185800665,35.76491868659434,36.429630334137286,8139300,-0.6170990366651252,41.41,,0.0,0.0,,-0.13897163948712982,0.0,,,0.22443389892578125,0.22443389892578125,1.278189316100828,0.22443389892578125,,-0.0,-1.6614956245027843,,,,,-0.38245755841957385,1.0,,-0.362579345703125,,-0.0,,3.21642963541875e-05,,,,0.6268894192521878,0.5143312101910829,,,,,,-5.24162471868722,0.8789386401326699,,-0.0,,0.22443389892578125,,0.22443389892578125,,0.22443389892578125,,,-0.486823626119721,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.35063419013897856
2020-01-09,35.22968673706055,36.46415037562869,35.022502623749354,36.455515920489184,7749200,-2.5316697501775676,41.41,,0.0,0.0,,-0.1272688378651548,0.0,,,0.9150657653808594,0.9150657653808594,1.1211727253664767,-0.9150657653808594,-0.3399840383080607,-0.0,-1.9482895783611776,-0.5642458100558659,,-0.007182761372705506,,-0.4980865366464912,1.0,,1.079071044921875,,-0.0,,0.0006379096782479003,,,,0.8941925218774861,0.822452229299363,,,,,,-5.673942548131485,0.9080944350758853,,-0.7859267536285874,,0.9150657653808594,,0.9150657653808594,,0.9150657653808594,,,-0.17051776381229192,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.8497078942740869
2020-01-10,34.79806137084961,35.393710434109884,34.64267408598514,35.30738562833196,4688100,-1.2251751468368322,41.41,,0.0,0.0,,-0.11627867237028724,0.0,,,0.4316253662109375,0.4316253662109375,0.7818804526709748,-0.4316253662109375,-0.5275339185953711,-0.0,-2.344470962609387,-0.6424581005586593,,-0.04549082202713488,,-0.03394139991402863,1.0,,1.5711250305175781,,-0.0,,0.0002733893185801328,,,,0.7231503579952268,0.8184713375796179,,,,,,-6.393821235568822,0.9226190476190477,,-0.6235411422031212,,0.4316253662109375,,0.4316253662109375,,0.4316253662109375,,,-0.22248824909548973,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.6772601600339997
2020-01-13,35.22105407714844,35.43686936351954,34.58224267361472,34.87575159480263,5809600,1.2155639987840416,41.41,,0.0,0.0,,-0.119502623019919,0.0,,,-0.4229927062988281,-0.4229927062988281,0.5408827211091837,-0.4229927062988281,-0.659217877094972,-0.0,-2.60381861575179,-0.690343176376696,,-0.3607342378292099,,-0.09479832517333167,1.0,,0.9236984252929688,,-0.0,,-0.00026266786241244496,,,,0.3261734287987271,0.1409235668789809,,,,,,-6.403051890768658,0.909704641350211,,-0.6957295509435616,,-0.4229927062988281,,-0.4229927062988281,,-0.4229927062988281,,,-0.7115449509015632,-0.0,,False,0,0,0,0,0,False,,0,8.47430830477624,,,0,,False,0,0.4035667498687071
2020-01-14,34.81532287597656,35.24695344001448,34.73762924272654,35.048400482646755,5479300,-1.1519564414033678,41.41,,0.3419856408574616,0.0,,-0.11606981808792004,0.0,,,0.405731201171875,0.405731201171875,0.5467403114813473,-0.405731201171875,-0.7916999201915403,-0.0,-2.422434367541766,-0.7661612130885874,,-0.09736632083000799,,-0.057224062784164836,1.0,,0.4143638610839844,,-0.0,,0.00021978418540219977,,,,0.6109785202863962,0.4840764331210191,,,,,,-6.418635343346956,0.9202037351443124,,-0.98003338327337,,0.405731201171875,,0.405731201171875,,0.405731201171875,,,-0.15771754177728983,-0.0,,False,0,0,0,0,0,False,,0,2.2024507050257753,,,0,,False,0,-0.4567245839191208
2020-01-15,34.26283264160156,34.901647318877714,34.16787668465982,34.7203632741528,6239500,-1.5869168766383337,41.41,,0.45211047626888196,0.0,-1.0,-0.10989279446396914,0.0,,,0.552490234375,0.552490234375,1.066046499806198,0.552490234375,-0.6001596169193935,-0.0,-1.7422434367541766,-0.6528332003192339,,-0.04868316041500399,,-0.012809656494378525,1.0,,0.5352287292480469,,-0.5588235294117646,,0.0003377199026857515,,,,0.7064439140811456,0.9522292993630573,,,,,,-6.8771868843139,0.9405684754521965,,-0.8143240596537241,,0.552490234375,,0.552490234375,,0.552490234375,,,-0.13828238632592543,-0.0,,False,0,0,0,0,0,False,,0,4.303889287121288,,,0,,False,0,-0.6226849730300442
2020-01-16,34.564979553222656,34.62540757432674,34.05565530885956,34.42685789168759,6918500,0.881850355986713,41.41,,0.2790045829750739,-0.4147286963668473,-1.0,-0.11288510672770276,-0.20807429098823718,,,-0.30214691162109375,-0.30214691162109375,0.9994392446164306,-0.30214691162109375,-0.461292897047087,-0.09507700856161076,-0.9069212410501193,-0.3407821229050279,,-0.5722266560255387,,-0.13411499482996042,1.0,,0.6560745239257812,,-0.5588235294117646,,-0.00027875104906254405,,,,0.4105011933174224,0.13853503184713375,,,,-0.059360529751341214,-0.09525912267191565,-7.070650191361416,0.9282051282051281,,0.8933686807582673,,-0.30214691162109375,,-0.30214691162109375,,-0.30214691162109375,,-0.6971372360447392,-0.8762210887419132,-0.0,-0.001834397978784357,False,0,0,0,0,0,False,,0,0.849144303478632,,,0,,False,0,0.24199932245912228
