,close,high,low,open,vol,pct_change,vwap,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha008,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha015,alpha016,alpha017,alpha018,alpha019,alpha020,alpha021,alpha022,alpha024,alpha025,alpha026,alpha027,alpha028,alpha029,alpha030,alpha032,alpha033,alpha034,alpha035,alpha036,alpha037,alpha038,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha060,alpha061,alpha062,alpha064,alpha065,alpha068,alpha074,alpha075,alpha078,alpha081,alpha083,alpha084,alpha085,alpha086,alpha094,alpha095,alpha099,alpha101
2015-01-05,67.62999725341797,71.30000305175781,67.05999755859375,71.2300033569336,4534700.0,-3.934665074464083,69.09,,0.0,0.0,,-0.009324253287432463,0.0,,,,,,,,,,,,,,,1.0,,,,,,0.0006206021525969539,,,,0.9864811133200795,,,,,,,0.057509214566835,3.9514563106796117,,-0.0,,,,,,,,,-0.17423130079103205,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.8488567414775473
2015-01-06,64.66999816894531,67.98999786376953,63.02000045776367,67.93000030517578,3749400.0,-4.376754701587782,64.47,,0.0,0.0,,-0.15731804006972083,0.0,,,2.9599990844726562,2.9599990844726562,,-2.9599990844726562,,,,,,,,-0.03308832537323912,1.0,,,,,,0.00033432412430233887,,,,0.9817097415506958,0.7601431980906921,,,,,,0.9878467144933438,1.8602620087336244,,-0.0,,2.9599990844726562,,2.9599990844726562,,2.9599990844726562,,,-0.4245423496196916,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.6558044331891623
2015-01-07,66.6500015258789,66.76000213623047,63.5099983215332,65.01000213623047,2122600.0,3.0617031281816143,65.11,,0.0,0.0,,-0.18188396460204972,0.0,,,-1.9800033569335938,-1.9800033569335938,,1.9800033569335938,,,-1.5876739562624254,,,,,-0.07224480849043365,1.0,,,,-0.0,,-0.0006065878806091969,,,,0.09582504970178926,0.1662688941925219,,,,,,0.004726626298221959,0.12524850894632206,,-0.0,,-1.9800033569335938,,-1.9800033569335938,,-1.9800033569335938,,,-0.8529946428333236,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.5044593864314351
2015-01-08,67.69000244140625,69.69000244140625,67.12999725341797,67.94999694824219,2510300.0,1.56039143543536,68.62,,0.0,0.0,,-0.01742483468967507,0.0,,,-1.0400009155273438,-1.0400009155273438,0.021793996061245855,-1.0400009155273438,,-0.0,-1.7027833001988073,,,,,-0.8093483550631737,1.0,,-0.06000518798828125,,-0.0,,0.0002882781034041968,,,,0.5944333996023857,0.2167859984089101,,,,,,-0.22197610689111968,3.8481848184818483,,-0.0,,-1.0400009155273438,,-1.0400009155273438,,-1.0400009155273438,,,-0.22298505881604327,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.10152049205342227
2015-01-09,67.11000061035156,68.44999694824219,66.61000061035156,68.44999694824219,933900.0,-0.8568500666797152,67.21,,0.0,0.0,,-0.09790355283804134,0.0,,,0.5800018310546875,0.5800018310546875,0.010193965899614995,-0.5800018310546875,-0.2632417363600159,-0.0,-1.7216699801192843,-0.9215452011150936,,-0.1863799283154122,,-0.19039283289364045,1.0,,-2.44000244140625,,-0.0,,0.00016816209970596033,,,,0.8540755467196819,0.7756563245823389,,,,,,0.31373166895454574,2.737410071942446,,-0.23648141437352907,,0.5800018310546875,,0.5800018310546875,,0.5800018310546875,,,-0.299974264659729,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.7278647492726492
2015-01-12,65.5199966430664,67.98999786376953,64.80000305175781,67.38999938964844,1259200.0,-2.3692504139836035,65.77,,0.0,0.0,,-0.06445438699809099,0.0,,,1.5900039672851562,1.5900039672851562,0.2041444203517505,1.5900039672851562,-0.2716049382716049,-0.0,-1.765407554671968,-0.4862604540023895,,-0.08482676224611709,,-0.11407508957333007,1.0,,1.1300048828125,,-0.0,,0.0003503407624364583,,,,0.9208747514910537,0.9287987271280828,,,,,,0.6058394979775272,3.6875000000000004,,0.027300048059544495,,1.5900039672851562,,1.5900039672851562,,1.5900039672851562,,,-0.2598044489220551,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.5860250037207405
2015-01-13,65.0199966430664,67.58999633789062,63.61000061035156,65.73999786376953,1228400.0,-0.7631258022247067,65.54,,0.0,0.0,,-0.031013600306708453,0.0,,,0.5,0.5,0.08679991433083001,-0.5,-0.8912783751493429,-0.0,-1.4023856858846917,-0.72242134607726,,-0.17244125846276384,,-0.06070054153527346,1.0,,2.6700057983398438,,-0.0,1.0,0.00023222559752673053,,,,0.73558648111332,0.7625298329355609,,,,,,0.029807902012962018,4.436192468619247,,-0.08513201911530682,,0.5,,0.5,,0.5,,,-0.3743251431142234,-0.0,,False,0,0,0,0,0,False,,0,1.9608101364592827,,,0,,False,0,-0.18085958136614458
2015-01-14,64.58999633789062,65.44999694824219,63.11000061035156,64.6500015258789,980700.0,-0.6613354773552405,64.4,,0.1336250180886117,0.0,,-0.11906619922611447,0.0,,,0.43000030517578125,-0.43000030517578125,0.7487868814647908,-0.43000030517578125,-0.9287136598964556,-0.0,-1.8946322067594434,-0.9605734767025089,,-0.3030665073675826,,-0.021142671235738385,1.0,,2.5200042724609375,,-0.0,1.0,-0.0001241192086331077,,,,0.5260437375745527,0.9323786793953859,,,,,,-0.13065001611521154,1.9274725274725275,,-0.6868067648781835,,0.43000030517578125,,0.43000030517578125,,0.43000030517578125,,,-0.6354211725945064,-0.0,,False,0,0,0,0,0,False,,0,-1.1556581857572727,,,0,,False,0,-0.02563232885804061
2015-01-15,64.38999938964844,64.94000244140625,63.599998474121094,64.2300033569336,1246800.0,-0.3096407486941843,64.35,,-0.4593714818833535,0.0,-4.0,-0.09285962159448874,0.0,,,-0.1999969482421875,-0.1999969482421875,0.6859384148288771,0.1999969482421875,-0.22819593787335724,-0.0,-1.6755467196819087,-0.2986857825567503,,-0.35603345280764637,,-0.061745974129792366,1.0,,1.1299972534179688,,-0.0,1.0,-4.804609600772383e-05,,,,0.44612326043737577,0.8038981702466189,,,,,,-0.08349195589620706,2.6711111111111108,,0.11164404934675964,,0.1999969482421875,,0.1999969482421875,-0.8864994026284349,0.1999969482421875,,,-0.5822629134505543,-0.0,,False,0,0,0,0,0,False,,0,-0.8664167577970558,,,0,,False,0,0.11931063338966363
2015-01-16,65.80999755859375,66.41999816894531,63.810001373291016,64.0199966430664,1392900.0,2.2053085609651246,65.25,,-0.7215651645946198,-0.4521317240250272,-6.0,-0.14961080435873825,-0.6913720747535101,,,-1.4199981689453125,-1.4199981689453125,0.3038966482570886,-1.4199981689453125,-0.7200318598168061,-0.5749507421019437,-2.0998011928429423,-0.7192353643966547,,-0.8275587415372362,,-0.0376992497344547,1.0,,-0.7900009155273438,,-0.29646353064078623,1.0,-0.00027826856370916493,,,,0.08031809145129225,0.1758154335719968,,,,-0.07434800613715947,-0.31026278036436294,-0.14807856618679693,0.774793388429752,,-0.34870387097528405,,-1.4199981689453125,,-1.4199981689453125,-0.8864994026284349,-1.4199981689453125,,-6.133609224042097,-0.6675872826533676,-0.0,-0.0009232068624216972,False,0,0,0,0,0,False,,0,-5.67809779634283,,,0,,False,0,0.6855622797035194
