,close,high,low,open,vol,pct_change,vwap,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha008,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha015,alpha016,alpha017,alpha018,alpha019,alpha020,alpha021,alpha022,alpha024,alpha025,alpha026,alpha027,alpha028,alpha029,alpha030,alpha032,alpha033,alpha034,alpha035,alpha036,alpha037,alpha038,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha060,alpha061,alpha062,alpha064,alpha065,alpha068,alpha074,alpha075,alpha078,alpha081,alpha083,alpha084,alpha085,alpha086,alpha094,alpha095,alpha099,alpha101
2020-01-03,17.134920120239258,17.389398475140922,17.050093462627395,17.245193642580933,7957300,-2.1791507858272885,20.27,,0.0,0.0,,-0.08669098236826833,0.0,,,,,,,,,,,,,,,1.0,,,,,,0.00011467347830409164,,,,0.649164677804296,,,,,,,-3.0510897772239076,0.9408866995073892,,-0.0,,,,,,,,,-0.25814994409931735,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.3240431915098271
2020-01-06,17.703258514404297,17.737188210313857,17.06706094124258,17.1349219509958,9540600,3.316842974328993,20.27,,0.0,0.0,,-0.14230444752029844,0.0,,,-0.5683383941650391,-0.5683383941650391,,-0.5683383941650391,,,,,,,,-0.044388743435542014,1.0,,,,,,-0.00040709378956197957,,,,0.03659506762132061,0.10031847133757962,,,,,,-2.871101410959483,0.8774509803921569,,-0.0,,-0.5683383941650391,,-0.5683383941650391,,-0.5683383941650391,,,-0.8064534681727094,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.8468387288076915
2020-01-07,17.957738876342773,18.008634234785397,17.457263267509877,17.73719016584571,8041200,1.4374775227476766,20.27,,0.0,0.0,,-0.18434428299375524,0.0,,,-0.25448036193847656,-0.25448036193847656,,0.25448036193847656,,,-1.277645186953063,,,,,-0.6159722148648554,1.0,,,,-0.0,,-0.0003038869160324987,,,,0.21797931583134447,0.1337579617834395,,,,,,-2.5391943520622853,0.8321108394458028,,-0.0,,-0.25448036193847656,,-0.25448036193847656,,-0.25448036193847656,,,-0.8533061437074776,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.3992764347932394
2020-01-08,18.000150680541992,18.195252512928334,17.576018935419505,18.000150680541992,6933300,0.2361756370958811,20.27,,0.0,0.0,,-0.1954053323662747,0.0,,,-0.04241180419921875,-0.04241180419921875,0.6213728816790255,0.04241180419921875,,-0.0,-0.8373110580747812,,,,,-0.614622462187585,1.0,,-0.8652305603027344,,-0.0,,-0.00015480927776556484,,,,0.4789180588703262,0.285828025477707,,,,,,-2.3870443521780302,0.8201790073230268,,-0.0,,-0.04241180419921875,,-0.04241180419921875,,-0.04241180419921875,,,-0.6849301467610414,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.0
2020-01-09,17.754154205322266,18.042563906749063,17.482710161140368,17.77960107325549,6310700,-1.366635644254055,20.27,,0.0,0.0,,-0.15192250366919002,0.0,,,0.24599647521972656,0.24599647521972656,0.3332202291313216,-0.24599647521972656,-0.4301675977653631,-0.0,-0.7438345266507558,-0.33679169992019153,,-0.06783719074221868,,-0.001498734812403082,1.0,,-0.05089569091796875,,-0.0,,1.146767735935976e-05,,,,0.5258552108194113,0.9132165605095541,,,,,,-2.5095688299651258,0.8677551020408163,,0.5460602268131663,,0.24599647521972656,,0.24599647521972656,,0.24599647521972656,,,-0.4883327513201697,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.04537166441779789
2020-01-10,17.68629264831543,17.940771027396888,17.592983154282994,17.805049009495566,4624300,-0.3822291742092254,20.27,,0.0,0.0,,-0.1403500777507533,0.0,,,0.06786155700683594,0.06786155700683594,0.3089854298912802,-0.06786155700683594,-0.5315243415802074,-0.0,-1.2028639618138426,-0.3671189146049481,,-0.04389465283320032,,-0.1635998746646548,1.0,,0.27144622802734375,,-0.0,,0.0001089396506973514,,,,0.6563245823389021,0.8073248407643312,,,,,,-2.503973926062084,0.8814390842191333,,0.40367357811526755,,0.06786155700683594,,0.06786155700683594,,0.06786155700683594,,,-0.2774234912082277,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.3404830567069537
2020-01-13,17.626914978027344,17.762636999857836,17.33002244854784,17.745671342645494,4314800,-0.3357270597563078,20.27,,0.0,0.0,,-0.12922384052646468,0.0,,,0.05937767028808594,0.05937767028808594,0.40793762748050855,-0.05937767028808594,-0.6304868316041501,-0.0,-2.011933174224344,-0.5171588188347965,,-0.024740622505985636,,-0.1503210166275915,1.0,,0.37323570251464844,,-0.0,,-0.00010894074746907582,,,,0.6579156722354813,0.927547770700637,,,,,,-2.7250036206061665,0.8936170212765958,,-0.6767002564672081,,0.05937767028808594,,0.05937767028808594,,0.05937767028808594,,,-0.7097064753226942,-0.0,,False,0,0,0,0,0,False,,0,5.097986142551737,,,0,,False,0,-0.27387541368105506
2020-01-14,17.983184814453125,18.101941173290605,17.542087456008137,17.55057028420139,5985600,2.0211695402734264,20.27,,-0.9696756281753104,0.0,,-0.18777392346693048,0.0,,,-0.35626983642578125,-0.35626983642578125,0.7948836234011323,-0.35626983642578125,-0.5921787709497207,-0.0,-2.5640413683373113,-0.5227454110135674,,-0.2657621707901037,,-0.033474947458172616,1.0,,-0.22903060913085938,,-0.0,,-0.00021788148433238568,,,,0.06762132060461416,0.0660828025477707,,,,,,-2.4501841988931226,0.8273615635179153,,-0.911231832680344,,-0.35626983642578125,,-0.35626983642578125,,-0.35626983642578125,,,-0.6975623264116079,-0.0,,False,0,0,0,0,0,False,,0,4.649404118598961,,,0,,False,0,0.7713500275043219
2020-01-15,18.704206466674805,19.00109896667189,17.83049624014511,17.85594310550254,8858800,4.009421354788012,20.27,,-0.9745880993961459,0.0,-9.0,-0.42251474479588924,0.0,,,-0.7210216522216797,-0.7210216522216797,1.2203943397065646,-0.7210216522216797,-0.7374301675977654,-0.0,-2.684168655529038,-0.727853152434158,,-0.9177972865123704,,-0.014135607641477425,-1.0,,-1.017913818359375,,-0.7484551991837488,,-0.0003898911481914731,,,,0.011933174224343675,0.1910828025477707,,,,,,-1.8635059372006353,0.5796281325788197,,-0.9655877387320968,,-0.7210216522216797,,-0.7210216522216797,,-0.7210216522216797,,,-0.5918006202294896,-0.0,,False,0,0,0,0,0,False,,0,6.706837077907889,,,0,,False,0,0.724019620274309
2020-01-16,18.63634490966797,18.95020305588233,18.458210385714295,18.87385922620678,6116000,-0.3628144135798816,20.27,,-0.8122358531602727,0.32877803944202344,-9.0,-0.42087302355813017,0.3782877405353851,,,0.06786155700683594,0.06786155700683594,0.9576717055224079,-0.06786155700683594,-0.7438148443735035,0.1954788324297684,-2.5361972951471756,-0.7334397446129289,,-0.4684756584197925,,-0.4812226781044075,-1.0,,-1.009429931640625,,-0.9525793444156805,,9.174031324942703e-05,,,,0.7859984089101034,0.26831210191082805,,,,-0.1962089223425739,-0.06223493524036526,-1.567411011908483,0.587378640776699,,-0.8213967113249838,,0.06786155700683594,,0.06786155700683594,,0.06786155700683594,,-1.2380644869860329,-0.3857352469420873,-0.0,-2.0504061990093796e-05,False,0,0,0,0,0,False,,0,10.665663082029186,,,0,,False,0,-0.4817806245635548
2020-01-17,18.373384475708008,18.80599898881774,18.288557815070693,18.67875980682875,6404400,-1.4110086244623288,20.27,,-0.849640753370825,0.25551162954235174,-8.0,-0.36333050430714486,0.3096563566003843,,,0.26296043395996094,0.26296043395996094,0.6685983339369794,0.26296043395996094,-0.699122106943336,0.029138317447245096,-2.419252187748608,-0.684756584197925,,-0.30007980845969673,,-0.1047066710323128,1.0,,-0.3901996612548828,,-0.9525793444156805,,0.0002350818965683315,4.041566746602718,,,0.8424821002386634,0.9625796178343949,,,,-0.1232383906533668,-0.14687058835081188,-1.7245261646634056,0.6477272727272727,,-0.759502954372202,,0.26296043395996094,,0.26296043395996094,,0.26296043395996094,,5.04665082302294,-0.17801875496110053,-0.0,0.0004576031482001015,False,0,0,0,0,0,False,,0,19.35661797576428,,,0,,False,0,-0.5890260006041457
2020-01-21,18.36490249633789,18.492141684205524,18.23766330847026,18.38186815283599,5655300,-0.0461644907138958,20.27,,-0.8633246701533162,0.03846262477661114,-7.0,-0.35579466206427773,0.0362000134278437,,,0.008481979370117188,0.008481979370117188,0.2449760765550239,-0.008481979370117188,-0.5977653631284916,0.002396013647935428,-2.213206046141607,-0.5913806863527534,,-0.7126895450917797,,-0.0168029445920727,1.0,,0.33930397033691406,,-0.9525793444156805,,0.0,4.041566746602718,,,0.5123309466984884,0.6918789808917197,,,,-0.33699360504253106,-0.41291702638057387,-1.9055382902446993,0.653939886271324,,-0.5806264989031142,,0.008481979370117188,,0.008481979370117188,,0.008481979370117188,,0.8983060162286487,-0.5023137927786898,-0.0,-0.0005994731295012234,False,0,0,0,0,0,False,,0,15.493290690223652,,,0,,False,0,-0.06640740708200503
2020-01-22,18.483659744262695,18.56848478753668,18.271593900209755,18.271593900209755,5058800,0.646653299403499,20.27,,-0.6862509701247635,-0.09483691794140141,-7.0,-0.38705888235111696,-0.03665916462518267,,,-0.11875724792480469,-0.11875724792480469,0.45363680842816934,0.11875724792480469,-0.5738228252194733,-0.024380975516269814,-2.3094669848846463,-0.5937749401436552,,-0.9169992019154031,,-0.005650228895217516,1.0,,0.15268516540527344,,-0.9224100694021357,,-8.600647939640798e-05,3.041566746602718,,,0.23707239459029436,0.5923566878980892,,,,-0.4687595618383208,-0.5164621859101347,-1.8505588200919405,0.6191247974068071,,-0.7550654111392319,,-0.11875724792480469,,-0.11875724792480469,,-0.11875724792480469,,-0.06000900268554421,-0.6742426212516116,-0.0,-0.0011297238931410006,False,0,0,0,0,0,False,,0,9.166161265956363,,,0,,False,0,0.7118910079992005
2020-01-23,18.780548095703125,18.89930605253232,18.144350649448317,18.356416464866587,4799200,1.606220605378672,20.27,,-0.44808901715135163,-0.07682403953527621,-5.0,-0.4261386830408424,-0.005149040112743792,,,-0.2968883514404297,-0.2968883514404297,0.3813835566823615,0.2968883514404297,-0.46288906624102155,-0.004483853112532871,-1.658711217183771,-0.45411013567438147,,-0.9385474860335196,,-0.007323119140503367,1.0,,-0.4071636199951172,,-0.9224100694021357,,-0.00034975533408881124,1.0415667466027179,,,0.08035003977724742,0.23328025477707007,,,,-0.5649529302572263,-0.4504159302389825,-1.7520185752229622,0.5775444264943458,,-0.22431758611564212,,-0.2968883514404297,,-0.2968883514404297,,-0.2968883514404297,,-0.8758330941214442,-0.7517420118888912,-0.0,-0.0008004914729430939,False,0,0,0,0,0,False,,0,0.21023075759130358,,,0,,False,0,0.5610537726250061
2020-01-24,18.534557342529297,18.9586890820932,18.246147630191107,18.9586890820932,5702600,-1.3098166886306606,20.27,,0.4345063673076336,-0.08088864165056273,-6.0,-0.40220777963215065,-0.031607146134318746,,-0.3016894609814964,0.24599075317382812,0.24599075317382812,0.6071370022303131,0.24599075317382812,-0.44692737430167595,-0.0099307939209901,-1.4431185361972951,-0.4381484437350359,,-0.12450119712689545,,-0.9034418332916438,1.0,,-0.16965484619140625,,-0.9224100694021357,,9.173923510985435e-05,1.04396482813749,,,0.9164677804295943,0.46656050955414013,,,,-0.07703016951226975,-0.48722530829992855,-1.6709935785062733,0.6072874493927125,,-0.04836883404563446,,0.24599075317382812,,0.24599075317382812,,0.24599075317382812,,-1.256663083586439,-0.45324203097989413,-0.0,-0.00013686357747918956,False,0,0,0,0,0,False,,0,1.1124345388576289,,,0,,False,0,-0.594403784718172
2020-01-27,17.94925308227539,18.220697106380772,17.71173875221618,17.847462382202878,7017300,-3.157907952357031,20.27,,0.05671864235756636,0.08515156723914881,-2.0,-0.18260319774893058,0.14761018971726442,,-0.09895414320193081,0.5853042602539062,0.5853042602539062,0.9768199927562478,0.5853042602539062,-0.36951316839584997,0.010829455704934871,-0.8011137629276055,-0.363926576217079,,-0.6528332003192339,,-3.3915666402146e-07,1.0,,0.5344066619873047,,-0.5601120336112033,,2.293425940456005e-05,4.056754596322942,,,0.3492442322991249,0.8957006369426752,,,,-0.20674224343675415,-0.3173688069036165,-2.3055844227685043,0.835236541598695,,0.7373710630659073,,0.5853042602539062,,0.5853042602539062,,0.5853042602539062,,0.6857113273861791,-0.4535843279654787,-0.0,-0.00037967945238447857,False,0,0,0,0,0,False,,0,28.42609216230284,,,0,,False,0,0.19960590750447796
