,close,high,low,open,vol,pct_change,vwap,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha008,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha015,alpha016,alpha017,alpha018,alpha019,alpha020,alpha021,alpha022,alpha024,alpha025,alpha026,alpha027,alpha028,alpha029,alpha030,alpha032,alpha033,alpha034,alpha035,alpha036,alpha037,alpha038,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha060,alpha061,alpha062,alpha064,alpha065,alpha068,alpha074,alpha075,alpha078,alpha081,alpha083,alpha084,alpha085,alpha086,alpha094,alpha095,alpha099,alpha101
2020-01-03,32.029998779296875,32.22999954223633,31.770000457763672,31.84000015258789,3599600,-0.5897033960512776,32.0,,0.0,0.0,,-0.5193035152707289,0.0,,,,,,,,,,,,,,,1.0,,,,,,-3.5796294988744946e-05,,,,0.4120922832140016,,,,,,,-0.0008265698851062098,0.46638115631691646,,-0.0,,,,,,,,,-0.54864859599966,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.41214534498767313
2020-01-06,31.959999084472656,32.08000183105469,31.56999969482422,31.829999923706055,2416900,-0.2185441695035761,32.0,,0.0,0.0,,-0.34817369587905184,0.0,,,0.06999969482421875,0.06999969482421875,,-0.06999969482421875,,,,,,,,-0.012147966889846826,1.0,,,,,,-0.00016108787936885743,,,,0.4407319013524264,0.41162420382165604,,,,,,-0.1760208645060075,0.6686695278969956,,-0.0,,0.06999969482421875,,0.06999969482421875,,0.06999969482421875,,,-0.7492751495469755,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.2544004252615692
2020-01-07,32.06999969482422,32.540000915527344,31.760000228881836,31.829999923706055,3102000,0.3441821448768589,32.0,,0.0,0.0,,-0.5949481630000083,0.0,,,-0.1100006103515625,-0.1100006103515625,,-0.1100006103515625,,,-1.4216388225934766,,,,,-0.061526400326184734,1.0,,,,-0.0,,9.54617178827838e-05,,,,0.38822593476531425,0.2627388535031847,,,,,,0.14763500671493546,0.3759623609923011,,-0.0,,-0.1100006103515625,,-0.1100006103515625,,-0.1100006103515625,,,-0.38278452281170916,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.30729777223243177
2020-01-08,32.11000061035156,32.38999938964844,31.959999084472656,32.0099983215332,3674100,0.1247300153039976,32.0,,0.0,0.0,,-0.653832887461085,0.0,,,-0.04000091552734375,-0.04000091552734375,0.4370498865780896,-0.04000091552734375,,-0.0,-1.5739856801909307,,,,,-0.0465340424494214,1.0,,-0.0800018310546875,,-0.0,,7.756015644878245e-05,,,,0.4518695306284805,0.32245222929936307,,,,,,0.1742808907865694,0.30940170940170936,,-0.0,,-0.04000091552734375,,-0.04000091552734375,,-0.04000091552734375,,,-0.34344215523715094,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.23202370768061048
2020-01-09,32.25,32.56999969482422,32.02000045776367,32.20000076293945,6465100,0.4359993366157333,32.0,,0.0,0.0,,-0.7294280114097728,0.0,,,-0.1399993896484375,-0.1399993896484375,0.3655171975574576,-0.1399993896484375,-0.6871508379888268,-0.0,-1.752585521081941,-0.6241021548284118,,-0.08858739026336791,,-0.21768572947957232,1.0,,-0.29000091552734375,,-0.0,,5.369671844287001e-05,,,,0.47573587907716786,0.48328025477707004,,,,,,0.29382921143967167,0.2223168654173765,,-0.6278055827671372,,-0.1399993896484375,,-0.1399993896484375,,-0.1399993896484375,,,-0.414949933828307,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.09074284263492126
2020-01-10,31.850000381469727,32.290000915527344,31.739999771118164,32.290000915527344,4092000,-1.240308894667519,32.0,,0.0,0.0,,-0.2404912759034688,0.0,,,0.39999961853027344,0.39999961853027344,0.5449779828056197,-0.39999961853027344,-0.6815642458100558,-0.0,-2.088305489260143,-0.6105347166799681,,-0.029529130087789304,,-0.16722774845817767,1.0,,0.2199993133544922,,-0.0,,0.00019688758829723127,,,,0.7032617342879872,0.3176751592356688,,,,,,0.01381922964274196,0.8003442340791739,,-0.5984743826901292,,0.39999961853027344,,0.39999961853027344,,0.39999961853027344,,,-0.21420252159199035,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.7985474050683057
2020-01-13,31.790000915527344,31.940000534057617,31.459999084472656,31.75,3618500,-0.1883813664796396,32.0,,0.0,0.0,,-0.20933559655428408,0.0,,,0.05999946594238281,0.05999946594238281,0.4948283421338569,-0.05999946594238281,-0.6783719074221868,-0.0,-2.334128878281623,-0.596169193934557,,-0.11013567438148444,,-0.010460112618504568,1.0,,0.31999969482421875,,-0.0,,-0.00010739457486561631,,,,0.4813046937151949,0.35668789808917195,,,,,,-0.3009087265974024,0.8346253229974161,,-0.3774870720748823,,0.05999946594238281,,0.05999946594238281,,0.05999946594238281,,,-0.6831872405538332,-0.0,,False,0,0,0,0,0,False,,0,0.026506667899739902,,,0,,False,0,0.08316173591963001
2020-01-14,31.899999618530273,31.989999771118164,31.649999618530273,31.780000686645508,3799500,0.3460166713905366,32.0,,0.14525561456526515,0.0,,-0.26763347212649735,0.0,,,-0.10999870300292969,-0.10999870300292969,0.43054957204674127,-0.10999870300292969,-0.7015163607342378,-0.0,-2.665871121718377,-0.6568236233040702,,-0.13647246608140462,,-0.1723528808241597,1.0,,0.35000038146972656,,-0.0,,-9.54605799029075e-05,,,,0.4439140811455847,0.4864649681528662,,,,,,-0.1804544257358458,0.764402407566638,,-0.7368206404990801,,-0.10999870300292969,,-0.10999870300292969,,-0.10999870300292969,,,-0.721567590864338,-0.0,,False,0,0,0,0,0,False,,0,0.020923205765639667,,,0,,False,0,0.3519028685884141
2020-01-15,32.2400016784668,32.2400016784668,31.670000076293945,31.729999542236328,3134500,1.0658371912299902,32.0,,0.20701942526812261,0.0,-4.0,-0.7190549153855355,0.0,,,-0.34000205993652344,-0.34000205993652344,0.4101870031834385,0.34000205993652344,-0.6735833998403831,-0.0,-1.9920445505171043,-0.6687948922585794,,-0.3902633679169992,,-0.021839936601202543,1.0,,-0.3900012969970703,,-0.5212860351426869,,-0.0003400795961314688,,,,0.26968973747016706,0.3304140127388535,,,,,,-0.04627008287200951,0.22506393861892585,,-0.7783041422283261,,-0.34000205993652344,,-0.34000205993652344,,-0.34000205993652344,,,-0.9233684906671439,-0.0,,False,0,0,0,0,0,False,,0,-0.0037022076166691904,,,0,,False,0,0.8931711124622776
2020-01-16,32.77000045776367,32.869998931884766,32.25,32.31999969482422,4272700,1.6439167236484975,32.0,,0.14288867647447728,-0.5833169303756437,-9.0,-0.7763357338917971,-0.624655799899979,,,-0.529998779296875,-0.529998779296875,0.4219428506071409,-0.529998779296875,-0.5698324022346368,-0.4194259836648982,-1.8162291169451072,-0.5538707102952913,,-0.6967278531524341,,-0.5103046978624475,-1.0,,-0.9799995422363281,,-0.5212860351426869,,-0.0002505854447199776,,,,0.29832935560859186,0.3821656050955414,,,,-0.6470231447483834,-0.07913155749534784,0.5585237004579753,0.1704834605597964,,-0.5986618208434162,,-0.529998779296875,,-0.529998779296875,-0.9370797310278578,-0.529998779296875,,-0.5769340809057664,-0.7826854986165426,-0.0,-0.0005418719570512715,False,0,0,0,0,0,False,,0,-0.00385470685744068,,,0,,False,0,0.7246401561008748
2020-01-17,32.43000030517578,32.88999938964844,32.36000061035156,32.790000915527344,3296400,-1.0375347813196043,32.0,,0.2167850721608191,-0.3489343643177535,-9.0,-0.7631250676403074,-0.28512562842205547,,,0.3400001525878906,0.3400001525878906,0.1582797994624373,-0.3400001525878906,-0.5674381484437351,-0.10390941960835673,-1.473349244232299,-0.515562649640862,,-0.18355945730247406,,-0.32821144255474244,-1.0,,-0.5300006866455078,,-0.5212860351426869,,0.0002326850212658525,1.2454036770583534,,,0.6610978520286396,0.27945859872611467,,,,-0.3128866169961039,-0.07135733094315148,0.6239237419947088,0.18978723404255318,,-0.20890655522900095,,0.3400001525878906,,0.3400001525878906,,0.3400001525878906,,6.263744309927567,-0.13957050744355423,-0.0,-7.324552107086137e-06,False,0,0,0,0,0,False,,0,-0.0421488453245076,,,0,,False,0,-0.6779688096990718
2020-01-21,31.969999313354492,32.38999938964844,31.850000381469727,32.31999969482422,3268200,-1.4184427613091133,32.0,,-0.19675457271634586,-0.20975331580034673,-5.0,-0.373111213639577,-0.1530385824589245,,,0.46000099182128906,0.46000099182128906,0.28202977563430487,-0.46000099182128906,-0.5841979249800479,-0.04112759353162484,-1.9347653142402543,-0.5203511572226656,,-0.1332801276935355,,-0.005667436553639854,1.0,,0.2700023651123047,,-0.5212860351426869,,0.0001789894408028588,5.245403677058353,,,0.6579156722354813,0.9601910828025477,,,,-0.25606093058360363,-0.038014523986087706,0.11886506270274566,0.6432246998284733,,-0.26440634899794735,,0.46000099182128906,,0.46000099182128906,,0.46000099182128906,,1.9838962074691553,-0.23465403337637122,-0.0,-0.00023378982357269863,False,0,0,0,0,0,False,,0,0.004032689313905321,,,0,,False,0,-0.6469519836053178
2020-01-22,32.029998779296875,32.459999084472656,31.93000030517578,32.16999816894531,2400300,0.1876742797342512,32.0,,-0.34685488550596005,-0.12764045570340793,-6.0,-0.5215613566414712,-0.057618567762998,,,-0.05999946594238281,-0.05999946594238281,0.1976346607191648,0.05999946594238281,-0.6400638467677574,-0.02081436299572416,-1.7891805887032617,-0.5411013567438149,,-0.21867517956903432,,-0.2744535517923234,1.0,,0.7400016784667969,,-0.722222222222223,,0.00019688872627710756,4.245403677058353,,,0.568019093078759,0.3718152866242038,,,,-0.21274707790220915,-0.03684233280147214,0.19390906170323063,0.46638115631691646,,-0.605182371986014,,-0.05999946594238281,,-0.05999946594238281,,-0.05999946594238281,,2.433429125392035,-0.19283642618963967,-0.0,-0.00037392082852823216,False,0,0,0,0,0,False,,0,-0.00033238644554452055,,,0,,False,0,-0.26365294065989847
2020-01-23,30.450000762939453,32.029998779296875,30.399999618530273,31.93000030517578,7597700,-4.932869424205788,32.0,,0.4776425683721335,0.020294346363535457,-1.0,-0.11655334739618836,0.12042455002974353,,,1.5799980163574219,1.5799980163574219,1.2229922415600756,1.5799980163574219,-0.12290502793296089,0.021223146376852728,-1.2084327764518694,-0.21867517956903432,,-0.01596169193934557,,-0.010513856584665261,1.0,,1.9799995422363281,,-0.722222222222223,,0.0009128407995891612,2.2454036770583534,,,0.9578361177406524,0.5947452229299363,,,,-0.017727648246741324,0.039933558582907376,-0.7956421204962112,0.9514731369150781,,0.598639915259445,,1.5799980163574219,,1.5799980163574219,,1.5799980163574219,,30.207931287950228,-0.038891136794473244,-0.0,0.00015891951501719663,False,0,0,0,0,0,False,,0,0.20281737001393843,,,0,,False,0,-0.9074189477453192
2020-01-24,30.31999969482422,30.420000076293945,29.899999618530273,30.420000076293945,6040900,-0.4269328895172286,32.0,,0.26405397562103733,0.39685631682639777,-1.0,-0.1080320926756069,0.45188750549781476,,-0.07884151246983105,0.13000106811523438,0.13000106811523438,1.1176976305305095,-0.13000106811523438,-0.07661612130885874,0.2749522860405364,-0.9355608591885441,-0.06783719074221868,,-0.6999201915403033,,-0.0031034348850213687,1.0,,1.6499996185302734,,-0.722222222222223,,-0.000190921159805815,1.2454036770583534,,,0.5481304693715194,0.23487261146496816,,,,-0.04316277563592599,0.31415145031816794,-1.8411208650440756,0.9592367736339983,,0.6018759404564624,,0.13000106811523438,,0.13000106811523438,,0.13000106811523438,,-3.761886557457386,-0.8210993993310837,-0.0,-0.0013192361156510938,False,0,0,0,0,0,False,,0,0.39609351103583124,,,0,,False,0,-0.19193914319953856
2020-01-27,30.200000762939453,30.399999618530273,29.88999938964844,30.0,3653300,-0.3957748452921295,32.0,,0.6258032049642746,0.18457043396600534,-1.0,-0.10224303170344717,0.25437774388262036,,-0.11182622687047465,0.11999893188476562,0.11999893188476562,1.1121828475571398,-0.11999893188476562,-0.12928970470869913,0.11217774510932141,-1.1408114558472553,-0.1707901037509976,,-0.8619313647246608,,-0.008226992342714644,1.0,,1.8299980163574219,,0.15971914124998443,,-6.563071340557881e-05,1.3069544364508392,,,0.4041368337311058,0.9267515923566879,,,,-0.05689293800868979,0.24068402503518,-1.8560790532621212,0.9661164205039097,,0.2503821752617515,,0.11999893188476562,,0.11999893188476562,,0.11999893188476562,,0.19061296418016976,-0.5879829741831204,-0.0,-0.0010166584500072066,False,0,0,0,0,0,False,,0,6.090501588306281,,,0,,False,0,0.3913907502098259
2020-01-28,30.520000457763672,30.760000228881836,30.239999771118164,30.350000381469727,3693000,1.059601611722183,30.55,,0.6807527982414002,0.12712382660509794,-3.0,-0.37836690507699444,0.18407009676974762,,-0.21238938053097345,-0.31999969482421875,-0.31999969482421875,0.3676000940416961,-0.31999969482421875,-0.21468475658419792,0.16572180163719702,-1.4232299124900556,-0.44373503591380686,,-0.8659217877094972,,-0.4485371743078555,1.0,,-0.06999969482421875,,0.7385489458759972,,-2.3865713965665024e-05,5.425259792166267,,,0.4192521877486078,0.42197452229299365,,,,-0.14189098739367234,0.20733502001743007,-0.05110821880602501,0.6307759372275502,,0.015322475756727068,,-0.31999969482421875,,-0.31999969482421875,,-0.31999969482421875,,0.4971393273872813,-0.5236320200748557,0.810744916860586,-0.0010462403901267024,False,0,0,0,0,0,False,,0,0.0027034884277878646,,,0,,False,0,0.3262954451588181
2020-01-29,29.700000762939453,30.559999465942383,29.59000015258789,30.420000076293945,5557600,-2.6867617382870246,30.55,,0.7707124151237023,0.20306665237476484,-1.0,-0.14285822781445384,0.25847795796949347,,-0.10217216411906678,0.8199996948242188,0.8199996948242188,0.774869262979978,0.8199996948242188,-0.509976057462091,0.07399807568664127,-1.5449482895783613,-0.8180367118914605,,-0.37190742218675177,,-0.04661671314802018,1.0,,0.6199989318847656,,0.6123724356957951,1.0,0.0004474707570574562,5.700239808153477,,,0.8202068416865553,0.7300955414012739,,,,-0.0676484124798564,0.27358135471453465,-0.4789110795714464,0.9370567375886525,,-0.6672258203140568,,0.8199996948242188,,0.8199996948242188,,0.8199996948242188,,7.818126647246498,-0.12783136303633533,0.7945882459674007,-0.0006056911669602018,False,0,0,0,0,0,False,,0,0.10153989704812252,,,0,,False,0,-0.7415034217347948
2020-01-30,29.920000076293945,29.959999084472656,29.5,29.549999237060547,3519300,0.7407384097747771,30.55,,0.7325958908971147,0.029450443480867353,-1.0,-0.14942321409019593,0.11766654218268349,,-0.32099758648431215,-0.2199993133544922,-0.2199993133544922,0.8147829733696792,0.2199993133544922,-0.43655227454110135,0.07262671742376157,-1.3770883054892602,-0.6033519553072626,,-0.8355945730247406,,-0.0019227957134409141,1.0,,0.2800006866455078,,-0.16666666666666685,1.0,-0.00022671973075431254,3.838529176658673,,,0.31742243436754175,0.09235668789808917,,,,-0.06516137833261938,0.15567684824071862,-0.8208901412783085,0.9171806167400881,,-0.2621900341262792,,-0.2199993133544922,,-0.2199993133544922,,-0.2199993133544922,,-0.09706887217756044,-0.8579694429651131,0.6430554492572931,-0.001856275303620151,False,0,0,0,0,0,False,,0,0.061645577120338975,,,0,,False,0,0.8026064512831905
2020-01-31,29.260000228881836,30.079999923706055,29.06999969482422,29.809999465942383,3863200,-2.2058818373300593,30.55,,0.3840953428309745,-0.013993349606497523,-1.0,-0.12352591596842882,0.07989812968192268,-1.0,-0.1568785197103781,0.6599998474121094,0.6599998474121094,0.8969461865456834,0.6599998474121094,-0.40702314445331206,0.01726666119920339,-1.9864757358790772,-0.6121308858739026,,-0.2745411013567438,,-0.09206469470296076,1.0,-0.6337061135138025,1.260000228881836,0.7738287560581584,-0.45643546458763895,1.0,0.00037587589112021377,5.7769784172661875,0.1730191722338356,,0.7581543357199682,0.6441082802547771,,,,-0.05920212196316015,0.12776830584901325,-0.9793120032278004,0.9617097061442564,,-0.3814264079533325,,0.6599998474121094,0.5330721714752136,0.6599998474121094,,0.6599998474121094,,-2.2556684051035183,-0.20647694451262869,0.23830621410828629,-0.0011075271169946658,False,0,0,0,0,0,False,,0,1.0723866873508885,,,0,,False,0,-0.5440149481161294
2020-02-03,29.149999618530273,29.940000534057617,29.11000061035156,29.40999984741211,3865000,-0.3759419326421764,30.55,,0.5277525433923778,-0.1782346801427388,-2.0,-0.11641411120794355,-0.08406589221816231,-1.0,-0.14802896218825423,0.1100006103515625,0.1100006103515625,0.6173125679101775,0.1100006103515625,-0.48842777334397447,-0.05986510506444892,-2.105807478122514,-0.641660015961692,,-0.4588986432561852,,-0.1066792548935623,1.0,-0.47323848680757,0.5500011444091797,0.5896607431340872,-0.45643546458763895,1.0,0.0004474730330172088,2.776978417266187,0.1742542295446577,,0.6316626889419252,0.5971337579617835,,,,-0.03519776431470942,0.00666718094023778,-1.027916167378308,0.9722966934763181,,-0.43771970093220913,,1.0,0.5398531988551653,1.0,,1.0,,16.25048082322698,-0.050379460725267264,0.4646444741349436,-0.0007119324637111154,False,0,0,0,0,0,False,,0,0.0432135414151059,,,0,,False,0,-0.31287635710277556
2020-02-04,29.739999771118164,29.799999237060547,29.350000381469727,29.440000534057617,4309700,2.0240142720716614,30.55,,0.2475533468055458,-0.3525768286893879,-3.0,-0.1393333371306839,-0.2591138610989956,,-0.26629123089300083,-0.5900001525878906,-0.5900001525878906,1.0044644388951371,-0.5900001525878906,-0.6520351157222666,-0.1638574895147556,-1.7183770883054894,-0.6831604150039904,,-0.7589784517158819,,-0.1616029040765791,-1.0,-0.6037696795656168,0.18000030517578125,0.3949919224555735,-0.45643546458763895,,-0.00019688758829723127,2.776978417266187,0.17541436919898212,,0.3444709626093874,0.18630573248407642,,,,-0.16013688727740039,-0.10714266580257964,-0.9758560736658914,0.9336283185840708,,-0.788226543591314,,1.0,-0.43340152675636,1.0,,1.0,,-4.146223640362805,-0.8238284420175229,0.3430105545531153,-0.0018841004051501525,False,0,0,0,0,0,False,,0,2.3590086683186664,,,0,,False,0,0.6651884663155964
2020-02-05,30.6299991607666,30.84000015258789,30.06999969482422,30.11000061035156,3434600,2.9926005262204347,30.55,0.8408906882591093,0.2166305589918445,-0.7668532186238733,-8.0,-0.5857179112799666,-0.827341833824611,-1.0,-0.6870474658085277,-0.8899993896484375,-0.8899993896484375,0.6581952890193612,0.8899993896484375,-0.41021548284118114,-0.727717737407134,-0.8989657915672236,-0.33280127693535516,,-0.7158818834796489,,-0.7630784426928923,1.0,0.9952571077237938,-1.3699989318847656,0.1841680129240711,-0.20412414523193176,,-0.00020881930730018747,1.4796163069544366,0.06969303435599059,,0.2577565632458234,0.3288216560509554,,,,-0.41766173530791667,-0.3919288638029072,-0.0974336848813877,0.3702090592334495,,0.6818536252496401,,1.0,-0.3285790275665673,1.0,,1.0,,-31.22423494926943,-0.6675987679432057,0.4610533082585499,-0.0003572144650794459,False,0,0,0,0,0,False,,0,-0.039404319497078816,,,0,,False,0,0.6744464872606253
2020-02-06,30.049999237060547,30.8799991607666,29.90999984741211,30.809999465942383,3190800,-1.893568199795992,30.55,0.5862348178137652,-0.5724039682493285,-0.2624442168242133,-7.0,-0.16534993535010625,-0.19781438318953568,-1.0,-0.8608205953338697,0.5799999237060547,0.5799999237060547,0.610312815722755,-0.5799999237060547,-0.3870710295291301,-0.06988179565627137,-0.3524264120922832,-0.23144453312051078,-0.003416834754445212,-0.05826017557861133,,-0.5907672555531978,1.0,0.8410238501570774,-0.8999996185302734,0.7552504038772213,-0.08574929257125356,,0.0014156002742574609,4.291766586730615,0.06888600675723143,,0.8289578361177407,0.46735668789808915,,,,-0.15827519735634293,0.028337487123533896,-0.1588702054922777,0.9024604569420035,,0.939088389983089,,0.5799999237060547,-0.10047569046003657,0.5799999237060547,,0.5799999237060547,,5.690500627139433,-0.16352751713970018,0.4913347680792335,-2.5031434898905094e-05,False,0,0,0,0,0,False,,0,0.006010461734873243,,,0,,False,0,-0.7826990384331768
2020-02-07,29.790000915527344,30.06999969482422,29.600000381469727,29.899999618530273,2607700,-0.8652190620109801,30.55,0.4064777327935223,-0.5399129403364323,-0.06332973902762998,-6.0,-0.14373921315098453,-0.022268984585440646,-1.0,-0.9316170555108608,0.2599983215332031,0.2599983215332031,0.4901262573311221,-0.2599983215332031,-0.4245810055865922,-0.0054340584395094396,-0.969769291964996,-0.266560255387071,-0.03988731521985863,-0.3160415003990423,,-0.0029701710462343538,1.0,0.5441332444168971,-0.05000114440917969,0.5735056542810986,0.5270462766947296,,0.0005049430782524556,2.2917665867306156,0.15193525919538323,,0.5552903739061257,0.8837579617834395,,,,-0.21900434489933293,0.008954606816643283,-0.7159254804578978,0.9293286219081272,,0.5302021662166514,-0.10141022186293003,0.2599983215332031,-0.29538106470971937,0.2599983215332031,,0.2599983215332031,,0.8285189028643116,-0.4117759040312387,0.5123926527252942,-0.00037038577653815863,False,0,0,0,0,0,False,,0,0.17831578063820788,,,0,,False,0,-0.23354323431919832
2020-02-10,29.829999923706055,29.86000061035156,29.40999984741211,29.65999984741211,4993900,0.1342699125526536,30.55,0.23684210526315788,-0.4311529054646333,0.028773050258462725,-4.0,-0.14526764676285356,0.07536036886591961,,-0.9292035398230089,-0.03999900817871094,-0.03999900817871094,1.0866537041626159,-0.03999900817871094,-0.43415802075019955,0.01862975625872016,-1.1368337311058074,-0.18435754189944134,-0.33196025274292434,-0.5259377494014366,,-0.01681374864967197,-1.0,0.6717851109597228,0.7999992370605469,0.4894991922455573,0.8172935519138762,,0.0003209517208437666,4.227018385291767,0.15996699543546805,,0.41686555290373906,0.714968152866242,,,,-0.2409647002427432,0.06484767329352424,-0.915853928379093,0.9249779346866726,,0.6149911348008459,-0.1269796311485352,-0.03999900817871094,-0.46448383325429915,-0.03999900817871094,,-0.03999900817871094,,-0.7857097444154795,-0.9070382050900634,-0.04374055409988476,-0.0011808487728982653,False,0,0,0,0,0,False,,0,2.541228093710672,,,0,,False,0,0.37693966454945704
