,close,high,low,open,vol,pct_change,vwap,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha008,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha015,alpha016,alpha017,alpha018,alpha019,alpha020,alpha021,alpha022,alpha024,alpha025,alpha026,alpha027,alpha028,alpha029,alpha030,alpha032,alpha033,alpha034,alpha035,alpha036,alpha037,alpha038,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha060,alpha061,alpha062,alpha064,alpha065,alpha068,alpha074,alpha075,alpha078,alpha081,alpha083,alpha084,alpha085,alpha086,alpha094,alpha095,alpha099,alpha101
2011-10-14,21.15452003479004,21.271349220139523,20.328367384793804,20.328367384793804,402600,4.536083271000968,25.17,,0.0,0.0,,-0.008127812025295377,0.0,,,,,,,,,,,,,,,1.0,,,,,,-0.00015641881700285932,,,,0.0069193742478941035,,,,,,,-4.375486259177798,9.727272727272727,,-0.0,,,,,,,,,-0.7178828799921428,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.8751785458813081
2011-10-17,20.99596786499023,21.530046032723373,20.99596786499023,21.279697289518086,583400,-0.749495472074313,25.41,,0.0,0.0,,-0.0190595037947408,0.0,,,0.15855216979980824,0.15855216979980824,,0.15855216979980824,,,,,,,,-0.3934892088559056,1.0,,,,,,0.00011777401897380674,,,,0.8760529482551144,0.49744207041829674,,,,,,-4.148669970229513,12.75886524822695,,-0.0,,0.15855216979980824,,0.15855216979980824,,0.15855216979980824,,,0.0,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.5302578980747336
2011-10-18,21.062721252441406,21.162861674380885,20.778991913903894,20.912511415371192,423500,0.3179343190102601,25.21,,0.0,0.0,,-0.015934689332296494,0.0,,,-0.06675338745117543,-0.06675338745117543,,0.06675338745117543,,,-1.855294825511432,,,,,-0.00922297379875542,1.0,,,,-0.0,,-4.0484719003906313e-05,,,,0.26504211793020455,0.3334336442973217,,,,,,-4.23995155925893,11.34375,,-0.0,,-0.06675338745117543,,-0.06675338745117543,,-0.06675338745117543,,,-0.7131467341773623,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.39028744914656555
2011-10-19,20.653823852539062,21.154522930936313,20.653823852539062,21.071072819257022,722200,-1.9413322476313333,25.22,,0.0,0.0,,-0.014225752685135708,0.0,,,0.40889739990234375,0.40889739990234375,0.7923090268430278,0.40889739990234375,,-0.0,-1.808513838748496,,,,,-0.13191737081270805,1.0,,0.5006961822509766,,-0.0,,0.00011041331835303474,,,,0.9383273164861613,0.6268432139632862,,,,,,-4.317325761997413,17.43362831858407,,-0.0,,0.40889739990234375,,0.40889739990234375,,0.40889739990234375,,,0.0,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.8316717823180407
2011-10-20,20.653823852539062,20.88748384690538,20.30333465682883,20.695548112539463,549700,0.0,24.7,,0.0,0.0,,-0.013937943208492806,0.0,,,-0.0,-0.0,0.4692331071079793,0.0,-0.275,-0.0,-1.8637184115523464,-0.4789156626506024,,-0.14006024096385541,,-0.032702206892708925,1.0,,0.3421440124511683,,-0.0,,-2.5762978917813392e-05,,,,0.5848375451263538,0.6400842612097503,,,,,,-4.106661885871286,15.056818181818182,,0.027798302224522196,,-0.0,,-0.0,,-0.0,,,-0.6060844991670677,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.07130533666968229
2011-10-21,21.31307029724121,21.488314036054117,20.820716566750782,20.862440811703024,1764500,3.1918856740956736,25.31,,0.0,0.0,,-0.016577282817882854,0.0,,,-0.6592464447021484,-0.6592464447021484,0.9365872874729817,-0.6592464447021484,-0.9626506024096385,-0.0,-1.8504813477737665,-0.9159638554216868,,-0.2674698795180723,,-0.3310052720450036,1.0,,-0.2503490447998047,,-0.0,,-6.992856183418016e-05,,,,0.04482551143200963,0.1284983448690942,,,,,,-4.158118380578635,7.918749999999999,,-0.5118163256003789,,-0.6592464447021484,,-0.6592464447021484,,-0.6592464447021484,,,-0.6627626900794957,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.6739922094047615
2011-10-24,21.505014419555664,21.571774197681464,21.27969957150159,21.27969957150159,371300,0.900593483892842,25.71,,0.0,0.0,,-0.022418186083488643,0.0,,,-0.19194412231445312,-0.19194412231445312,0.18277563771022018,0.19194412231445312,-0.8852409638554217,-0.0,-1.963598074608905,-0.8789156626506024,,-0.17921686746987953,,-0.12384451675788218,1.0,,-0.8511905670166016,,-0.0,1.0,-3.4964297255183304e-05,,,,0.17448856799037304,0.3150767378874511,,,,,,-4.284760814615598,7.638613861386139,,-0.390831425545345,,-0.19194412231445312,,-0.19194412231445312,,-0.19194412231445312,,,-0.7318545102276998,-0.0,,False,0,0,0,0,0,False,,0,2.744437302005295,,,0,,False,0,0.7687968453324491
2011-10-25,21.488317489624023,21.76370168893072,20.86244416468352,21.596801498941986,546800,-0.0776420308579606,25.7,,-0.15594623194209875,0.0,,-0.031165784050938294,0.0,,,0.016696929931640625,0.016696929931640625,0.42678657571243583,0.016696929931640625,-0.6629518072289157,-0.0,-1.66395908543923,-0.38765060240963856,,-0.09036144578313253,,-0.20317991034230093,-1.0,,-0.8344936370849609,,-0.0,1.0,-7.728927229456451e-05,,,,0.6925391095066186,0.7601564851038218,,,,,,-4.3916914959881055,7.788944723618091,,-0.09446400027440002,,0.016696929931640625,,0.016696929931640625,,0.016696929931640625,,,-0.7121519392807902,-0.0,,False,0,0,0,0,0,False,,0,6.6162567549091005,,,0,,False,0,-0.12023619244236955
2011-10-26,20.879135131835938,21.772047514350536,20.74561561248861,21.772047514350536,657300,-2.8349467476094348,25.28,,0.09136385448886208,0.0,-4.0,-0.029307693310221688,0.0,,,0.6091823577880859,0.6091823577880859,0.04062593305042021,0.6091823577880859,-0.7237951807228916,-0.0,-1.5667870036101084,-0.2036144578313253,,-0.030120481927710843,,-0.45990080044092857,1.0,,0.43393516540527344,,-0.0,1.0,0.00016746003652394877,,,,0.9945848375451264,0.7264520012037315,,,,,,-4.0273641910102285,14.495934959349595,,-0.017122398508138778,,0.6091823577880859,,0.6091823577880859,-0.7358433734939759,0.6091823577880859,,,-0.16037935419496865,-0.0,,False,0,0,0,0,0,False,,0,4.322305060749067,,,0,,False,0,-0.8690720824382139
2011-10-27,21.37983131408691,21.655215485491496,21.07106647139547,21.07106647139547,405400,2.3980695516814254,25.57,,0.15755605677476306,0.11893925930816522,-8.0,-0.018880482680023923,0.06075390345025659,,,-0.500696182250973,-0.500696182250973,0.5384995978195785,0.500696182250973,-0.2036144578313253,0.048387255232137515,-1.8495788206979542,-0.05542168674698795,,-0.3542168674698795,,-0.08837104570042827,1.0,,0.12518310546875355,,-0.0,1.0,-7.361049469936391e-06,,,,0.10529482551143202,0.08937706891363226,,,,-0.3546275725878614,-0.006375316998892332,-4.208855720088781,8.302197802197801,,0.6403812011078103,,-0.500696182250973,,-0.500696182250973,-0.7358433734939759,-0.500696182250973,,0.7504761051180373,-0.49149081923523047,-0.0,-0.0002590179619699829,False,0,0,0,0,0,False,,0,2.384074079416344,,,0,,False,0,0.5276687395063633
