,close,high,low,open,vol,pct_change,vwap
2003-12-31,11.598153114318848,11.733849611883052,11.546946944106496,11.692883894372,2929200,,45.39
2004-01-02,11.523904800415039,11.726168645833189,11.508543632246301,11.649359874959965,2471800,-0.6401735963646016,45.23
2004-01-05,11.71336841583252,11.751773293112446,11.57255216026712,11.674963538552593,4638600,1.6440921605900272,45.6
2004-01-06,11.649357795715332,11.705684673417856,11.608393060116134,11.662159092463268,2636400,-0.5464749151974702,45.51
2004-01-07,11.613520622253418,11.659606099062113,11.554633841148284,11.6493646649542,3856800,-0.30763218102113354,45.26
2004-01-08,11.707540512084961,11.746178669420505,11.656021986336752,11.661173937174988,2250800,0.8095726773101442,45.39
2004-01-09,11.746179580688477,11.774514821179945,11.679206179863918,11.69466203357769,3268600,0.33003574545509284,45.56
2004-01-12,11.720415115356445,11.784813000605656,11.653441747056114,11.689504405574272,3313400,-0.219343363133917,45.39
2004-01-13,11.61223030090332,11.7358741563243,11.578743116320343,11.720418305908922,2207800,-0.9230459278816716,45.21
2004-01-14,11.668899536132812,11.704962203692219,11.581318350931111,11.612230051096883,1691200,0.48801335971682125,45.23
2004-01-15,11.630260467529297,11.681777998474105,11.591621336686774,11.668898615737904,2525200,-0.33112864228429517,45.15
2004-01-16,11.704961776733398,11.733297009534782,11.643140343924884,11.681778493771715,2808000,0.6423012572475129,45.4
2004-01-20,11.831182479858398,11.83890991355481,11.694659243840547,11.694659243840547,3209400,1.0783521170987242,45.77
2004-01-21,11.810577392578125,11.849216535203125,11.676630592115677,11.83118519734725,3521600,-0.17415915370548873,45.78
2004-01-22,11.715267181396484,11.810575809089759,11.692083895456596,11.810575809089759,2298800,-0.8069902767119164,45.55
2004-01-23,11.77193546295166,11.820877509654675,11.72041695016044,11.75905608041233,3709600,0.483713095721483,45.69
2004-01-26,11.874971389770508,11.903306620660274,11.771935347829594,11.792542163164219,2849200,0.8752675135122789,46.0
2004-01-27,11.836333274841309,11.851788140725994,11.761631480952346,11.838908758277457,4157600,-0.3253743833225853,45.89
2004-01-28,11.78481674194336,11.926491937942643,11.748754071976348,11.810575511167208,4326600,-0.4352406416896826,46.03
2004-01-29,11.849214553833008,11.887853689996954,11.797696033159099,11.849214553833008,2675000,0.5464472914580742,45.99
2004-01-30,11.702388763427734,11.823457153632587,11.681780959718752,11.802849349923605,4264600,-1.2391183376604276,45.57
2004-02-02,11.715267181396484,11.836335561597458,11.637989889141554,11.681779994453517,2935200,0.11004947988908498,45.45
2004-02-03,11.759060859680176,11.81830682954772,11.733301101498004,11.81830682954772,1917400,0.3738171533401724,45.71
2004-02-04,11.568439483642578,11.619958003584875,11.44479562536149,11.522072913957915,7514000,-1.6210595243299264,44.77
2004-02-05,11.560711860656738,11.648293048337244,11.48343457332312,11.552983444079562,6024600,-0.06679918235097393,44.81
2004-02-06,11.591625213623047,11.643143744432665,11.552986069857273,11.573593875234817,5551400,0.26740008175025753,45.02
2004-02-09,11.57101821899414,11.69208662748453,11.488588956976864,11.69208662748453,3465800,-0.1777748525261802,44.84
2004-02-10,11.607080459594727,11.630263748112837,11.527226691891414,11.545258029335034,3666800,0.3116600451063878,45.04
2004-02-11,11.589043617248535,11.656016984135556,11.547829010864122,11.583891668621268,4117800,-0.1553951694311051,45.01
2004-02-12,11.57101821899414,11.61996126887799,11.527228103449975,11.586474074110248,2655000,-0.15553827261092223,44.94
2004-02-13,11.550410270690918,11.61738367107406,11.516923079182236,11.568441608587696,3418400,-0.17809969626868538,44.9
