,close,high,low,open,vol,pct_change,vwap
2003-12-31,19.769515991210938,19.810912146357648,19.473830858904613,19.586191682428666,3796639,,33.25
2004-01-02,19.710371017456055,19.98831398326108,19.426513641518138,19.54478764675216,3625667,-0.29917259371031735,33.43
2004-01-05,19.8109130859375,19.976496531258405,19.54479645424059,19.60393348350657,5276233,0.5100972903676171,33.34
2004-01-06,20.065187454223633,20.112497989657914,19.645315325631778,19.645315325631778,3535460,1.283506556124503,33.64
2004-01-07,19.94692039489746,20.213036924911112,19.875956933388803,20.047452359740966,6442413,-0.5894141761495386,33.8
2004-01-08,20.904935836791992,20.958157235838332,20.52054302807427,20.845798845641088,8090147,4.802823809030676,35.2
2004-01-09,20.662477493286133,20.780751505428814,20.63882221761011,20.668393086883217,6157109,-1.1598138611798148,35.02
2004-01-12,20.703874588012695,20.757095999897597,20.532376799057413,20.573771756353985,4036525,0.2003491340281549,34.93
2004-01-13,20.727529525756836,20.934509041342643,20.544202918962366,20.69795865729292,4457243,0.11425367577253542,35.08
2004-01-14,21.389863967895508,21.431261292571943,20.774838621343665,20.78666744249585,5172286,3.195433596250008,35.91
2004-01-15,21.573196411132812,21.8215733548256,21.25977157446304,21.395785322597266,5153406,0.8570996221035854,36.48
2004-01-16,22.134990692138672,22.176388018514537,21.531794141976754,21.73286044744325,4684857,2.604130933123794,36.94
2004-01-20,21.0882625579834,21.7151142658986,20.55011634740253,21.7151142658986,10371215,-4.728839278559183,35.59
2004-01-21,21.460830688476562,21.543622984163154,20.697962708469422,20.904944630804817,5624996,1.766708516022919,35.78
2004-01-22,21.24793815612793,21.496315046134665,21.100095614304113,21.466746537769904,2506793,-0.9920050879621667,35.95
2004-01-23,21.064607620239258,21.318897663134116,20.952246848582526,21.171055165227145,2606649,-0.8628156508249218,35.73
2004-01-26,21.519960403442383,22.26508844558479,21.05278002831241,21.141483156022137,3734648,2.161696013580694,36.12
2004-01-27,21.111921310424805,21.63232556082285,21.088266033989097,21.49631186223317,3671819,-1.8960959284679113,35.87
2004-01-28,21.10009002685547,21.378035351625137,20.81031824836677,21.11783207367126,4583113,-0.05604077144553132,35.65
2004-01-29,21.2597713470459,21.508145921843433,21.117842004488015,21.289339861485526,6022429,0.7567802790755529,36.01
2004-01-30,21.360300064086914,21.52588466597459,21.141491671146916,21.52588466597459,3653253,0.47285888168775436,35.99
2004-02-02,21.26568031311035,21.549536575077163,20.993650508052948,21.26568031311035,3107085,-0.4429701394300434,36.05
2004-02-03,20.98180389404297,21.212438538120132,20.91675370372271,21.17104360779884,2946601,-1.3349040091248487,35.55
2004-02-04,20.6092586517334,20.928596631364805,20.41410556085844,20.727532678630286,4349101,-1.7755634557967692,34.91
2004-02-05,20.98180389404297,21.08233815747961,20.603326832767095,20.78665332308219,3864294,1.807659599042566,35.28
2004-02-06,21.230192184448242,21.277500364080872,20.881283415810707,20.934507188354935,2800278,1.1838271468917583,35.69
2004-02-09,21.04094696044922,21.36620037257358,20.96998352611671,21.15922092849444,2789579,-0.8913966597893119,35.77
2004-02-10,21.064607620239258,21.171055165227145,20.952246848582526,21.04095234732671,3188375,0.11245054623498785,35.62
2004-02-11,21.348468780517578,21.378037283724733,20.77483839855625,20.916767687198096,4116242,1.3475739277743815,35.69
2004-02-12,21.851137161254883,21.886618898068967,21.318904010330037,21.378041027099464,4328227,2.354587515878581,36.76
2004-02-13,21.531789779663086,21.809732721395168,21.37803405942327,21.774250996145533,3301029,-1.4614680198797414,36.5
2004-02-17,21.561351776123047,21.66779691977114,21.460817490957407,21.537696511011344,1854160,0.1372946548451104,36.49
2004-02-18,21.26295280456543,21.6671696375577,21.173787536567275,21.54828261356016,2784335,-1.383952985211545,35.98
2004-02-19,21.233238220214844,21.63745518973373,21.221350465200572,21.411568816443342,3781640,-0.13974815550644726,36.14
2004-02-20,21.150012969970703,21.387787055221562,20.864683116268882,21.239178251939776,2527142,-0.3919574083848687,35.59
2004-02-23,20.81118392944336,21.16784502440714,20.609075499930196,21.155954894140628,3329139,-1.602027577989773,35.06
2004-02-24,20.77552032470703,21.191624976137344,20.65663328144123,20.81712983844927,5017782,-0.17136749575247245,35.07
2004-02-25,20.78740882873535,20.983571030110582,20.751743190167318,20.811186713948068,3318021,0.05722361626814276,35.04
2004-02-26,20.76957130432129,20.864680450569967,20.45452210871618,20.805236936851834,4614265,-0.08580927310866127,34.82
2004-02-27,20.8349666595459,21.037072757585207,20.716079600227573,20.757689119588065,3325153,0.3148613626464458,35.11
2004-03-01,20.989519119262695,21.066794279828393,20.852798051220056,20.9003538258007,3302392,0.7417936502719824,35.28
2004-03-02,20.745798110961914,20.98357221956312,20.46047060774179,20.508026380862912,3254247,-1.1611557507151815,34.88
2004-03-03,20.846843719482422,20.888453217496917,20.668513221989876,20.75173459651995,2103696,0.4870654191275303,35.01
2004-03-04,20.92412567138672,21.102458605592112,20.75174137034146,20.98356918995456,2552630,0.37071296232760176,35.2
2004-03-05,20.781455993652344,20.9062868640798,20.573403750106234,20.745787991957886,2187609,-0.681842959533896,34.92
2004-03-08,20.50802230834961,20.947902419108036,20.44263253866771,20.76362799723603,2002896,-1.315758074825235,34.73
2004-03-09,20.18701934814453,20.53773405555605,19.91357856561527,20.50801468742875,3237045,-1.5652555637916676,33.9
2004-03-10,19.592592239379883,20.19297251100773,19.414261677574753,20.13352899040602,4568743,-2.9446006788480417,33.17
2004-03-11,19.283485412597656,19.669868290862283,19.134876613265106,19.47964878986643,5194838,-1.577671923171764,32.66
2004-03-12,19.616361618041992,19.711471929083405,19.432087248603203,19.485586872892156,4237811,1.7262242707787312,32.91
2004-03-15,19.372648239135742,19.74714331743409,19.25970627949485,19.61636616347996,3759822,-1.2423984816944622,32.69
2004-03-16,19.087316513061523,19.66391872550172,18.87926425418882,19.616362972073183,5582935,-1.4728586538716226,32.12
2004-03-17,19.497478485107422,19.55097811999871,19.111095668728098,19.111095668728098,3716397,2.148871853019374,32.64
2004-03-18,19.455873489379883,19.556926528764887,19.152710803471756,19.50342807072301,1955380,-0.21338654513360922,32.61
2004-03-19,19.402372360229492,19.770922418680005,19.313207081051996,19.455872003436372,3889468,-0.2749870324742498,32.84
2004-03-22,18.873321533203125,19.117040637401026,18.564215043800115,19.081375007152925,4527940,-2.7267326757979493,31.65
2004-03-23,18.968433380126953,19.182430746488045,18.87332304310507,18.87332304310507,3062191,0.5039486385928438,32.0
2004-03-24,19.01004981994629,19.099216313711125,18.724721083353185,18.885218869327833,3053066,0.21939840252140907,31.84
2004-03-25,19.53909683227539,19.616373187965127,19.039771864490838,19.051659619788314,5035613,2.7829859329142836,32.68
2004-03-26,19.675811767578125,19.782809856607347,19.331038429566053,19.426148767009366,2535848,0.699699359066086,33.03
2004-03-29,19.883861541748047,20.085968753273185,19.770918402034948,19.782807341360122,2604237,1.0573885165579222,33.52
2004-03-30,20.06814193725586,20.22269461776774,19.80064490071438,19.919531943954595,2400643,0.9267837392696432,33.68
2004-03-31,20.12163734436035,20.222692748876636,19.943307985231424,20.097861840711122,2882198,0.26656880976698716,33.83
2004-04-01,20.13352394104004,20.282132705274133,20.0740804353464,20.115689937931407,2396238,0.05907370496873732,33.93
2004-04-02,20.353469848632812,20.508024910947608,20.198917164820053,20.418857248111053,2329842,1.0924362185023906,34.22
2004-04-05,20.805234909057617,20.805234909057614,20.240521583775454,20.240521583775454,2404734,2.219597266630924,34.71
2004-04-06,20.829021453857422,20.912242875276256,20.650690855889533,20.745800032438588,2676612,0.11432961417536802,34.94
2004-04-07,20.579357147216797,20.93007442433026,20.353470798295675,20.716078207643076,2764406,-1.1986367539814857,34.64
2004-04-08,20.60313606262207,20.864685685806926,20.51397076967207,20.745798628540257,2533960,0.11554741596235818,34.81
2004-04-12,20.81118392944336,20.876571321153033,20.56746599025179,20.60313162404782,1814197,1.0097873750332997,34.93
2004-04-13,20.567468643188477,20.924127405654858,20.454525472848054,20.912239652356735,2287990,-1.1710784311029898,34.8
2004-04-14,20.496135711669922,20.852796865233078,20.39508266956122,20.478301702590908,2534694,-0.3468240684163071,34.65
2004-04-15,20.50802230834961,20.650684842378432,20.276192122800172,20.585297451198265,2328478,0.05799433047724012,34.35
2004-04-16,20.840898513793945,20.947895378353063,20.51990316311473,20.615012280000922,3661644,1.6231511768387774,34.98
2004-04-19,20.585298538208008,20.912237889874653,20.53774277201939,20.775519224460627,2983943,-1.2264345292827161,34.85
2004-04-20,20.21080207824707,20.775517844854797,20.20485820249366,20.65663081577984,2717834,-1.8192423066677454,34.46
2004-04-21,20.192964553833008,20.424794668525834,20.097855434049055,20.35940491882967,4538849,-0.0882573801128883,34.0
2004-04-22,20.567468643188477,20.90035189905861,20.09191807672849,20.1810833619706,4817649,1.8546265871812295,34.31
2004-04-23,20.73390007019043,20.75767794495404,20.359405083541432,20.64473482370267,2261033,0.809197426719166,34.66
2004-04-26,20.662574768066406,20.85279306389021,20.597184999031622,20.698240401220655,1752101,-0.3440033080248539,34.87
2004-04-27,21.066791534423828,21.35806526414162,20.817129696666846,20.864683086548098,4738561,1.956274911983047,35.58
2004-04-28,20.906291961669922,21.114344255945507,20.7398491748488,21.102456504816125,3085582,-0.7618605447898608,35.17
2004-04-29,20.94196128845215,21.39373158860114,20.82901811878939,20.87657388870067,4657166,0.17061527145809663,35.48
2004-04-30,20.55558204650879,21.001408549391968,20.401029334543118,20.97168678253309,3883384,-1.8450002682242395,34.58
2004-05-03,20.549633026123047,20.852794496514466,20.43074598843999,20.561520778490603,3066177,-0.028941142957095156,34.66
2004-05-04,20.6982421875,20.924126135972067,20.460468107949247,20.543689511492396,2553050,0.7231718502614504,34.79
2004-05-05,20.573413848876953,20.811187958216088,20.508026444509134,20.662579139879128,2231454,-0.6030866654871403,34.66
2004-05-06,20.4248046875,20.704188309880273,20.276195871658967,20.41291455513141,1851119,-0.7223359354386671,34.38
2004-05-07,20.16324234008789,20.50206931478321,20.06218697011667,20.21079570963233,2045901,-1.280611253884767,34.13
2004-05-10,19.770919799804688,20.187025570099514,19.62231102086039,19.91358470329153,3483015,-1.9457314139561754,33.34
2004-05-11,19.81847381591797,19.99086047036353,19.68175398097016,19.770919245838396,2625425,0.24052505697662596,33.35
2004-05-12,19.842248916625977,19.913581356380426,19.4736989689368,19.830359978458468,3270295,0.11996433695571351,33.05
2004-05-13,19.925472259521484,20.056248221564857,19.705532220233515,19.705532220233515,2210895,0.41942495150222303,33.43
2004-05-14,19.90169334411621,20.05030210499742,19.58664300889817,19.919526157571827,1857517,-0.11933928137592975,33.35
2004-05-17,19.378597259521484,19.871979493220916,19.28348809044149,19.527207268742043,3475148,-2.628399883115351,32.83
2004-05-18,19.87364959716797,19.99920581449001,19.43121664948637,19.47306752577762,3133622,2.554634533225797,33.14
2004-05-19,19.903532028198242,20.25030511297096,19.867659527914242,19.969299873583875,2959608,0.1503620705606723,33.52
2004-05-20,19.742107391357422,19.927450662792367,19.514910870051494,19.73014829469523,2123416,-0.8110351299062013,33.09
2004-05-21,19.915491104125977,20.076919757242763,19.706232049087237,19.867660702204024,2001952,0.8782431851447559,33.28
2004-05-24,19.861684799194336,20.238349709323153,19.825811096218537,20.04104852947756,2596475,-0.27017312628807577,33.4
2004-05-25,20.088876724243164,20.124751619415818,19.622529402272534,19.74210600672105,2302675,1.1438703581583498,33.26
2004-05-26,20.08289337158203,20.14866000919245,19.825803975266048,20.01712673397161,3138133,-0.029784406282473697,33.43
2004-05-27,20.202476501464844,20.36988471724491,20.02311158125669,20.088878240206785,2176071,0.5954477159751725,33.73
2004-05-28,20.148672103881836,20.256292042607082,19.921477911004093,20.256292042607082,1697873,-0.2663257525833851,33.65
2004-06-01,19.8497371673584,20.184552587602784,19.73015929172503,20.09487007798993,4130193,-1.483645845156445,33.24
2004-06-02,20.1426944732666,20.23835531540249,19.85571075070965,19.86169030093644,2466620,1.4758749873522437,33.54
2004-06-03,19.87364959716797,20.196507074682444,19.849734981594317,20.14269709638022,1597911,-1.3356945688458355,33.53
2004-06-04,20.17258071899414,20.328029825494514,19.915491260020996,20.02310996422501,1612281,1.5041581585939268,33.69
2004-06-07,20.740568161010742,20.866123107924224,20.31009337379382,20.34596587401232,3024745,2.815640943162978,34.45
2004-06-08,20.812318801879883,20.878085461260774,20.57316557336913,20.758508847005398,2268166,0.3459434684341067,34.67
2004-06-09,20.949831008911133,21.13517667958742,20.70469942187531,20.812319334377808,4495634,0.6607250654781849,35.06
2004-06-10,21.165071487426758,21.314542263685478,20.949831655775835,20.949831655775835,4798979,1.0274091395967355,35.42
2004-06-14,21.30258560180664,21.40422717666239,21.16507390730519,21.183008967128043,4085614,0.6497219461865544,35.63
2004-06-15,21.505863189697266,21.792848027549525,20.925915161599548,21.374327475557532,4951700,0.9542390378817878,36.11
2004-06-16,21.55370330810547,21.55968166286038,21.266718356881448,21.505871685468524,2233552,0.22245151466937507,35.8
2004-06-17,21.625438690185547,21.637395394354595,21.356391315702243,21.446073773863343,2479731,0.3328216086796676,35.94
2004-06-18,21.846654891967773,21.936339744185993,21.523799950092492,21.63141746661832,3598500,1.0229443432406393,36.43
2004-06-21,21.67925262451172,22.020045071184658,21.63142101445669,21.78089180550591,2204707,-0.7662604105015736,36.51
2004-06-22,21.978193283081055,22.05591904807987,21.679251713544218,21.679251713544218,2602454,1.3789251121661739,36.63
2004-06-23,22.42660140991211,22.474430616643215,21.834696735345165,21.97221078832958,3431303,2.0402410746666932,37.1
2004-06-24,22.157554626464844,22.265174530940108,22.067872170168027,22.25321543472191,2707869,-1.1996770198464013,37.05
2004-06-25,22.00807762145996,22.25918747092276,21.792840265877985,22.04992846560475,3426269,-0.6746096648514999,36.78
2004-06-28,21.72707176208496,22.30103879176706,21.697175228739106,22.04992657157708,3207780,-1.2768305538008118,36.79
2004-06-29,21.91242218017578,22.079827989847036,21.619459022879074,21.64337482206,2602873,0.8530851286378427,36.64
2004-06-30,21.900466918945312,22.07983185576048,21.786868647169435,22.002108485186056,2900030,-0.05455928665560883,36.65
2004-07-01,21.55967140197754,21.984167879729455,21.46998894643991,21.846653824319347,2889750,-1.5561107360362425,36.19
2004-07-02,21.452043533325195,21.541725955563976,21.16506121753918,21.31453192127048,2206595,-0.4992092256214664,35.73
2004-07-06,21.278663635253906,21.368346085295638,21.045488786685894,21.236812782153443,2824718,-0.8082208942096769,35.49
2004-07-07,21.481943130493164,21.6134788185649,21.08136249966437,21.147129147551535,2435782,0.9553207791793472,35.76
2004-07-08,21.248769760131836,21.607501957237165,21.19496220324873,21.404221256053255,2697380,-1.0854389146498722,35.67
2004-07-09,21.64336395263672,21.66129899879212,21.29061267069025,21.314528457860526,2446166,1.8570213568092964,36.0
2004-07-12,21.46999740600586,21.667299842848436,21.14116160613398,21.643384033488935,3334699,-0.801014791463317,35.75
2004-07-13,21.296602249145508,21.511839662580265,21.17702564253757,21.434113911366037,3081806,-0.8076161053091058,35.6
2004-07-14,21.206918716430664,21.392261968794088,20.985700570069923,21.045488870335387,3101735,-0.4211166253924037,35.45
2004-07-15,21.344438552856445,21.499887697247015,21.111263640121486,21.19496776165432,4293928,0.6484668436024688,35.69
2004-07-16,21.76295280456543,21.828719462256736,21.386285522418692,21.5955445919896,5186027,1.9607648646863929,36.27
2004-07-19,21.44010353088379,21.876559282597135,21.266716901067582,21.822749308888845,3860203,-1.4834810174008783,35.97
2004-07-20,21.464006423950195,21.51781397297951,21.224853255652018,21.356386541297127,3575948,0.11148683602191234,35.81
2004-07-21,21.888517379760742,22.121692352422084,21.67327986357289,21.82275069318929,6803238,1.9777806036102685,36.68
2004-07-22,21.882532119750977,22.02602215706374,21.583590554852634,21.673273024322135,4073447,-0.027344291556719025,36.49
2004-07-23,21.67925262451172,21.972215853427823,21.63142101445669,21.894490085162953,2542351,-0.9289578286773237,36.44
2004-07-26,21.804805755615234,22.020043197956383,21.679250780274394,21.84067826395576,3361865,0.5791395731122195,36.52
2004-07-27,22.330934524536133,22.336912874712706,21.88850072701495,21.972204806377928,4458292,2.4129028014175713,37.09
2004-07-28,22.785335540771484,22.839145501794825,22.14559914602392,22.33094483313744,6781421,2.0348499778908957,37.65
2004-07-29,22.653793334960938,22.99458563414575,22.635855890878723,22.797283318430022,4054042,-0.5773108128039994,38.11
2004-07-30,22.48638343811035,22.6358541529959,22.283102787406612,22.56410916676963,3569025,-0.7389927787159078,37.52
2004-08-02,22.396709442138672,22.468454455378858,22.061895393188,22.061895393188,4002331,-0.3987924346237848,37.22
2004-08-03,22.121681213378906,22.504326822981145,22.03199876076733,22.414641978071966,3607730,-1.2279849835543644,37.08
2004-08-04,21.91839599609375,22.031994224471866,21.559666259508404,21.61347619845563,5545279,-0.9189410846505264,36.45
2004-08-05,21.38629150390625,22.032006341814228,21.338459889135873,21.98417472704385,3528432,-2.4276616422220454,36.23
2004-08-06,20.674808502197266,21.224862463282193,20.59110437852149,21.224862463282193,5051871,-3.326818030040557,34.85
2004-08-09,20.6927433013916,20.9677690505224,20.417715159962853,20.746550866864407,3914012,0.08674711155089998,34.54
2004-08-10,21.206918716430664,21.206918716430664,20.746547369008077,20.806335669273537,3640246,2.484810290980044,35.09
2004-08-11,21.30258560180664,21.368352272420225,20.937877344496556,21.183008967128043,3776080,0.4511116709371654,35.45
2004-08-12,20.746553421020508,21.290629025987474,20.489465090261874,21.290629025987474,3745557,-2.610162874965638,34.68
2004-08-13,20.80634117126465,20.80634117126465,20.32803464265844,20.644913674779325,4547660,0.28818160313588415,34.47
2004-08-16,21.123228073120117,21.23084803907101,20.63296465556398,20.71666641541571,3250786,1.5230304033133857,35.25
2004-08-17,21.003643035888672,21.31454370693731,20.949833074332357,21.129198017987992,2395713,-0.5661305024851737,35.25
2004-08-18,21.411184310913086,21.45927325872419,20.743963989755454,20.82811604067147,3417143,1.9403361327749336,35.13
2004-08-19,21.008447647094727,21.447249058336364,20.858170291808424,21.387139078289383,3244702,-1.880963976444261,35.09
2004-08-20,21.284957885742188,21.333044437548423,20.834132933480852,20.91227448210451,2621963,1.3161859614396532,35.09
2004-08-23,21.23085594177246,21.453261930292882,21.176756472757756,21.296976446048603,1640707,-0.2541792389731068,35.4
2004-08-24,21.45326042175293,21.55544883496599,21.357084930916898,21.369108370501998,2345995,1.0475530548105683,35.71
2004-08-25,21.93413734436035,22.030315227488167,21.387137058621896,21.45927047096776,2790628,2.241509743292114,36.2
2004-08-26,21.849992752075195,21.916113265386663,21.62758432799369,21.843982233623144,1815770,-0.3836238962312888,36.23
2004-08-27,21.916107177734375,22.02430369532583,21.789876704626618,21.789876704626618,1336103,0.302583284165614,36.51
2004-08-30,21.447250366210938,22.024305728817573,21.447250366210938,21.880043692042666,2490849,-2.1393252356411763,35.93
2004-08-31,21.627580642700195,21.675669592461254,21.351075194496715,21.567470658083394,2302255,0.840808371283619,35.82
2004-09-01,21.639598846435547,21.813915835508308,21.339048996077747,21.55544440730167,1642385,0.05556887723088266,35.97
2004-09-02,21.988243103027344,22.042342576496708,21.585507121408558,21.609551599080422,1769723,1.6111401096939648,36.31
2004-09-03,21.868024826049805,22.204640324211756,21.868024826049805,21.940158264693476,2244670,-0.5467388932087425,36.54
2004-09-07,22.150537490844727,22.28878900324242,21.910097568237735,21.910097568237735,4262146,1.29189840894266,36.82
2004-09-08,21.922122955322266,22.16857344389772,21.82594744821591,22.04835345872244,4007365,-1.0311918418091204,36.56
2004-09-09,21.83796501159668,22.012284443411275,21.657635062513094,21.922119468869482,3600702,-0.3838950447322187,36.31
2004-09-10,21.91010856628418,21.94016357169653,21.669668522985372,21.71775508854308,3744194,0.3303584132000825,36.34
2004-09-13,22.054363250732422,22.09643927750187,21.759823847839225,21.91009880797157,3629128,0.658393289160708,36.55
2004-09-14,22.11447525024414,22.174585239775357,21.9581873533276,22.00026578910099,2174393,0.27256284313592616,36.71
2004-09-15,21.868024826049805,22.22868480375965,21.831959309312722,22.1144777349538,2120374,-1.1144303511864462,36.53
2004-09-16,21.982234954833984,22.174588391777444,21.795894441833738,21.849993921135635,2843284,0.5222699795371044,36.65
2004-09-17,22.084421157836914,22.2407090781603,21.988245641216857,22.150544080359698,2854297,0.46485811480445616,36.77
2004-09-20,21.988243103027344,22.16857307781235,21.813923646367975,21.904088633760477,2141038,-0.4355018142526257,36.58
2004-09-21,21.741790771484375,22.060374661940852,21.585505287648203,21.988241235053234,3504937,-1.1208368508034083,36.22
2004-09-22,21.34507179260254,21.56146732832623,21.182773336932385,21.56146732832623,3818666,-1.8246840062602243,35.47
2004-09-23,21.339069366455078,21.429234407634397,21.11666082177697,21.27294641212031,3091351,-0.028120899314765246,35.4
2004-09-24,21.242874145507812,21.327028596628033,21.158719694387596,21.24888706750617,1877866,-0.4507938902831632,35.33
2004-09-27,21.092599868774414,21.248887742319056,21.068557800692663,21.110633825004605,2887023,-0.7074102859342957,35.17
2004-09-28,21.393150329589844,21.537414767688308,21.038500954105395,21.098610936215678,3244387,1.424909507055916,35.4
2004-09-29,21.45326042175293,21.603535377799528,21.26691995728894,21.272930474497013,2537946,0.2809782160972496,35.7
2004-09-30,21.555456161499023,21.69370772495116,21.35709219002755,21.363102709278554,3390501,0.4763646072299066,35.81
2004-10-01,22.0964412689209,22.11447522782968,21.489328451135606,21.573482917427857,3640142,2.50973629770892,36.48
2004-10-04,22.006282806396484,22.378963889490635,21.952183318806703,22.15655782460702,3331971,-0.40802254728332654,36.85
2004-10-05,21.946163177490234,22.132503637342047,21.82594321562856,21.92211870408412,2009399,-0.2731930214437406,36.51
2004-10-06,22.066387176513672,22.066387176513672,21.77184773503125,21.946167192657118,2271417,0.5478132922421164,36.41
2004-10-07,21.45326042175293,21.98823974631261,21.45326042175293,21.97020819468839,2939364,-2.778555229074031,36.06
2004-10-08,21.48932456970215,21.72976688932349,21.248887060418408,21.333039106341758,3010480,0.16810567363760853,35.73
2004-10-11,21.363096237182617,21.60954909833707,21.170745248405964,21.48932672389036,2358267,-0.5874001861254419,35.48
2004-10-12,21.242874145507812,21.38112805843166,21.152709177558037,21.21882967302078,2300892,-0.5627559335971033,35.37
2004-10-13,21.110631942749023,21.567467273103325,20.942323050170177,21.27894083532787,2781188,-0.622525002280605,35.24
2004-10-14,20.906269073486328,21.128677547395856,20.70790508394134,21.104633063031315,2759790,-0.9680566162913462,34.85
2004-10-15,21.038509368896484,21.27895179867652,20.906268317428868,20.906268317428868,2238901,0.6325389525281944,35.09
2004-10-18,20.82811737060547,21.050525761972043,20.798064782765763,21.038502321667067,3029361,-1.0000328188748075,34.83
2004-10-19,21.30299186706543,21.399169791971023,20.978397383433244,21.00244186465964,4285746,2.2799684100597073,35.32
2004-10-20,20.317184448242188,21.30298879500635,19.9264707040435,21.30298879500635,10559704,-4.627553843022902,33.96
2004-10-21,19.83629035949707,20.365258872070626,19.782192127018277,20.28711497640603,9409992,-2.36693273110844,33.19
2004-10-22,19.667993545532227,19.992587929021227,19.6199058005002,19.854335211084972,6214275,-0.8484288690817077,32.93
2004-10-25,19.373458862304688,19.728108300955377,19.145039927534583,19.559799359001683,7469297,-1.4975329463357778,32.38
2004-10-26,19.806255340576172,19.926475352245255,19.463628066802293,19.499693589269043,7080465,2.2339659703904724,32.87
2004-10-27,20.040681838989258,20.26910080268069,19.812264077882663,19.914451319125963,5593319,1.18359828439063,33.41
2004-10-28,20.202980041503906,20.5275721157914,19.99259383994108,20.04669332071221,4890444,0.8098437159902216,33.66
2004-10-29,20.24505043029785,20.533579310456506,20.136852701530596,20.20898492157026,5241409,0.2082385306896306,33.84
2004-11-01,21.062545776367188,21.20681021685185,20.257071521732723,20.29313943573062,8824071,4.038001035778649,34.7
2004-11-02,20.707897186279297,21.098612091388205,20.59369013815195,21.098612091388205,6432763,-1.6837878661648653,34.58
2004-11-03,20.948352813720703,21.20682447170892,20.894253311528093,21.038515443814262,3666994,1.161178391404838,35.01
2004-11-04,21.381135940551758,21.417201459993404,20.984410416354294,21.050530936192256,4658949,2.065953016351685,35.37
2004-11-05,21.60955047607422,21.789880441487828,21.369110522189406,21.48932809396262,4182848,1.0682993464778745,35.85
2004-11-08,21.75981330871582,21.90407527643598,21.531394517879153,21.60953842136745,3079708,0.6953538103810608,36.19
2004-11-09,21.7958927154541,21.988243731992508,21.705727725482465,21.76583771879689,3338160,0.16580751969885732,36.34
2004-11-10,21.88605308532715,22.12048249079974,21.819932587673055,21.819932587673055,3066387,0.4136576145335802,36.58
2004-11-11,21.982234954833984,22.108465469758695,21.7898839230601,22.03633443413588,2299318,0.4394664909741941,36.59
2004-11-12,22.012290954589844,22.090434917708436,21.7958954327141,21.9521809537816,2391727,0.1367285893250303,36.44
2004-11-15,21.747800827026367,21.90408630754196,21.555449836417804,21.837965804843332,3054534,-1.2015565672337525,36.08
