,close,high,low,open,vol,pct_change,vwap
2003-12-31,6.865762233734131,6.962976469160641,6.845508785151483,6.926521034301942,132800,,34.12
2004-01-02,6.902217388153076,6.967026875804182,6.865761954775575,6.90626730511499,103600,0.5309702430390972,34.21
2004-01-05,6.87386417388916,6.942724367246727,6.766523579645682,6.942724367246727,183200,-0.41078413891427745,33.96
2004-01-06,6.794875144958496,6.8637353130251935,6.794875144958496,6.855633934996186,60000,-1.1491211774406151,33.76
2004-01-07,6.817157745361328,6.835385470853888,6.786777945343592,6.786777945343592,36000,0.3279324480209844,33.63
2004-01-08,6.821206092834473,6.8353831219468555,6.809054022485228,6.8212060928344735,166400,0.05938468236119654,33.7
2004-01-09,6.701713562011719,6.825256908774405,6.632853373943508,6.784750779453664,220000,-1.7517800986584842,33.3
2004-01-12,7.3113322257995605,7.483483178401294,6.701717304524579,6.701717304524579,434000,9.096459556902436,34.97
2004-01-13,7.191835880279541,7.29107586392262,7.048039847273826,7.29107586392262,128400,-1.6343990647607498,35.46
2004-01-14,7.291077613830566,7.331583755092146,7.210065331307407,7.210065331307407,131600,1.3799221117260618,35.87
2004-01-15,7.291077613830566,7.291077613830566,7.163483539263224,7.270824929494968,126000,0.0,35.73
2004-01-16,7.213663578033447,7.280890977062581,7.1973665212867886,7.272742060127506,111600,-1.0617639791719036,35.56
2004-01-20,7.333856582641602,7.333856582641602,7.172918987790682,7.2421832199339,130800,1.666185334372372,35.5
2004-01-21,7.191254138946533,7.293113264929128,7.191254138946533,7.28292750775556,86000,-1.9444400376275706,35.6
2004-01-22,7.215698719024658,7.231996549055803,7.19125275110125,7.19125275110125,121600,0.3399209596242514,35.41
2004-01-23,7.225887298583984,7.225887298583984,7.113841628183513,7.215700763366829,82800,0.14120017972012455,35.27
2004-01-26,7.246254920959473,7.282924252090898,7.211623206625966,7.211623206625966,151200,0.28187019163001814,35.54
2004-01-27,7.248295783996582,7.282927513840338,7.211626436442334,7.246258166286091,93200,0.02816438366259888,35.58
2004-01-28,7.2218122482299805,7.282927568908012,7.215700172175752,7.282927568908012,157200,-0.3653760353581892,35.5
2004-01-29,7.199401378631592,7.231996260269,7.191252463941421,7.221810505467925,122400,-0.31032196390706757,35.38
2004-01-30,7.252365589141846,7.27273786974149,7.191250301589002,7.191250301589002,83600,0.7356752002667388,35.49
2004-02-02,7.252365589141846,7.27273786974149,7.223845173425389,7.27273786974149,100400,0.0,35.6
2004-02-03,7.309412002563477,7.323672219795705,7.231998839643124,7.231998839643124,41600,0.7865904265366819,35.76
2004-02-04,7.250332355499268,7.315522131593305,7.231997682402606,7.315522131593305,147200,-0.808268121204403,35.6
2004-02-05,7.264591217041016,7.270702514560212,7.236070792453719,7.270702514560212,101200,0.196664936758828,35.6
2004-02-06,7.262556076049805,7.295150965650198,7.23199802705792,7.264592916658312,144800,-0.028014528696906904,35.61
2004-02-09,7.248295783996582,7.27274175665826,7.231997950806489,7.262555999476183,75600,-0.1963536240394692,35.55
2004-02-10,7.604799747467041,7.604799747467041,7.242180872210617,7.242180872210617,193200,4.918452200275536,36.24
2004-02-11,7.588505268096924,7.629249075967781,7.543687001726631,7.578319510410084,95200,-0.21426572574174685,37.23
2004-02-12,7.5172014236450195,7.5885024783642585,7.509052509641903,7.578316724421969,182000,-0.9396296363089474,37.12
2004-02-13,7.364413738250732,7.517202398570263,7.354227205864113,7.496830110920338,190000,-2.03250753549985,36.44
2004-02-17,7.3847856521606445,7.435715208382442,7.231996983495252,7.293112295536737,181200,0.2766264177160638,36.06
2004-02-18,7.437750816345215,7.447937347600465,7.364412920320712,7.364412920320712,112400,0.7172200613442925,36.42
2004-02-19,7.4194183349609375,7.445901925208922,7.37460084814526,7.37460084814526,174800,-0.2464788326060896,36.45
2004-02-20,7.397009372711182,7.439790015436456,7.362376868750203,7.439790015436456,146800,-0.30203125417747057,36.31
2004-02-23,7.4357123374938965,7.456083841267945,7.3868196404639015,7.413303217068609,202800,0.5232244929348928,36.49
2004-02-24,7.456088066101074,7.476460358541703,7.4255307931253745,7.433679710101626,94800,0.2740252403853116,36.56
2004-02-25,7.4662766456604,7.478499247348666,7.435718587192318,7.476462406108525,51600,0.1366477899536589,36.58
2004-02-26,7.462199687957764,7.474422285554307,7.437752938517781,7.456087612036044,98000,-0.05460496437680318,36.62
2004-02-27,7.513128280639648,7.527388494077512,7.441826436326979,7.445900894041133,113200,0.6824876686705617,36.7
2004-03-01,7.4764580726623535,7.482569369964304,7.354226686760534,7.354226686760534,118400,-0.4880817498057244,36.38
2004-03-02,7.439792633056641,7.537577326743336,7.415346653915884,7.47646199032961,108400,-0.4904118935646795,36.59
2004-03-03,7.507012367248535,7.517198894887327,7.425525585998857,7.435711336514698,88400,0.9035162336813229,36.79
2004-03-04,7.594618797302246,7.594618797302246,7.486648335295937,7.507019856651334,184000,1.166994614740724,36.95
2004-03-05,7.722957611083984,7.741292281783669,7.578317862854994,7.578317862854994,373600,1.689865116433853,37.8
2004-03-08,7.5172014236450195,7.7412911188682365,7.511089349581076,7.700547325975867,166400,-2.664214900566897,37.55
2004-03-09,7.568134784698486,7.643510334407354,7.4540522625287275,7.4560891034944365,171600,0.6775574869293477,37.15
2004-03-10,7.484609127044678,7.696475524359922,7.484609127044677,7.58850509649865,61600,-1.10364918212984,37.43
2004-03-11,7.41534423828125,7.521277039090245,7.4133066206944935,7.456087264535443,155200,-0.9254309421870555,36.62
2004-03-12,7.409233093261719,7.429605386071036,7.211626904314158,7.211626904314158,234000,-0.08241215543282054,35.89
2004-03-15,7.344043254852295,7.449976845287255,7.344043254852295,7.425530871224881,110000,-0.8798459650123602,36.43
2004-03-16,7.042539119720459,7.354227761648218,6.997720860626868,7.344042005615139,338000,-4.105424282906133,34.85
2004-03-17,7.313483715057373,7.415342815394533,7.087356387969157,7.087356387969157,130800,3.84725722826611,35.89
2004-03-18,7.274778842926025,7.3338573245500935,7.170882872762566,7.3338573245500935,376400,-0.5292262024411132,35.41
2004-03-19,7.3216328620910645,7.352190907255336,7.31348472355418,7.323670479567814,308000,0.6440610797481483,35.99
2004-03-22,7.284962177276611,7.301260005596008,7.252367297761045,7.29311109143631,92000,-0.5008539147643098,35.71
2004-03-23,7.364413738250732,7.425529046953882,7.284962982100993,7.284962982100993,160400,1.0906242069718353,36.2
2004-03-24,7.335892677307129,7.390896689339911,7.333855837064431,7.344041592524577,112000,-0.38728216470871324,36.09
2004-03-25,7.3949713706970215,7.435715170893713,7.333856058963661,7.354227570500331,77600,0.8053374822759807,36.32
2004-03-26,7.360337734222412,7.382746857367239,7.323668401280542,7.344039907526848,84000,-0.468340372646292,36.07
2004-03-29,7.507012367248535,7.537570395919009,7.3644103057808605,7.374596056296702,140800,1.9927704179136807,36.66
