trade_date,close,open,high,low,vol,pct_change,vwap
20241231,102.5,103.14,103.35,101.95,818292,-0.23,102.49
20241230,102.74,102.36,103.35,101.69,944407,-1.05,102.76
20241227,103.83,103.92,105.0,103.38,640700,-0.79,103.87
20241226,104.66,103.37,104.87,103.0,619842,1.01,104.37
20241224,103.61,102.9,103.93,102.3,323427,0.99,103.47
20241223,102.59,101.75,102.7,101.25,662671,0.11,102.32
20241220,102.48,99.91,102.73,99.36,3477038,1.96,102.19
20241219,100.51,101.08,102.26,100.26,1473014,0.37,100.78
20241218,100.14,104.31,104.98,100.0,1255824,-4.36,101.8
20241217,104.71,105.29,106.04,104.4,1100597,-0.81,104.86
20241216,105.56,105.27,105.89,104.28,1455023,0.55,105.45
20241213,104.98,105.0,105.54,104.11,1735955,-0.39,104.89
20241212,105.39,105.77,106.44,104.74,1567341,0.23,105.33
20241211,105.15,109.13,109.42,104.47,2428845,-2.77,105.81
20241210,108.15,108.74,108.99,107.08,1132834,-0.41,108.31
20241209,108.6,108.81,110.17,108.39,1594171,0.63,108.98
20241206,107.92,109.3,109.74,107.65,1633072,-1.84,108.07
20241205,109.94,108.77,110.6,108.75,1112239,1.08,110.13
20241204,108.77,109.0,109.46,108.12,1087048,-0.52,108.86
20241203,109.34,110.94,111.35,109.27,1480370,-0.5,109.92
20241202,109.89,111.3,111.48,109.8,987221,-1.14,110.21
20241129,111.16,110.9,111.87,110.64,621275,0.52,111.29
20241127,110.59,110.89,111.57,110.28,592534,-0.14,110.69
20241126,110.75,110.72,111.19,109.85,958470,0.2,110.55
20241125,110.53,110.0,110.99,109.09,2583284,0.98,110.5
20241122,109.46,108.79,109.92,108.65,928225,0.48,109.41
20241121,108.94,108.84,109.42,107.84,759500,0.98,108.78
20241120,107.88,108.61,108.61,106.93,761480,0.04,107.64
20241119,107.84,107.36,108.23,107.13,848517,-1.0,107.82
20241118,108.93,107.6,109.54,107.44,1498358,1.24,108.78
20241115,107.6,106.18,107.87,105.79,1626002,1.55,107.08
20241114,105.96,106.68,107.21,105.65,999714,-0.82,106.2
20241113,106.84,107.27,108.46,106.74,1189879,-0.1,107.33
20241112,106.95,106.18,107.56,106.18,1305929,0.19,107.03
20241111,106.75,106.32,107.72,106.28,794847,1.49,107.01
20241108,105.18,105.34,105.74,104.51,790975,-0.07,105.16
20241107,105.25,105.18,106.19,104.61,1037911,-1.24,105.32
20241106,106.57,107.66,108.53,105.08,2092581,5.15,106.38
20241105,101.35,99.89,101.87,99.89,801959,1.11,101.27
20241104,100.24,99.79,100.69,99.07,761287,0.31,100.17
20241101,99.93,100.78,102.02,99.73,1072049,-0.59,100.39
20241031,100.52,101.06,101.93,100.27,904578,-0.93,100.84
20241030,101.46,101.0,102.56,100.54,993261,-0.84,101.78
20241029,102.32,101.64,103.4,101.64,1772903,0.43,102.54
20241028,101.88,100.55,102.12,100.55,1073101,1.69,101.67
20241025,100.19,103.55,103.62,100.07,1464750,-2.53,100.83
20241024,102.79,103.78,103.78,101.12,2075586,0.27,102.51
20241023,102.51,100.95,104.25,99.43,3909061,7.02,102.53
20241022,95.79,95.16,96.12,94.88,1334102,0.03,95.76
20241021,95.76,95.82,96.39,95.14,856692,-0.66,95.75
20241018,96.4,96.26,96.78,95.6,903961,0.15,96.36
20241017,96.26,96.75,97.0,95.76,960843,-0.39,96.16
20241016,96.64,94.6,97.08,94.6,1433760,2.39,96.47
20241015,94.38,94.88,96.44,94.24,1065760,0.34,94.99
20241014,94.06,92.09,94.12,91.68,988604,2.05,93.69
20241011,92.17,91.61,93.5,91.2,926903,1.19,92.2
20241010,91.09,90.87,91.74,90.84,1162501,-0.48,91.14
20241009,91.53,91.25,91.99,90.87,1057687,0.52,91.47
20241008,91.06,90.28,91.27,89.88,893842,0.95,90.9
20241007,90.2,90.38,90.9,89.81,863354,-0.29,90.35
20241004,90.46,89.9,90.53,89.49,929150,2.13,90.15
20241003,88.57,88.21,88.77,87.69,1525333,0.19,88.35
20241002,88.4,88.72,89.27,88.18,670717,-0.36,88.51
20241001,88.72,89.91,89.91,87.92,1095575,-1.46,88.77
20240930,90.03,89.99,90.1,89.13,1017074,-0.04,89.83
20240927,90.07,90.48,91.25,89.82,1186549,0.16,90.33
20240926,89.93,90.46,90.78,87.95,1552850,-0.95,89.55
20240925,90.79,91.67,91.74,90.45,965454,-0.68,90.85
20240924,91.41,91.51,92.09,90.99,839116,-0.11,91.43
20240923,91.51,92.61,92.79,91.35,951640,-0.42,91.77
20240920,91.9,92.62,92.82,91.69,2671876,-0.78,92.02
20240919,92.62,91.51,92.66,90.06,783596,2.56,92.25
20240918,90.31,90.96,91.96,90.13,876460,-0.38,90.66
20240917,90.65,89.41,91.09,89.41,823599,1.0,90.46
20240916,89.75,89.12,89.82,88.22,986044,1.71,89.09
20240913,88.24,87.95,88.94,87.95,942403,0.9,88.34
20240912,87.45,87.61,88.12,86.21,1543731,0.25,87.14
20240911,87.23,87.29,87.54,85.63,1497288,-1.4,86.7
20240910,88.47,87.69,88.67,85.83,1415082,0.81,87.79
20240909,87.76,87.52,88.67,86.85,1173072,1.27,87.88
20240906,86.66,89.02,90.09,86.21,1209737,-3.35,87.43
20240905,89.66,90.0,90.22,89.04,797079,0.23,89.64
20240904,89.45,90.02,90.87,89.25,1163223,-0.63,89.7
20240903,90.02,90.42,91.27,89.54,1247007,-1.3,90.07
20240830,91.21,89.94,91.36,89.31,1696806,1.92,90.66
20240829,89.49,89.35,89.89,87.84,809358,0.95,89.36
20240828,88.65,88.47,89.49,88.09,769205,-0.28,88.66
20240827,88.9,89.02,89.37,88.41,1041185,0.06,88.99
20240826,88.85,88.94,89.72,88.59,979553,0.17,88.99
20240823,88.7,87.75,89.24,87.65,717395,1.74,88.63
20240822,87.18,86.45,87.21,86.34,665595,0.67,86.96
20240821,86.6,86.2,86.68,85.63,724111,0.6,86.29
20240820,86.08,86.88,86.96,86.05,1089490,-1.26,86.37
20240819,87.18,87.56,87.93,87.04,893813,-0.02,87.23
20240816,87.2,85.91,87.27,85.91,909343,1.12,86.89
20240815,86.23,85.65,86.68,85.65,941591,1.67,86.25
20240814,84.81,83.87,85.28,83.46,965886,1.42,84.72
20240813,83.62,83.11,83.65,82.46,1205180,1.35,83.37
20240812,82.51,84.36,84.74,82.34,1196029,-2.11,83.16
20240809,84.29,83.43,84.46,83.43,960843,0.95,84.14
20240808,83.5,83.63,84.22,83.23,1145947,0.68,83.71
20240807,82.94,84.4,85.71,82.78,1211709,-0.19,83.74
20240806,83.1,82.48,84.6,82.48,1246059,0.75,83.63
20240805,82.48,82.81,83.43,80.8,1416873,-2.84,82.46
20240802,84.89,86.14,86.43,83.56,1366003,-2.3,84.65
20240801,86.89,88.66,89.12,86.44,697375,-1.99,86.97
20240731,88.65,89.29,89.53,88.24,931858,-0.34,88.73
20240730,88.95,89.4,90.05,88.27,953212,0.4,89.2
20240729,88.6,89.44,89.73,88.46,730518,-0.93,88.87
20240726,89.43,88.49,89.65,88.49,767831,1.65,89.31
20240725,87.98,86.79,89.02,86.59,929324,1.77,88.16
20240724,86.45,86.17,87.97,85.93,996617,0.0,86.96
20240723,86.45,86.99,87.89,86.32,1307400,-0.79,86.92
20240722,87.14,85.72,87.2,85.14,1174279,1.93,86.69
20240719,85.49,86.47,86.8,85.18,1461398,-0.86,85.64
20240718,86.23,87.84,88.67,85.52,2187286,0.08,86.73
20240717,86.16,92.0,92.46,83.03,4875707,-5.07,86.15
20240716,90.76,90.15,91.53,89.61,2679367,0.46,90.75
20240715,90.34,89.8,90.38,89.35,1050838,1.19,90.09
20240712,89.28,87.5,89.73,87.16,1135948,2.79,89.04
20240711,86.86,86.12,87.54,85.78,1284992,1.71,87.03
20240710,85.4,84.22,85.42,84.03,743202,1.75,85.03
20240709,83.93,82.93,84.17,82.59,727019,1.24,83.8
20240708,82.9,83.14,83.74,82.53,769974,-0.28,82.93
20240705,83.13,83.93,84.17,82.68,1598575,-1.5,83.12
20240703,84.4,84.75,85.28,83.94,653783,0.2,84.62
20240702,84.23,83.35,84.83,83.35,728621,0.48,83.99
20240701,83.83,84.01,84.84,83.61,808660,-0.18,84.01
20240628,83.98,83.16,84.32,82.72,1369147,1.74,83.89
20240627,82.54,82.31,82.84,81.24,736954,-0.05,82.33
20240626,82.58,81.6,82.68,81.6,825480,0.63,82.31
20240625,82.06,83.09,83.28,81.21,1062263,-1.74,81.98
20240624,83.51,83.05,84.14,82.75,803789,0.91,83.62
20240621,82.76,82.33,82.85,81.68,1906256,0.73,82.62
20240620,82.16,82.29,82.77,81.67,1153094,-0.89,82.19
20240618,82.9,82.24,82.9,81.73,883921,1.0,82.56
20240617,82.08,81.19,82.1,80.45,713903,0.53,81.61
20240614,81.65,81.92,82.54,81.11,933072,-1.25,81.59
20240613,82.68,82.9,83.22,81.82,1368941,-1.06,82.6
20240612,83.57,81.33,84.27,80.82,1964556,4.67,83.48
20240611,79.84,82.17,82.76,79.68,1703704,-3.55,80.54
20240610,82.78,81.79,82.82,81.05,991385,0.6,82.33
20240607,82.29,81.65,82.77,81.42,910937,-0.57,82.36
20240606,82.76,82.0,83.22,81.79,971257,-0.11,82.84
20240605,82.85,83.48,84.3,82.53,1241944,-0.7,82.98
20240604,83.43,83.12,83.88,82.36,1579021,-0.22,83.02
20240603,83.61,84.63,84.84,82.93,1264284,-0.75,83.71
20240531,84.24,83.26,84.28,83.05,2224101,1.62,83.9
20240530,82.9,82.35,83.3,81.77,1930692,1.43,82.77
20240529,81.73,81.22,81.95,80.42,1030420,-0.43,81.58
20240528,82.08,83.25,83.46,81.4,1138503,-1.48,82.11
20240524,83.31,83.18,83.61,82.96,539668,0.54,83.29
20240523,82.86,83.92,83.92,82.49,993683,-1.24,82.98
20240522,83.9,84.4,84.77,83.47,913121,-0.83,83.96
20240521,84.6,84.34,84.73,84.01,752030,0.17,84.47
20240520,84.46,85.64,85.75,84.24,1132568,-1.23,84.65
20240517,85.51,85.91,86.06,84.67,1299033,-0.14,85.25
20240516,85.63,86.27,86.76,85.59,1240502,-0.95,86.04
20240515,86.45,87.16,87.29,85.99,1040139,0.2,86.58
20240514,86.28,86.58,86.92,86.14,840185,0.45,86.34
20240513,85.89,87.29,87.29,85.74,641793,-0.93,86.13
20240510,86.7,87.0,87.52,86.64,798652,-0.09,86.92
20240509,86.78,85.29,86.83,85.29,777807,1.35,86.47
20240508,85.62,84.46,85.79,84.17,1047297,1.13,85.44
20240507,84.66,85.42,85.74,84.64,867563,-0.42,85.04
20240506,85.02,85.37,85.37,84.42,859275,0.47,84.92
20240503,84.62,84.67,84.85,84.02,927059,1.34,84.45
20240502,83.5,83.7,84.21,82.24,814282,0.54,83.14
20240501,83.05,82.49,84.16,82.0,1062849,0.8,83.01
20240430,82.39,83.52,83.8,82.37,963326,-1.4,82.84
20240429,83.56,83.37,84.31,83.16,933396,0.22,83.71
20240426,83.38,83.26,84.33,83.05,1072407,-0.07,83.77
20240425,83.44,83.95,84.16,82.75,1595413,-1.02,83.42
20240424,84.3,83.7,84.59,83.65,1332918,0.14,84.25
20240423,84.18,83.29,85.02,83.29,1549383,0.77,84.29
20240422,83.54,82.06,84.18,81.65,1791344,2.57,83.32
20240419,81.45,81.74,82.36,81.27,1985232,0.05,81.75
20240418,81.41,81.79,82.08,80.82,1404428,0.22,81.46
20240417,81.23,81.29,82.26,80.5,1466856,2.1,81.36
20240416,79.56,80.75,84.31,79.32,3079526,-4.96,80.33
20240415,83.71,84.8,85.21,83.46,1524863,-0.14,84.09
20240412,83.83,84.66,85.32,83.55,1112936,-1.3,84.06
20240411,84.93,85.44,85.71,84.16,891112,-0.56,85.03
20240410,85.41,86.69,86.92,85.16,830782,-3.08,85.67
20240409,88.12,88.41,88.74,87.16,762556,0.12,87.85
