trade_date,close,open,high,low,vol,pct_change,vwap
20241231,166.79,168.5,168.55,166.15,2801101,-0.78,166.86
20241230,168.1,167.2,169.23,166.01,3549276,-1.16,168.01
20241227,170.08,170.72,171.47,168.98,3180117,-1.2,170.0
20241226,172.15,171.02,172.67,170.13,3266222,0.38,171.75
20241224,171.49,169.24,171.49,168.85,2234630,1.46,170.52
20241223,169.02,168.12,169.33,166.55,4018853,0.39,168.41
20241220,168.37,163.97,169.08,163.16,9060656,2.17,167.53
20241219,164.8,163.03,165.77,162.18,6257586,3.03,164.46
20241218,159.95,166.0,166.63,159.6,7100434,-3.53,162.68
20241217,165.8,165.8,166.51,163.53,4325774,0.01,165.52
20241216,165.79,166.32,169.2,165.45,6563270,-0.13,166.68
20241213,166.01,165.65,167.87,165.54,4508922,0.72,166.18
20241212,164.83,168.64,169.28,164.45,7808574,-2.26,166.07
20241211,168.64,173.17,173.17,167.93,7453945,-1.54,169.28
20241210,171.27,171.01,173.16,170.61,4890559,-0.03,171.42
20241209,171.32,175.0,176.37,170.77,5862547,-2.43,172.39
20241206,175.58,173.3,175.83,172.44,6311363,1.54,174.22
20241205,172.91,180.33,180.76,172.71,7359141,-5.33,174.78
20241204,182.65,180.5,182.9,178.0,3640412,1.07,181.69
20241203,180.72,181.0,182.24,179.91,2878570,0.16,180.7
20241202,180.44,180.8,181.64,179.42,2795788,-0.94,180.37
20241129,182.16,181.45,182.97,181.13,2054418,0.86,182.21
20241127,180.6,184.64,184.69,180.44,2698422,-2.17,181.33
20241126,184.6,180.87,184.93,180.42,3738027,2.44,184.02
20241125,180.21,182.24,183.7,179.55,9024731,-0.52,180.44
20241122,181.15,179.3,181.74,178.78,2953803,1.37,180.54
20241121,178.7,178.41,180.94,177.34,4193262,0.4,179.52
20241120,177.98,178.1,178.54,176.0,3221177,0.24,177.37
20241119,177.56,176.5,177.88,175.7,3194736,0.02,177.13
20241118,177.52,177.0,178.57,175.13,2830786,0.33,177.39
20241115,176.93,176.75,177.92,175.89,5288391,-0.82,176.76
20241114,178.4,183.0,183.8,177.49,5048543,-2.81,179.6
20241113,183.56,182.95,186.3,182.76,3899719,0.5,184.38
20241112,182.64,185.07,185.7,180.59,3088005,-1.04,182.41
20241111,184.56,186.63,187.47,183.7,3315342,-0.14,184.64
20241108,184.81,179.65,186.42,179.45,4667067,3.33,184.03
20241107,178.85,181.02,181.02,176.77,4794859,-1.06,178.42
20241106,180.76,181.5,182.06,178.5,5934723,3.14,180.59
20241105,175.26,172.36,175.47,171.77,3583420,2.04,174.27
20241104,171.76,172.3,174.68,171.45,4177965,0.03,172.48
20241101,171.7,172.76,175.27,171.59,3969022,-0.05,173.04
20241031,171.78,172.0,173.62,170.43,5166973,-1.64,171.61
20241030,174.64,172.98,176.53,172.51,3688520,0.34,174.93
20241029,174.05,174.56,174.9,172.77,4932356,-0.75,174.04
20241028,175.36,179.98,180.58,175.21,5564754,-2.09,176.21
20241025,179.1,180.0,181.42,178.3,3966736,-0.36,179.35
20241024,179.74,181.9,182.21,179.63,4370406,-1.07,180.42
20241023,181.69,179.7,184.98,179.62,9706262,2.85,181.97
20241022,176.66,184.5,185.0,175.75,15276157,-9.05,178.75
20241021,194.23,192.91,194.39,192.02,4675086,0.84,193.32
20241018,192.61,193.1,193.44,191.14,3051246,-0.01,192.48
20241017,192.62,194.09,194.8,192.2,2633322,0.23,192.96
20241016,192.18,190.5,192.22,189.92,2902073,0.84,191.33
20241015,190.57,193.85,194.33,189.76,3810514,-1.07,191.03
20241014,192.63,191.98,193.93,191.66,3065480,0.77,192.81
20241011,191.16,189.41,191.76,189.06,2980791,1.62,190.9
20241010,188.12,188.15,189.75,187.39,2296934,-0.61,188.36
20241009,189.28,186.63,189.41,186.5,2281388,0.97,188.75
20241008,187.47,187.62,189.88,186.56,3599797,0.81,187.67
20241007,185.96,185.94,187.23,184.8,2494436,-0.6,186.03
20241004,187.08,186.58,187.16,184.86,3976969,1.73,186.38
20241003,183.89,186.5,186.71,183.7,3999527,-1.37,184.64
20241002,186.44,185.57,188.2,184.73,2875538,0.08,186.74
