trade_date,close,open,high,low,vol,pct_change,vwap
20241231,212.41,212.27,213.06,211.33,1019744,0.2,212.21
20241230,211.98,211.93,213.07,209.92,1451332,-0.7,211.74
20241227,213.47,213.41,214.85,212.57,1501413,-0.34,213.5
20241226,214.2,213.85,214.7,212.73,779035,0.07,214.14
20241224,214.04,212.73,214.47,211.0,559113,0.88,213.51
20241223,212.17,211.02,212.38,209.63,1381480,0.2,211.37
20241220,211.74,210.75,214.05,210.06,2897136,0.66,211.84
20241219,210.35,209.88,212.95,209.34,1642958,0.22,210.82
20241218,209.89,212.91,213.94,209.71,2175890,-1.54,211.44
20241217,213.18,212.06,213.6,211.18,2184498,0.03,212.85
20241216,213.12,215.0,215.71,213.06,1776100,-0.91,214.18
20241213,215.07,216.3,216.3,214.33,1519839,-0.39,215.0
20241212,215.92,216.5,218.27,214.68,2151249,0.73,216.24
20241211,214.35,215.94,216.76,213.57,1901467,-0.58,214.54
20241210,215.59,217.86,219.15,213.05,2357334,-1.18,215.01
20241209,218.17,222.59,223.02,218.01,2818201,-3.1,219.32
20241206,225.16,228.29,229.06,224.78,1267640,-1.36,225.84
20241205,228.26,229.14,229.84,228.03,1440884,-0.64,228.4
20241204,229.74,229.34,230.8,228.36,1249994,-0.19,229.9
20241203,230.17,232.99,233.04,228.96,2699196,-1.23,230.37
20241202,233.04,233.18,233.23,230.37,1356520,-0.08,232.29
20241129,233.23,233.5,235.5,232.9,904324,0.0,233.52
20241127,233.24,233.77,235.21,232.86,1348812,0.2,233.56
20241126,232.77,231.56,233.48,229.76,1886911,0.89,232.23
20241125,230.71,228.0,231.0,227.76,4214277,1.27,230.38
20241122,227.82,225.25,228.27,224.03,1510627,1.52,227.45
20241121,224.42,221.96,225.15,221.22,1516806,1.11,223.96
20241120,221.96,222.47,222.57,220.15,1656164,0.56,221.74
20241119,220.73,222.74,223.67,220.23,1384810,-1.31,221.09
20241118,223.67,221.41,224.57,220.7,1659388,0.69,223.64
20241115,222.14,221.1,222.83,220.56,1923034,0.29,221.72
20241114,221.5,225.17,225.87,221.36,1440219,-1.87,222.68
20241113,225.73,225.0,226.44,224.24,1248621,0.25,225.72
20241112,225.17,224.55,227.0,224.45,1303921,0.62,225.5
20241111,223.79,225.61,226.78,223.39,1576836,-0.7,224.35
20241108,225.36,224.69,226.88,223.81,2102109,0.98,225.67
20241107,223.18,224.55,225.39,221.93,2047740,-0.03,223.84
20241106,223.25,227.75,229.62,221.15,2659320,0.77,223.18
20241105,221.55,221.0,222.0,220.02,1331673,0.18,221.33
20241104,221.16,220.57,221.55,219.21,1641153,0.94,220.8
20241101,219.1,219.33,220.7,217.76,1491106,0.39,219.64
20241031,218.24,220.54,221.35,218.13,1670003,-1.26,219.45
20241030,221.02,221.55,222.85,220.91,1173976,-0.3,221.32
20241029,221.69,222.04,224.25,221.54,1269733,-0.07,222.64
20241028,221.84,222.79,223.47,221.25,1001558,0.24,221.95
20241025,221.31,223.55,223.82,220.81,1655326,-0.53,221.74
20241024,222.48,223.3,223.66,221.63,1984302,-0.45,222.5
20241023,223.49,221.12,225.34,220.69,4369820,0.74,224.0
20241022,221.84,221.19,222.31,219.54,1445019,-0.1,221.47
20241021,222.06,222.12,223.56,221.1,1451988,-1.16,222.13
20241018,224.66,229.36,229.36,223.53,1979663,-1.0,225.18
20241017,226.92,230.05,232.3,226.1,2442674,-0.43,228.13
20241016,227.91,224.96,228.52,224.82,1794948,0.82,227.44
20241015,226.06,228.72,230.0,225.78,1812961,-0.64,227.16
20241014,227.52,225.3,228.0,224.49,998662,1.1,227.14
20241011,225.05,224.61,225.54,223.73,898664,0.68,224.81
20241010,223.53,228.12,228.76,222.55,1356411,-1.42,224.02
20241009,226.76,223.63,227.49,223.33,1852406,1.25,226.7
20241008,223.97,221.5,224.31,221.2,1661530,1.91,223.67
20241007,219.78,221.38,221.38,219.03,1904290,-1.07,219.96
20241004,222.16,220.73,222.36,219.85,1081063,0.14,221.75
20241003,221.86,223.18,223.39,221.36,959169,-0.55,221.92
20241002,223.09,221.72,223.24,220.51,1382508,0.13,222.78
20241001,222.79,223.38,224.47,221.72,1418380,-0.13,223.16
