trade_date,close,open,high,low,vol,pct_change,vwap
20241231,419.76,422.2,424.24,418.63,333555,-0.23,420.13
20241230,420.72,426.34,426.34,420.69,382865,-2.07,422.53
20241227,429.62,427.92,432.49,427.92,274611,-0.69,430.12
20241226,432.62,428.48,434.35,428.33,269750,0.38,432.22
20241224,431.0,427.53,432.15,424.82,214759,1.05,429.6
20241223,426.54,425.59,427.59,420.45,330166,0.08,425.11
20241220,426.18,428.63,432.52,424.01,920029,-0.34,426.65
20241219,427.64,436.4,437.75,421.39,791264,-0.71,427.16
20241218,430.71,446.71,447.02,430.48,475188,-3.59,436.51
20241217,446.74,446.54,449.75,442.97,396408,-0.22,446.35
20241216,447.72,453.0,457.13,447.22,384480,-1.2,450.12
20241213,453.17,462.74,465.82,449.73,498326,-2.52,454.75
20241212,464.89,458.0,468.87,457.62,485288,1.65,464.85
20241211,457.35,454.18,464.98,453.5,378786,0.7,460.0
20241210,454.16,457.0,458.39,452.24,483949,-0.78,455.15
20241209,457.74,459.82,462.28,452.71,504638,-0.4,458.58
20241206,459.59,467.49,470.75,459.07,385732,-1.25,464.53
20241205,465.41,467.92,470.94,465.39,465953,-0.31,467.45
20241204,466.86,463.49,468.54,461.86,399706,1.0,466.36
20241203,462.22,465.64,466.43,458.91,619188,-0.85,462.53
20241202,466.18,474.58,475.5,462.71,652093,-2.1,466.09
20241129,476.19,475.1,479.34,473.49,234404,0.82,476.17
20241127,472.34,475.9,478.28,471.0,384795,-0.12,473.35
20241126,472.91,471.64,473.35,464.21,452001,0.79,470.51
20241125,469.18,460.25,474.39,460.0,935594,3.49,469.69
20241122,453.35,446.4,457.58,446.0,516551,1.68,453.53
20241121,445.85,440.42,450.16,438.0,486272,1.57,445.92
20241120,438.97,439.8,441.4,432.88,507809,-0.19,437.49
20241119,439.8,441.76,443.8,436.0,470069,-1.15,439.38
20241118,444.9,433.5,450.88,433.5,854761,3.36,445.34
20241115,430.43,458.55,460.24,429.48,1566857,-1.27,439.62
20241114,435.97,437.0,441.09,432.34,682416,-0.81,436.15
20241113,439.55,440.6,443.63,438.35,344048,-0.24,440.84
20241112,440.6,445.02,449.25,436.42,354484,-1.4,440.66
